,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"15, Wyndham Avenue, Bolton, Greater Manchester BL3 4LQ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-122690456-16710289?s=65559dfe26f98c3f144777fd4ebc2d3b545647754c9e44eac2b60a2db441e157,53.55836,-2.46416,3b697583-f78e-4887-98ce-e6a2f750c36c,0
1,"80, Church Street, Little Lever, Bolton, Greater Manchester BL3 1BL",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-85435827-17628427?s=50acc2176889d2106ca56a57df783fbf2d0bf51b0f03ccd2cda32bb77f29d20d,53.56263,-2.37604,b11e9877-c971-4d62-914e-8f0fe144c6f5,1
2,"33, Cranberry Drive, Bolton, Greater Manchester BL3 4TB",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-126901802-16710295?s=648376a763458ab063b67d91b321340310c7e71ba926878e63ea763752fa01f1,53.56417,-2.47268,345e2607-c919-4786-a5bf-5f00149a5f44,2
3,"42, Whitington Close, Bolton, Greater Manchester BL3 1LY",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16710202?s=3e21e40015a81247093f4dd0285908443e66b31c1af9994365266a2a65667717,53.564,-2.36684,2d6466f2-2a2c-47e3-acc9-1682df2fd56a,3
4,"9, Fernbank Gardens, Little Lever, Bolton, Greater Manchester BL3 1FR",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16710190?s=f6ae22f18b57a43b2374f5d59d5a4be51f6a627176b03b38b1144f53d6160152,53.56396,-2.38043,67af2505-1cb5-4d7f-a9b4-91293e609e03,4
5,"31, Redcar Road, Little Lever, Bolton, Greater Manchester BL3 1EW",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16710184?s=852cc77dc2d5a5b093a80dc5e9a06a6dfa10c3e642a5e98bab9c576de578a04c,53.55984,-2.37783,4e0ce049-76f6-4b20-83d9-4eb4155fb6b8,5
6,"29, Aintree Road, Little Lever, Bolton, Greater Manchester BL3 1EZ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-121331051-16710187?s=749725ef413056b5b81f0939dea506a1dad78b47c4ae9b9d849a8e97322d0e17,53.56003,-2.37164,31900dd0-0238-4460-aa6c-57150e734850,6
7,"32, Ruskin Road, Little Lever, Bolton, Greater Manchester BL3 1RD",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17291341?s=48d2679cf41798f6cdeb8e30e938fd57a7c823e8dfedcb2aafee402f813c9a19,53.56481,-2.36866,14c51ece-34b4-4c44-9fdb-a5c8425ba14b,7
8,"6, Melbourne Road, Bolton, Greater Manchester BL3 5RQ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-11891715-16710322?s=9060c0d2a5001fc929401526384804724cc3bfc50b841193bdce54f160f9a074,53.56766,-2.45415,4a5d2096-60eb-476e-8005-d8a35f73bda8,8
9,"8, Park Road, Little Lever, Bolton, Greater Manchester BL3 1DP",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85745694-16710181?s=3225fc690d140c71f4ba85ec921e064f16f99dcb05b2833cd4253849b2dab070,53.56567,-2.38105,dd3e6dc0-f959-46c5-a9d0-e230a9556776,9
10,"32, Booth Road, Little Lever, Bolton, Greater Manchester BL3 1JR",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-124505261-17291320?s=0024d110e361ac2a51d62d1e4759e48955b8b35d801db000c8f6b47673245741,53.55789,-2.36603,1f645048-21b2-47df-9e87-fd82330f2b6f,10
11,"52, Cranberry Drive, Bolton, Greater Manchester BL3 4TB",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-125358398-16710292?s=bc0034bf523f9307e2dda8e2a980db5ff2a7f16ef22cb48a05bc9479e4105804,53.56417,-2.47268,f554789d-3b6c-4e89-a311-a6aef825774f,11
12,"9, Lumsden Street, Bolton, Greater Manchester BL3 6SQ",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17291545?s=611d795b48a1fb144559c6cf156a96ab88bb59fcc51a9b0739e79063af4e3098,53.56935,-2.43529,d24bd16b-7a81-4b33-87c8-458da79ddbb6,12
13,"14, Wood Edge Close, Bolton, Greater Manchester BL3 2PD",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-118329866-16710247?s=9b2db8dc3dde1311d68091c1476a25385674187e02c96188a6c447d614b3fb8b,53.55875,-2.40605,eec59fd5-084a-4d33-8803-fa2b57c99750,13
14,"68, Calvert Road, Bolton, Greater Manchester BL3 3BT",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-67319078-17628529?s=ea055b39ee8a1751d9f2f25abc7dc3a4bc9720b2cee535afd275d5c0cd4c48e6,53.561,-2.43113,b2707941-6869-4354-b294-e4374967130a,14
15,"3, Dunblane Avenue, Bolton, Greater Manchester BL3 4UB",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85324320-16710304?s=b0ce85f745d5e8f6d377068bb61b2f9bcc1c2f9cf95c54d02d044edcd208fdb2,53.56818,-2.48103,845cb854-3bcc-4dfb-80a1-f60cc7455a2c,15
