,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"29, Park Road, Shirehampton, Bristol, City Of Bristol BS11 0EF",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-122323679-16716220?s=3b13bfb9230d2b6caa7c70552b1297c927ae30bbcf9117b04be6fca6e7bf6da6,51.48823,-2.67097,2ca18593-ee17-4612-a225-aa60e379addf,0
1,"23, Woodwell Road, Bristol, City Of Bristol BS11 9UW",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-43575114-16716277?s=02d53a00bc28156a66e340adccd4360f92e43c116ec1c40d69599aac158743b2,51.48704,-2.67397,2f26dcd3-f2cc-462f-be5b-803d3b389102,1
2,"51, Barrowmead Drive, Bristol, City Of Bristol BS11 0JH",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-41295987-17299639?s=5b934e3b108b822e324ec72c7c10302e5d300de350c1b0b01bbddade6ff80c03,51.49492,-2.66501,7e6a462e-c003-49fd-a788-39d4791029fa,2
3,"31, Richmond Terrace, Avonmouth, Bristol, City Of Bristol BS11 9EW",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-51570216-17299678?s=5ed3d6a60040c4fe737ad2d57bded6927debbe461e5de926d39d09d59d726e03,51.50155,-2.70012,ec555fba-2d3c-4293-8a1d-9514454002ea,3
4,"26, Woodwell Road, Bristol, City Of Bristol BS11 9UW",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16416151?s=df755c31b59a47898aa2041ff4cb624531f2a0464eda03f4050d000fae1af2dd,51.48704,-2.67397,e1856182-eb53-4262-bc1f-ae72f286521d,4
5,"23, George Boon Drive, Bristol, City Of Bristol BS11 0GF",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16970161?s=7f65312a80da3f1d84356127bff3bfdc3f6004d9ee95228da4c0986893adf498,51.5037,-2.65462,84351e80-de5c-4fff-af47-2f377b8f8b08,5
6,"4, Ermine Way, Bristol, City Of Bristol BS11 9PE",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16109650?s=fa0e186ca135145673d49a777b39b65d6e99685eb2e91e6cee23153e4f9f3e49,51.49164,-2.68801,4ba22709-33cc-4daa-9f1d-db2e50c966b8,6
7,"17, Old Quarry Road, Bristol, City Of Bristol BS11 0EN",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-85167828-17943286?s=f227e3a619751b0ff6d589e7d091754d1088b4bfe0c857de66df3ce23bd0ac64,51.49385,-2.6794,1c3a1c5c-cea2-4af5-b762-934836479185,7
8,"84, Long Cross, Bristol, City Of Bristol BS11 0LP",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120146753-17636065?s=41f1faba4cd57ccfc4897efb017dddb4610b1d8831b391f571cdbddfd3da718d,51.49706,-2.66735,237d7810-b997-4e2e-9e35-6e774aab81a9,8
9,"2, Farr Street, Bristol, City Of Bristol BS11 9JR",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-52540017-16109641?s=3281478823f2b644882d5114ba5a998874bcf8c7adda5d23a8ac2c8a22a344fb,51.49754,-2.69444,5247392b-ddbd-4098-856c-6867c01fa29e,9
10,"65, Oakhanger Drive, Lawrence Weston, Bristol, City Of Bristol BS11 0RJ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-120412088-16970182?s=0507d3c372eced1aee618a17620b76d5a97ee21389e96a30c14bda11a0dd1d03,51.50073,-2.65559,c1146ee9-5499-4650-89ff-05eca6a8892e,10
11,"59, Oakhanger Drive, Lawrence Weston, Bristol, City Of Bristol BS11 0RJ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-119757992-17943304?s=76f36ac765a91543d2192ddcc5eebc55285cc90cca3bbd6465f1c6bba1f3614e,51.50073,-2.65559,b5e92ae0-4881-41a0-a776-73e0afe6f1fd,11
12,"16, Little Mead, Bristol, City Of Bristol BS11 0RH",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-122441300-15793537?s=bdc3fa8e7413803891b74ce181ec62625fc80721c983aeb857ba3333c1d132a8,51.50101,-2.65343,f894fbae-40bc-4168-8d76-8a6013f137b7,12
13,"23a, Park Hill, Bristol, City Of Bristol BS11 0UH",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-120256118-15793540?s=49a4764711f50ab24711f88613008bcdbeb6e536bcd0c2c4ae252104db982228,51.48876,-2.67198,b0d630f8-241d-4a88-933c-aec6159ad916,13
14,"45, Barrow Hill Crescent, Bristol, City Of Bristol BS11 9RD",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-20318598-16970224?s=2f7be5b25f38f7a92ba683846137614b8fb1632b1af05845b07d62c480809ffb,51.49048,-2.68583,0b0fb024-2cdb-4fe5-bd7e-f86e549b4dff,14
15,"8, Rose Close, Bristol, City Of Bristol BS11 0GD",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16970128?s=dbc71ad36eb08e2bb8dc370008bf0add6d735aea72841a8ae5e3cd2bba224934,51.50342,-2.65606,37cd7132-f912-41bf-9578-35f47297e4ad,15
16,"10, Rose Close, Bristol, City Of Bristol BS11 0GD",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16970125?s=b211574615b78154e37446710f16eb3a3e2e576c3126d558dd5279d3754fdcce,51.50342,-2.65606,fd9221b6-3848-4673-bb2f-355c4a8f39f6,16
17,"34, Priory Road, Shirehampton, Bristol, City Of Bristol BS11 9TD",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-120417047-15793573?s=671e3769b33263d0370478fefe1920f57c1d8854a132e61800640f373492622a,51.48809,-2.6796,b43690f9-67d0-4ae2-a183-47706b688ffc,17
