,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"2, Townhead Court, Melmerby, Penrith, Cumbria CA10 1HG",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-84081306-16720618?s=d1713d926b77a1f0b729f50240e8ca493253dc4438eb8980dea30d6e4d36180e,54.7275,-2.59777,4b20a588-75e6-4baa-abbe-05fa833c9a77,0
1,"1, Joiners Yard, Temple Sowerby, Penrith, Cumbria CA10 1RU",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-17307677-17949289?s=af3fe10f759aa2e37dece11b460a053e2df14eb16d9406597095a33942a0e370,54.63564,-2.60246,babe2f7c-889b-4c2b-9293-ea22f91ce5a8,1
2,"Staffield Hall, Staffield, Penrith, Cumbria CA10 1EU",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16114780?s=0d86abae2f07bf5e01c5e63e5c153cdc6d9902f4b613a464a1651d45b852d7ce,54.77712,-2.71292,9853216d-c900-4715-a9ca-ec8a0fd04d2d,2
3,"6, Frankland Park, Orton, Penrith, Cumbria CA10 3RP",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-120991565-15799249?s=cfa2aa4df6cd2c11b75cd0e0f4c9e931f0d5158437dbe589239a44ac0f2b23bd,54.46562,-2.58037,41038f37-84f1-4d67-a70e-fdb39e204aab,3
4,"1, Quaker College, Tirril, Penrith, Cumbria CA10 2JE",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16114804?s=835ac0c2fd08b004f2fc350c0eef0a81c16bb65fb4673f6a37cd239b16bcb42a,54.63217,-2.76956,cb28e352-902c-4def-8d85-c8fea8390afa,4
5,"2, Townhead Cottages, Kirkby Thore, Penrith, Cumbria CA10 1XW",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-120047015-15799216?s=d70ab5d784136467e4dd2ffc104fadec386bb453b1f20e535b6548155feddfa2,54.62481,-2.55506,43b4ea86-c815-42b3-bcf3-abaee2b947dd,5
6,"Stoneacres, 1, Margarets Croft, Newby, Penrith, Cumbria CA10 3EX",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17641783?s=29befaaf9891bc4b92a94ca3f7af55a683bd023e87fb51afaeb3b72e5d747e07,54.58506,-2.63313,562aba87-a2ae-471f-8cc6-b7b3b59bf5ce,6
7,"4, Fairview Gardens, Clifton, Penrith, Cumbria CA10 2DZ",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121534649-15799222?s=47957990e86a2d4022fa70ef637537171a21b93955dc80b2fd7ecefe9900a86b,54.63238,-2.7217,89c04597-e04b-4868-92d0-a98f21125eb6,7
8,"1, Meadow Close, Ousby, Penrith, Cumbria CA10 1FA",Detached,,https://www.rightmove.co.uk/house-prices/details/england-15799186?s=fcb007c29f2092a84530af84833c20ea5060fdfb245471505130f93930380420,54.70687,-2.59095,868cebce-48a6-4573-8b02-4cb33aad8d22,8
9,"Bush Cottage, Hackthorpe, Penrith, Cumbria CA10 2HX",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16976077?s=73177af9990b4673d4eb4383a8b9776bc3c418f38f1c028f69bb402375bac34f,54.60118,-2.7083,3e3dbb6e-734c-4805-a416-df7ba20711c7,9
10,"24, Thorpefield, Sockbridge, Penrith, Cumbria CA10 2JN",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119215829-15799231?s=8a32f06cd35c67430d417e24a420e7e6e00108014015fa93fa746c1d229cd467,54.63275,-2.77716,7a9b7e85-47d8-4694-b053-ee04048aaa22,10
11,"10, Quakers Close, Sockbridge, Penrith, Cumbria CA10 2JJ",Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-121992527-17949298?s=34497b9ad0e13722422ad07d9a4222297e9c5a8c62a629cdf804a869cfe4c761,54.63348,-2.77656,2ac3c207-9191-4e54-96c6-48f297d13ec1,11
12,"6, Jackson Croft, Morland, Penrith, Cumbria CA10 3AU",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-121924481-15799243?s=6f3290888002978e05df707652701425248f9bf7525f4fdbc480b67daf436a9e,54.5949,-2.62523,fbf62dd0-d361-4bfe-9d30-f7eb8916b21b,12
13,"3, Church Street, Skirwith, Penrith, Cumbria CA10 1RG",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-120165893-16421653?s=615aef4b656282b65e2b660ac61bc21a2064803aa2d3705e07fecc535e90cfdd,54.6869,-2.59391,c75cf2ff-b9be-4acf-817c-8c85a3d464c6,13
14,"Pea Top House, Culgaith, Penrith, Cumbria CA10 1QW",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16421650?s=48c41ad0a9442db97ba5003b8dd0b611ef1c5c0491fd67a6d9959567864da02d,54.66005,-2.60856,550f27b8-b42a-4ff4-a3a5-bee457c04198,14
15,"4, Kemplay Foot, Eamont Bridge, Penrith, Cumbria CA10 2BD",Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-35789411-17641759?s=5d76431dfee611f7d150e2af2c62cb80ed15e424b030a186b7d08434c3088721,54.65211,-2.7425,a04742c5-4111-47db-87aa-3542f9000bbf,15
16,"High Dykes Cottage, Clifton Dykes, Penrith, Cumbria CA10 2DG",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-15799219?s=40ed489af709f6f4ea3d3a7f2f82d667c0608091c5bf27270365328bbae69a11,54.63793,-2.70971,845711bb-2166-4af1-904c-3ea20763e912,16
17,"11, Seat Hill, Lazonby, Penrith, Cumbria CA10 1BD",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119586824-15497287?s=8627951a1b03b06e06da67f50628f6caaa366695b7fe3b5fc0ea75f1173076f3,54.75038,-2.70499,2f28ada9-b5fd-4b8b-b3cb-3626edc4bd2f,17
18,"1, Woodend Terrace, Tebay, Penrith, Cumbria CA10 3UZ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-120962150-15799258?s=0a5229cfd2bd3d6bf08213445c6679bb88d7ee3f28f5e2866a1fa2889fc30e16,54.43285,-2.59254,3cc8f33e-9f9c-4d0c-9aad-3a93684e4579,18
19,"Town End Farm, Clifton, Penrith, Cumbria CA10 2EP",Detached,,https://www.rightmove.co.uk/house-prices/details/england-15497329?s=82689185f34ceda5b9b6868dff03272caffc8b3e871511a0f292064dd0be9474,54.62889,-2.71947,27c379f4-d617-4b70-8eca-3987284fc746,19
20,"Mill Cottage, Kirkoswald, Penrith, Cumbria CA10 1DQ",Detached,,https://www.rightmove.co.uk/house-prices/details/england-15497293?s=ccb54afef0ff6b7db0972fdf6dd586096cfd73842274d4a4f30c2a31ad1ddbfd,54.76376,-2.69264,4eb2d3aa-d417-49a0-9a36-bfce92b68ae5,20
21,"Rockery Cottage, Shap, Penrith, Cumbria CA10 3LY",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16114819?s=c83340543f55b0ce2afd61fbb27f0b20609152fb33247201eb5578ac7f92cdb7,54.53314,-2.67945,3bd0067a-63e8-41a2-91ae-3bdb40cde7b6,21
22,"20, Pattinson Close, Hackthorpe, Penrith, Cumbria CA10 2HN",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-15497332?s=06974472ea78dbcad319daf10b61d340cb8c790435d0d3f8ab24d9550b607e23,54.60437,-2.71609,fe1da4f6-166b-4696-bc7f-67a9b7e74c67,22
23,"18, Mayburgh Close, Eamont Bridge, Penrith, Cumbria CA10 2BW",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-118680482-15497323?s=c84876c5d7306417bd1bcae847a4aff4871b1bff37ab1cd285bd252d14f5f010,54.64943,-2.74122,bd2bf83f-1a69-4208-9ee2-fc2fd85cdc7d,23
24,"Springbank, Lazonby, Penrith, Cumbria CA10 1AJ",Detached,,https://www.rightmove.co.uk/house-prices/details/england-15497281?s=23c9b3715ee82d96cee03ef3c03cf98a57b1c5bdfa0674e1a9b105d63307ac19,54.74749,-2.70821,4854cca8-f263-4560-9ae6-8099d1b5eab6,24
25,"5, Little Sandhill, Kirkoswald, Penrith, Cumbria CA10 1EL",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120145991-15497296?s=06ac21dde33487883b920efa32c9e346f315df2fd28b24f8cf51ba6d543af151,54.76583,-2.69143,fb9b5795-3b36-4732-8b09-ef2a3e60f91d,25
26,"Town Head Cottage, Old Tebay, Penrith, Cumbria CA10 3ST",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16976110?s=d50b456a72a4e5574ba40fb00ff5e61e0ef4612f77052a3435555d071563b9f3,54.44022,-2.59188,bb042d3e-e180-4405-9fb2-939f63066cfc,26
27,"Lilacs, Lazonby, Penrith, Cumbria CA10 1AQ",Detached,,https://www.rightmove.co.uk/house-prices/details/england-15497284?s=544fc90a6a086e8dacd82fa01ab7deabcb796d042228de712d34e317f12c398e,54.7493,-2.70622,7f5df676-e4b4-42f4-a1f4-a934ce4eb14d,27
28,"35, Glendowlin Lodges, Yanwath, Penrith, Cumbria CA10 2LA",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120848333-15192145?s=92e76545f885495f123607895fe6f5c5f32849467a9067288667f00fc884603a,54.63505,-2.75598,db028abb-6770-4545-b88d-23137a292dfd,28
29,"Bushby House, Culgaith, Penrith, Cumbria CA10 1QW",Detached,,https://www.rightmove.co.uk/house-prices/details/england-15497308?s=b931f1596480d9ef147f7550a73d8af6e563d5220fb188d48ae2da2266f3fdd6,54.66005,-2.60856,d0181770-1816-4962-a5ca-6b23d9f2a302,29
30,"Skirwith Fell House, Elseghyll Court, Melmerby, Penrith, Cumbria CA10 1HJ",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-15497305?s=7f913134af4d678eddb1137f0aebc552bd6f42b1a9f9d0222278aeaa37240495,54.72912,-2.59748,72a21280-f95d-40e2-beaa-6f57e0c446c1,30
