,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"272, Longacres, Bridgend CF31 2DH",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17312371?s=728d45d1545aa93d21448725e6a2ac55502eccb9afc46632aaf11e3e9e3cda76,51.50355,-3.55051,d88df231-6838-4021-8e5c-7b23d180d13c,0
1,"23, Heol Y Bardd, Bridgend CF31 4SS",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124159346-16725010?s=30264d5b3bbb6a1bebc1afdbb28730d2f14f1bee22418aac96408b97992526a1,51.50338,-3.59027,246997f2-c295-488f-90b4-902e22919d1e,1
2,"44, Pen Llwyn, Broadlands, Bridgend CF31 5AZ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-125406590-17312542?s=1dcccbc86a07714662b63c6c665cf7e8634fa0b94af9d20a14c1cd9dd179e469,51.50248,-3.59024,433e77a2-c9bb-4925-8dc5-ec8f5cde185a,2
3,"37, Cefn Glas Road, Bridgend CF31 4PG",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-127548083-17312506?s=b1c7997c3497ded4a339f52bfb85484f2e1fa1dae7d6dfee0f028bd46ab28b80,51.51215,-3.58683,796ab74f-c5c9-42c5-968f-23c04046a3df,3
4,"87, St Michaels Way, Brackla, Bridgend CF31 2BT",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-128191199-16724833?s=1916e98ab7d1ac9a1a576dd932f761773ddd5fa5f7b9c01f445dea75679a87c7,51.51487,-3.55147,7d2d55d0-99fc-4f6f-865c-0a6bae21d5dc,4
5,"38, Rhiw Tremaen, Brackla, Bridgend CF31 2JA",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-129320045-17647732?s=5b3d49a2b4de3832b2f0a3ccace397192711a09d8556b00d2ac6c08fd2671fd8,51.51199,-3.55829,7a7ea62c-6285-4717-8776-aeb202d8f6ad,5
6,"88, Park Street, Bridgend CF31 4BB",Semi-Detached,6.0,https://www.rightmove.co.uk/house-prices/details/england-122109338-17954842?s=68576a66b1ae7b12a80097a482d008dc3c0859a42a6529202d83dfe370296f98,51.50563,-3.58977,6c0febf4-a6a0-4aad-9e49-2e2b6a7b8bab,6
7,"20, Carn Wen, Bridgend CF31 5BW",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-125326679-16725034?s=8e67426dc172bb63f788dedc7e308d12325f226aac69d3e6f4bea60bd4e6dbf5,51.49871,-3.59616,4145b4b2-f13b-46c3-8f34-c038750e0068,7
8,"10, Great Western Avenue, Bridgend CF31 1NN",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-126477083-17312338?s=a31ef09676a99f75d6ae034e4772de4febdc70ae23a99690e0330b964124acc6,51.51687,-3.57632,5665e07e-37e8-4988-a417-906ef6b8b1a6,8
9,"44, Newcastle Hill, Bridgend CF31 4EY",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-124552301-17954857?s=320452e3b96d91eb7dc94ea6c6c4ece939cac06fcd5be1e38ea925bdb7b7ad4f,51.50779,-3.58293,b2cccdac-6ce8-4e85-b214-02f164cb9277,9
10,"11, Cae Odin, Brackla, Bridgend CF31 2HH",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123931475-17312386?s=43a86c209ebaf1917788e85318188f877d3e3baedbd13d436ed503058a314247,51.50908,-3.56078,c8db2a6f-98f9-4ef1-b3d8-5be6af863f3f,10
11,"56, Angelton Green, Pen-y-fai, Bridgend CF31 4LQ",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-126307562-17954866?s=1cef8227d8b650a6413eabd080dd5a26ff1e9f1639bae5dbc48c34bf32e607a0,51.52809,-3.59142,f2f12c92-75ae-47fe-927e-ddf037fada2f,11
12,"47, West Road, Bridgend CF31 4HD",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-85499574-16724971?s=1aad46a08e5e0a43b9fcb636aab4afd2a35571744894509e45737d639df67857,51.50757,-3.58595,4c8656d7-73b9-4683-9b2e-00aa338c9ad6,12
13,"45, Fox Hollows, Brackla, Bridgend CF31 2NG",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-127159736-16724872?s=76f042ae8e06406af26ac16934098771cac97f7bab620a5c055d1b2f67f79a67,51.5093,-3.54407,26c932e2-edfc-46fb-8361-440ed7795236,13
14,"89, Hazeldene Avenue, Brackla, Bridgend CF31 2JR",Semi-Detached,1.0,https://www.rightmove.co.uk/house-prices/details/england-126412436-17647738?s=261451263b13885edb4f07bc5b00dae73b3bbc677ca0119568370bceda22103f,51.50543,-3.55115,8f1313a8-ce2d-41c1-a3d8-32ec525a1a57,14
15,"23, Oaklands Avenue, Bridgend CF31 4ST",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16725013?s=a5dd2263ffe0e3d9ca75c447b983e8e714492f0915ca12d692d496c024995025,51.50444,-3.59794,20bc3d95-be85-438f-ad91-11d56c3d5d16,15
16,"23, Cefn Coed, Bridgend CF31 4PH",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124381289-16724986?s=c161bcec515ceaa54eca15902ee09e97f45d27d98d7aba802ff1ce991666cd57,51.51177,-3.58811,46633ff7-3bed-4ea2-869f-581141ea6036,16
17,"22, Briary Way, Brackla, Bridgend CF31 2PT",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-128191076-16724890?s=1e099359d5378e3dd1c79d8494b0e04e6fcbbf972d0e78eafa3812d41737bdb7,51.50537,-3.55547,0ba97cc9-0d8f-4149-8bed-8077088bbbe6,17
18,"266, Longacres, Bridgend CF31 2DH",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16724839?s=0c751a707b7cca9341556f8cead6ce72dba877dd2efc2f586072848f1bf9ffd2,51.50355,-3.55051,958edcb7-32d8-4e8a-a16c-a7b40ea90323,18
19,"6, Shakespeare Avenue, Bridgend CF31 4RY",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-128191010-17312530?s=deb7ba2fe9ff1f1dd1af55efa5245b60ba01e74dbdecd752f5510cdde9a1776c,51.51201,-3.59705,a9cc9781-c653-4738-af44-56f6e8fcbceb,19
20,"31, Picton Gardens, Bridgend CF31 3HH",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-124107761-16724920?s=6ad2b5e0ce6ef44b033d4cb6a46229c42c116ad09b20a19b534ee27f2bac0cac,51.49546,-3.57069,8f1028e8-17a8-4fb5-8f93-d61ade2397d1,20
21,"14, Hill View, Bridgend CF31 4ED",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-123977468-16724950?s=15a817820b0c3d151637383d015d14d65706778b77e24adba2b1377f57f76e1e,51.50931,-3.60993,3462aa87-df15-4edb-8510-bb03a6e2c329,21
22,"36, Llys Tre Dwr, Waterton, Bridgend CF31 3BH",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17312419?s=781d234c171aeddae0d77c29b1415c13e1bffdf4058fbf34393b65b1fdeee9dd,51.49662,-3.56424,61881e6c-061a-4623-a863-e9d7600f4570,22
23,"3, Bramble Close, Brackla, Bridgend CF31 2PS",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-126425240-16724887?s=ec371c88a1f663bd9af9f5f38300d442059701e8046d59b40296edab2d73d052,51.50689,-3.55638,216ddd60-0bfd-40b6-ad2f-e15a9fdd4aa9,23
24,"16, Ffordd Y Groes, Bridgend CF31 5EQ",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-127362386-17312566?s=8a73fa36be60233f8b9888b451399e3bd11ed2f9199d526f1320d628e4195b9c,51.50333,-3.60712,2ba2c7d7-436f-47bb-872b-740eabfaed22,24
