,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"24, Kempson Terrace, Wirral, Merseyside CH63 3HU",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124010420-17653759?s=d60428a8abe6d24a003eacaf1e2bb384c5f738f0166e4419b4ca6cf67182b9e5,53.3452,-3.0101,93e5bb15-03a0-43bb-9d88-377f347be7d2,0
1,"12, Wellesley Grove, Wirral, Merseyside CH63 7TA",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124157834-16988758?s=de48a736c79b2d52fd503af3b4310d1ad562fc0e26e7e1fa006d756659c14884,53.35493,-3.00688,3eb9e4e5-183b-4a95-a9b0-8a5f46da29c7,1
2,"126, Brookhurst Road, Wirral, Merseyside CH63 0ET",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-123569945-17960617?s=ba83c98d3de52ed5d63a79273395a44c6ec5a079f861678a467e8086cb67792e,53.31391,-2.9897,235ab7b4-ef1a-4cb5-9460-b3c1c3cba955,2
3,"27, Teehey Close, Wirral, Merseyside CH63 2JD",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-95182007-16988677?s=2abea6410bcc3f0f7c256a9c5aec32a49aa5fd2740c7e8a2c4fab09a54435d83,53.35378,-3.02608,289a0685-11a4-41f7-b57d-9643c62a217b,3
4,"21, Mount Avenue, Bebington, Wirral, Merseyside CH63 5QY",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-123897761-16988722?s=9f57245e9f1f7dc5bf9cb95adfd60245a50724f8d7b659e67d2776521f8c54f8,53.35996,-3.02863,48ca6989-37f8-4b26-8280-f81ddd095640,4
5,"62, Wentworth Drive, Wirral, Merseyside CH63 0JA",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-19617639-16988650?s=0315f0443d77841ef3d9f8aabd0ec42a0c60f742cd4715c31c2bbb4bd8ff31ef,53.31604,-2.9923,a5e9a3cb-956b-4fef-82ef-4aba7cf3a386,5
6,"1a, Wellington Road, Bebington, Wirral, Merseyside CH63 7NE",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-121414184-16988734?s=83292537c4c24a0ff90f061b3a99f0496d31a0ed7636635f9d58d73cee5beb73,53.35521,-3.00583,59d7640c-b21f-4897-9975-fedeca3768ef,6
7,"70, Borrowdale Road, Bebington, Wirral, Merseyside CH63 3AR",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-122668391-16729966?s=80a49271295ae21a580eb71eb8bdf18e4beb06ca897690b595d1fbf4f647d06e,53.34499,-3.01385,cebd93ee-9c40-4476-b0ca-6c3cb0ffbfb3,7
8,"15, Moseley Road, Wirral, Merseyside CH63 9NT",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-119353304-17319340?s=3998d29df32134af44bb0609ff54a0f781efbda11748049f8083ad57ba7f767c,53.33373,-3.00578,73b1b246-6bd6-4366-8740-0d516b99f84e,8
9,"35, Regents Way, Wirral, Merseyside CH63 5NN",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-128011358-17319268?s=a094f4355ead0b62388b97f2e106250ab69512539c76b86e97636110beb4d3bd,53.36247,-3.02914,416da1d6-0b29-413e-89ac-34853b164cb6,9
10,"23, Cross Lane, Bebington, Wirral, Merseyside CH63 3AD",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-85789191-16988692?s=f76191d88c2f572308419ce9f8f888a051e31c056b8aad7b39d6ee46fd38d751,53.34788,-3.01212,a312f3e8-8a0e-4917-901d-57eb4d3d397d,10
11,"8, Glenmarsh Close, Wirral, Merseyside CH63 2LB",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121748630-17319217?s=a04b98cfafaa8a69c657f238dd07b388d9a3124c6412b72bcb8bd966a5c95794,53.35063,-3.02706,32f47597-8493-4aac-8c0d-06cd12cbaba5,11
12,"32, St Andrews Road, Bebington, Wirral, Merseyside CH63 3DH",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-125590388-16988707?s=f0a86cdd53f7dff2814229350136eda1b33d73dcfa0e7628ad1b27bb5629aa7c,53.34518,-3.00109,316f5e0f-d98a-40cc-a255-54bb5b5e8044,12
13,"26, Mere Avenue, Wirral, Merseyside CH63 0NE",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-124262189-16729939?s=ea8ffc3f02a078c846a4d8402ff84c63306a3ba7fc64d1ce91964b8e47f3452d,53.31951,-2.99734,6d5076b3-d835-4ee9-9274-e76d89fd1bcc,13
14,"121, Poulton Royd Drive, Wirral, Merseyside CH63 9YP",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-122050559-16988779?s=b0329d19e55add146d77507deeba8a9ac48c46c426aa626d73df0faf8e92b7d2,53.34026,-3.00893,5dec94a8-c1d1-4236-b015-7bf062edb759,14
15,"7, Randle Close, Wirral, Merseyside CH63 9HP",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-118742693-16988770?s=a7258c718e505a15f3206b046cd3f6db44b41df5b0d62e4f70be973a4be21f79,53.33839,-3.00754,158d065e-ca8e-4f74-842d-571aaba17062,15
16,"24, Shallmarsh Road, Wirral, Merseyside CH63 2JZ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85567599-16988680?s=482f578dbe233835da008dbf71ce3b406b3f387dd05e4a2c0f62002fdb32883e,53.35162,-3.02663,fb050f30-01d5-48fe-bbfb-242cd8246eff,16
17,"100, Stanton Road, Wirral, Merseyside CH63 3AU",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120255728-16988698?s=960c371e1a2e4f9a9e676ad5c201be2d35003e534e97b1b83c7147bcf8bee69e,53.34409,-3.01368,113f137d-bc78-4ac1-bc4b-29239c5a7d13,17
18,"176, Higher Bebington Road, Wirral, Merseyside CH63 2PT",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120097082-16988689?s=b502296e49544cf654991ff63573945f1bf1cae83466c9a6b856aba9870af5b2,53.35383,-3.02067,88eb53c6-8ee6-4269-837e-88c93937c206,18
19,"159, Mount Road, Higher Bebington, Wirral, Merseyside CH63 8PJ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-123683489-17319325?s=11f23feb82a38be5bd90f867a7ef317230ce5f570a0e77552af39cd1950d14cf,53.35365,-3.03088,402000df-ca87-4ba6-a90b-369c0ae6c5a4,19
