,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"60, Lymington Road, Westgate-on-sea, Kent CT8 8EE",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-112789640-16138570?s=6eb8f6cf71e6b43e7b344b4fe647c181eff6814350089954f19bc2e37166ae29,51.37692,1.33602,14e98fa4-908b-4166-a68d-41818724ff88,0
1,"25, Danehurst, Westgate-on-sea, Kent CT8 8QQ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-93229773?s=119fd8347a509db44d9137db6de33ce362033fcb8bb0aaabdb190e047654cd28,51.38378,1.33508,effacdf5-b290-452c-8ce3-1f0d4db0fcd8,1
2,"Flat 1, 3, Adrian Square, Westgate-on-sea, Kent CT8 8SU",Flat,,https://www.rightmove.co.uk/house-prices/details/england-14919811?s=b94aea2679cd973bd56ca20bb03c8540bea068181fcb57faf5031326da6a0405,51.38227,1.34072,833007cb-1ccd-450e-9cd3-d082f88d7688,2
3,"132, Victoria Avenue, Westgate-on-sea, Kent CT8 8BG",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-82148376-15823168?s=cd4732789ff0338d21b262ed3c0fba51c5e58a558a616b6526fbca79b1399071,51.37548,1.34238,ecd0d2ca-6dda-4443-9f0c-2c96f9679da1,3
4,"189, Linksfield Road, Westgate-on-sea, Kent CT8 8HJ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-114559748-93229752?s=1062cc73074ec1c58ecd07634fcae9e6d469ee2a09e7358b13d75e3c275234f9,51.37354,1.32844,f8096e94-1593-4537-9079-df5d72bf0cdf,4
5,"7, Dunstan Avenue, Westgate-on-sea, Kent CT8 8HS",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-132994445-16739470?s=a7cb420f08c20ee944913ad1b5f3887431357c887f128709a1648848a159aa2b,51.37367,1.32702,66b73173-8ff7-44e3-8b69-31c90b34959f,5
6,"Flat 13, Kimberley Court, Sea Road, Westgate-on-sea, Kent CT8 8SD",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-93695498-93229785?s=3bc97054069874d77769228bb2c623197dcabb06d597df442cf665bab97e7bc5,51.38403,1.33913,bed4768b-39af-4810-bb57-520da01c25f4,6
7,"Flat 23, Read Court, The Grove, Westgate-on-sea, Kent CT8 8BE",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-109872860-15823165?s=ae9912036418b5ccccce6849dc425b352c4e84f031966fedd445ed74625a953f,51.38052,1.34232,54d219b5-eff8-4359-b75b-5d33783ce8a2,7
8,"84, Linksfield Road, Westgate-on-sea, Kent CT8 8HF",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-77320751-14919796?s=d93f8ee829cb4dfe5112e9a03c573dbcc24432164b63ad4f914bec6277541d04,51.37529,1.33015,ea4ea63d-0cc5-4bce-9875-7f9a37943c8a,8
9,"52, College Square, Westgate-on-sea, Kent CT8 8BW",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-53587874-17332579?s=514da9d29b4b036ad1911c3f393d2951a7227f44631e2c00af17969c1aa9bd24,51.37813,1.33453,c18ea43c-c120-48cd-b885-ab6d5675b4cb,9
10,"Flat 3, 112, St Mildreds Road, Westgate-on-sea, Kent CT8 8RL",Flat,,https://www.rightmove.co.uk/house-prices/details/england-92944923?s=0e7e59227854f3a134397c58f1f5257aacf2d47b743ed2b462e5daa2531a5ccf,51.38428,1.3367,fc631ed4-35b0-4989-8484-edaf54f458da,10
11,"8, Saxon Road, Westgate-on-sea, Kent CT8 8RS",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-114938051-15823195?s=e0d36c1d85146bc61cd45723c27073b76d6cbf7ab5b978c79d6b6f72e90589b0,51.38238,1.34332,4faf1fdf-fe5d-4d3e-a421-831564c6226a,11
12,"29, St Crispins Road, Westgate-on-sea, Kent CT8 8EB",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-114711320-14919790?s=3b22e686aa711d1b6f72dd7c8c68b90aa2f5297f498f0ac51f2b79f0c8feab59,51.37626,1.33712,90d4a56f-6356-4927-8047-8f6671188dd8,12
13,"Flat 9, Ivyside, 27, Sea Road, Westgate-on-sea, Kent CT8 8TR",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16446133?s=0ecb6c9408e9c2bfd600a4c8032df5c62cc7874bc427942f2cf7975bdf580216,51.38441,1.33843,51c1945d-55a6-4536-8356-4b145aefdfb9,13
14,"Flat 5, Sea Tower South, Sussex Gardens, Westgate-on-sea, Kent CT8 8DU",Flat,,https://www.rightmove.co.uk/house-prices/details/england-14919787?s=15cbab9b9f0fc59ac040955c8d2c32d938bd83f0edb1679db74be7ed26ccbfb4,51.38411,1.34244,0d336f38-7088-42f0-8a54-b9c9569e8d7b,14
15,"Flat 6, 19, Sea Road, Westgate-on-sea, Kent CT8 8SA",Flat,,https://www.rightmove.co.uk/house-prices/details/england-15520519?s=021ad32fa7a842064ff2515ead0ab3e0d5d3f828c7a4434825d48b3c3d55b606,51.38408,1.34057,5d0bc70f-9ffd-4e07-bf4a-52b1ac6d09c3,15
16,"Flat 16, Palm Court, Rowena Road, Westgate-on-sea, Kent CT8 8QZ",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-88246933-16138597?s=c24b7eb26e5c7fde8b43af86edc9ccfd05930c29f09d21f5ae47693075a2edd8,51.38433,1.33469,72fc72b8-a8f4-49c0-afa2-099c9bf6bbe1,16
17,"Flat 62, Palm Court, Rowena Road, Westgate-on-sea, Kent CT8 8QZ",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-134565095-93229782?s=f50aab90223dee7b47068f02eb8d83aca461b1a8bb5dce031c299a0c6f32b014,51.38433,1.33469,b336882f-b65c-4508-b0d6-95373ba7948b,17
18,"10, Elm Grove, Westgate-on-sea, Kent CT8 8LB",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-110689205-14919799?s=de5a2eea68737a9a08a63e41e5b1b1b1b247f7a59ca556e88fc806c622feda91,51.38036,1.33526,0bb46566-6476-4b46-9030-fea8724e5d53,18
19,"10, Westgate Bay Avenue, Westgate-on-sea, Kent CT8 8AJ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-114995084-14581285?s=399e2fa8f6d495a4ba598806301d90c875647af7b01d5da8e1f09da8cc4453a0,51.38337,1.34325,fc9105bf-35da-4948-b8be-7b4300f2964c,19
20,"14, St Benets Road, Westgate-on-sea, Kent CT8 8DX",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-114995099-14581294?s=d464cf861f852e350ec11a245287ae81deb2ed3eb6900b6aba10272a4a3e93e2,51.37515,1.33819,467b816e-d827-4fe6-bf61-b6a7c528df3c,20
21,"16, St Jeans Road, Westgate-on-sea, Kent CT8 8EA",Flat,3.0,https://www.rightmove.co.uk/house-prices/details/england-18352064-93229743?s=5ffb4f21c74f7e0ac755cffa0448b937734508d3bb58c162126bba32b785b331,51.37502,1.33631,09aa7b6f-30ac-471a-87af-6eea53808ca2,21
22,"99, Westgate Bay Avenue, Westgate-on-sea, Kent CT8 8NX",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-112192295-14919805?s=321babf3e15d9d124f257f14784fb36de0cb6e34d6d8e6add30a6a72c0f3a5f3,51.3821,1.3341,7844333b-11f3-42c4-a006-de319b83edc2,22
23,"3, Essex Road, Westgate-on-sea, Kent CT8 8AP",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-113952650-16138540?s=2af539ec37b2b8c24c33863d60c3ac9bba799d067a80043308eb275eb5ee2ae2,51.3813,1.34338,119a1df4-8a0e-48e9-9ee7-b69987032b50,23
24,"9, Streete Court, Westgate-on-sea, Kent CT8 8BT",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-110188355-15216250?s=9fabf927d17cf7a6ab6ffb82728061ac95ecce39ea1a3ddc34394d4dd027fc4b,51.37921,1.34093,bdf4abe3-0bea-499b-808b-71eb602f949b,24
25,"10, Ursuline Drive, Westgate-on-sea, Kent CT8 8HX",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-109601057-92585385?s=c503b6bb1e83293a27e30183c694b2b7255c7554f05118c62742c466185df1e1,51.37542,1.32556,2bf35262-c670-4c72-a0ba-230f0a45d69c,25
26,"129, Sea Road, Westgate-on-sea, Kent CT8 8QB",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-112020074-15216271?s=7ab56e353df2056b45e4cdd1cfd2ece5efe8fd2ba3211b37d6d1a824ece680ab,51.38172,1.32545,908d4f22-ef23-439c-9574-488c3d697c66,26
27,"130, Minster Road, Westgate-on-sea, Kent CT8 8DG",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-87756403-93229740?s=5e15da93fb32a9fcce1ab9edf21fb52691efc56e6700992578018872bc1d62db,51.3751,1.34006,ec960a4d-a558-4479-bdfc-8bb931616d99,27
28,"Flat 4, 16, Adrian Square, Westgate-on-sea, Kent CT8 8SU",Flat,,https://www.rightmove.co.uk/house-prices/details/england-92944932?s=184ecd26777b928f685196238ca28634ab31fee56dd200ba3186b30cf542873f,51.38227,1.34072,88553631-710d-444d-b156-da80ff192e70,28
29,"4, Streete Court, Westgate-on-sea, Kent CT8 8BT",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-108822332-14581291?s=31bf43ce6aa72e35cb1dcc5c9fbf0747f57694ee6b16e02c47b5bb1d9fce29bd,51.37921,1.34093,ac148b9d-790e-4eb2-af3a-7d2fdcd542e3,29
30,"Flat 1, 112, St Mildreds Road, Westgate-on-sea, Kent CT8 8RL",Flat,,https://www.rightmove.co.uk/house-prices/details/england-15520516?s=c83c78fb62bc7ceab439408a9fecb8d280eabde6b9546ddf49ecba43dea176ad,51.38428,1.3367,5835c0c5-0eb7-42ad-b8e9-8dd9a97a14fd,30
31,"15, Wellesley Road, Westgate-on-sea, Kent CT8 8DR",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-32326416-92944899?s=b54032e92efdd8f641a639293c795bc52cb4d663d737023ae1793cb84bb670b0,51.37458,1.33916,ceec22f1-7a7d-45a6-8be2-3b9cc21b9762,31
32,"3, College Square, Westgate-on-sea, Kent CT8 8BW",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-14241694?s=f22c9830f6acaff3f95fe393e59cecc4022f4222f5bd32b6f3ac0f28cfb23e34,51.37813,1.33453,10f0460a-c942-4022-8fd3-21e923a9be72,32
33,"Flat 4, 20, Adrian Square, Westgate-on-sea, Kent CT8 8SU",Flat,,https://www.rightmove.co.uk/house-prices/details/england-15216283?s=90dd98f9cbadc2a04fbf13d2df54092769f63e603b8879721dd7ac80a1ff0c8e,51.38227,1.34072,2454d350-1b5c-4aca-ae97-6c1ff4512fb3,33
34,"Flat 6, April House, 69, Sea Road, Westgate-on-sea, Kent CT8 8QG",Flat,,https://www.rightmove.co.uk/house-prices/details/england-15520513?s=439cde4ad2565d4e771014a4973b68a527d34bebde3fac10048f8941de832dc9,51.38266,1.33342,b49f62ff-a7a4-4fe5-8579-c56fa3781c1e,34
35,"Flat 42, Palm Court, Rowena Road, Westgate-on-sea, Kent CT8 8QZ",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-72113829-15216280?s=53702376bdbc1b95270033217ab0fd30d565ee79c6d40b0ea55e3bf8ca4d65dd,51.38433,1.33469,386960bb-11fc-4b35-9080-d0f5f1a3f7ea,35
36,"Flat 3, Ellerslie Court, 39 - 41, Ethelbert Square, Westgate-on-sea, Kent CT8 8SR",Flat,,https://www.rightmove.co.uk/house-prices/details/england-93229788?s=ad6e39cebd80ab017036effb2402eb9d1f728de2685493303f1daced462c73d1,51.38226,1.33813,0aac0036-1efb-4198-82ca-f9fd828dfd91,36
37,"30a, Cambourne Avenue, Westgate-on-sea, Kent CT8 8NA",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-111077030-92585397?s=7f3576e2cabd075d9b9392edc591a7ccfbb16d2a4186e35701563e29640d1597,51.37715,1.33101,8900080b-5788-4045-bf06-c190fe335e4f,37
38,"Flat 4, 3, Adrian Square, Westgate-on-sea, Kent CT8 8SU",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17001301?s=1a885b3fb95833f3dab53f14a7e2de286cc292aea2eb88e11c37c16752434537,51.38227,1.34072,06920598-3ea8-4c5f-9476-9454ede0dbfa,38
39,"Flat 3, Pilar Court, 28, Roxburgh Road, Westgate-on-sea, Kent CT8 8RX",Flat,,https://www.rightmove.co.uk/house-prices/details/england-92944926?s=8c28d25ac4d012cb5f38fb3633755055dd18946a02e6f80cb373910067bd14b3,51.38242,1.34188,97b80e6f-457d-4540-8bd2-57c928d874ca,39
40,"Flat 4, Marjorie Court, 24, Roxburgh Road, Westgate-on-sea, Kent CT8 8RZ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-92944929?s=b4613dcef938a7a432673b534bc344cd8f27d63fb742caeedb708ad9dfb725a4,51.38224,1.34201,d97f23be-905f-40ab-a619-d46df315824c,40
