,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"9, Lambert Crescent, Nantwich, Cheshire East CW5 5UH",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-126457022-16744423?s=0c54fce79598fa5f809dfdad137b3ded9e63bd164acfb35c373fd1effbe07610,53.06882,-2.53126,a0aa2bc6-085f-4c32-8bab-96eacb284788,0
1,"29, Gingerbread Lane, Nantwich, Cheshire East CW5 6NH",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-121269968-17340040?s=8c0e5b0e786ef0d9183e06eaee845da15a3ac66c766e0ad6db7a17ca8e67ed1d,53.06598,-2.50302,bf69dfeb-5183-4587-8ed7-e5118dbc1685,1
2,"25, Park Road, Willaston, Nantwich, Cheshire East CW5 6PN",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-122620010-16744474?s=9d9de343ca6c54480fc310d1f3e9a9e1d7976a12be1b3035ba10b0d61564e7ec,53.06723,-2.48304,0890376a-2370-416f-a932-c1d6bbcbaf4b,2
3,"27, Barracks Lane, Ravensmoor, Nantwich, Cheshire East CW5 8PR",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-40351649-16744630?s=13ca86571ee2bd52bbc608759246a0e912db584021b46bb5c9e5705547605045,53.0505,-2.56624,a9e96a8e-fa66-41a3-852d-e3a2d5689e1b,3
4,"5, Hawthorne Avenue, Nantwich, Cheshire East CW5 6HZ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-126284360-17340028?s=de26533ea644d4d792ee33d41c78f26344624f0340d994eac5f9964ad0b6048e,53.06612,-2.51227,c0db62ef-48b6-4052-b451-7b2f37b5a16d,4
5,"Flat 2, Old Tannery, Volunteer Fields, Nantwich, Cheshire East CW5 5RA",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-124925810-17339959?s=4c78b57de8bb0c9517519e769533e84fc3e2cd54e1ad27194da7763c1290507e,53.07033,-2.51591,3640320d-ea86-416e-bbea-de0fcf5093de,5
6,"Burland Lodge, Whitehaven Lane, Burland, Nantwich, Cheshire East CW5 8NH",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119809016-17672767?s=d12fc45a058c72df2e09b59dfba471d44b501f431737b6ad3a4464313dddd9eb,53.07417,-2.59775,7aba57cb-ee00-4074-978f-41553ba6dcfd,6
7,"30, Tricketts Mews, Willaston, Nantwich, Cheshire East CW5 6PS",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-125363087-17978053?s=74772e66877fa11240937bd8d42b338da75bb920db21dc5e3866dd7eac1fd4c7,53.06725,-2.47826,438024d0-2ca9-4d30-b128-075ceea451d9,7
8,"74, Cheerbrook Road, Willaston, Nantwich, Cheshire East CW5 7EN",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-122323757-17340349?s=14bd2fdbea84c5ed26cbe350f358c9fe67c5e42f285f685f078d620870e033a4,53.06327,-2.48434,09d01b33-3381-481f-b3e0-dcc7d9d91408,8
9,"Three Acre Wood, Bridgemere Lane, Hatherton, Nantwich, Cheshire East CW5 7PL",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-121536947-16744588?s=462c3e6b6ec0ccb9821dbde1da1cf29bc3f860d16f888129914abb0d48fde8b6,53.0127,-2.47453,ec810475-d6ee-43fc-a7f2-72978faefaf4,9
