,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"66-68, Mains Street, Lockerbie, Dumfriesshire DG11 2DQ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279511?s=d0dc879cf4e866a516f847416e03299ac96c8a6548d794adebb7f69e6c64efed,55.11827,-3.35604,6d7e00ae-7db8-4eef-a444-1ec623c840b8,0
1,"54, Castle-break, Ecclefechan, Lockerbie, Dumfriesshire DG11 3DX",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279529?s=80a0460ef4fb8b2903cc2fa2daee9d90f3b72eeaf329d76acf6ab81a9607242f,55.06282,-3.26428,fb56dfad-3ab4-4f06-8b17-3c38bc60f70a,1
2,"Stoneybeck Cottage, Middlebie, Lockerbie, Dumfriesshire DG11 3ER",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279532?s=6d23ec67ac9ed88f790e4267c7df574afe46fb6aa0e8219ff08ddf780b7f962e,55.08132,-3.22085,51e812b0-ea1d-42d1-8e80-921b2d70e6c8,2
3,"Castlefield Cottage, Ecclefechan, Lockerbie, Dumfriesshire DG11 3JL",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279538?s=02e3c2c1f9a42573bb4ddec72162b83db02e7e902e50f5228d30a89af19b56f5,55.06422,-3.25039,8583e948-022d-4624-bdb4-316dab544e88,3
4,"St. Andrews Cottage, Kirtlebridge, Lockerbie, Dumfriesshire DG11 3LR",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279544?s=c69db8954c8dcc55e1726165c2dad95364cbd92905c638ae1247040c1522bea0,55.04753,-3.21184,e33c96a0-4a65-4a8a-9661-66f26e628db2,4
5,"Kirtlebridge, Lockerbie, Dumfriesshire DG11 3LR",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279547?s=2b3c8fda47b54508927df3757e2fc218c83c6c29f15c1079b3feec708330262d,55.04753,-3.21184,a816bc57-eb10-4b78-9df2-a112ff65e4a3,5
6,"Moss-side Cottage, Hightae, Lockerbie, Dumfriesshire DG11 1JQ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279496?s=bf0d5a2f4b198cc12f190438a61c57be3acfb8cd5cd708af8bc4ba4fc0e732d4,55.10146,-3.44214,0210ff75-fe5a-4993-bc51-e76da0a76947,6
7,"The Cottage, Waterbeck, Lockerbie, Dumfriesshire DG11 3EY",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279535?s=3f17df086bdb612959ae99b04b6405ad9f3935d398143a43e62773f84b5df45a,55.08738,-3.18061,46a653f6-26b1-42f2-8627-c6afce72c06f,7
8,"2, Ravens Court, Lockerbie, Dumfriesshire DG11 2BF",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279505?s=ad0ea68b771c51b793eb030250bdff15661317f9e4b4d2b76274f1a222e3598b,55.11547,-3.36488,f8de46c0-ab29-4ba5-bc69-f807d3457de1,8
9,"Melville, Burnbank Street, Ecclefechan, Lockerbie, Dumfriesshire DG11 3DH",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-26241906-21279526?s=c1d66878bb5f1af68514116ce1485cbeea20c594093c392589f78eb57618b8ab,55.06106,-3.26861,d074aed7-1e02-48aa-8014-6b17e8f031e0,9
10,"19, Cartref, Marjoriebanks, Lochmaben, Lockerbie, Dumfriesshire DG11 1QH",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279499?s=407fb3ce7040a0ae45f366c58735c9f9c6a7220ede272d9443848a9692c8faf7,55.13633,-3.44246,69c368af-9736-4617-956e-f54bd91de1c3,10
11,"2, Blacket Place, Eaglesfield, Lockerbie, Dumfriesshire DG11 3PG",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279550?s=d98db2588ee0405f6f58687b6a4991125ebe9d11344453634dad27b720d6da88,55.05843,-3.20058,56eb5f81-456a-40c7-909c-bd30725e609b,11
12,"6, Grummel Court, Lochmaben, Lockerbie, Dumfriesshire DG11 1QR",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279502?s=8a407edc22664f0784239b245730ad9bec316e300712d41e034edfcda8e17a60,55.12974,-3.43736,916ed101-0334-461b-a158-2165c7496cf4,12
13,"26, Bridge Street, Lockerbie, Dumfriesshire DG11 2HE",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-114941189-21279514?s=8072a305dd7fd5e53f87ee882aec80808534d78ae9d38e64c1ac16f4a971558e,55.12217,-3.35241,8ac9212f-a262-4651-81d1-d0f30dbc66dd,13
14,"Drummond Bank, Middlebie, Lockerbie, Dumfriesshire DG11 3JP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21279541?s=33906b9bb79fe8e5994a230a255bcc60cfdd38a75c2d62fb70c584d5587c89dc,55.07388,-3.2283,3615584a-d891-4695-be5a-eb2822df083b,14
15,"17, Queen Street, Lochmaben, Lockerbie, Dumfriesshire DG11 1PP",Unknown,6.0,https://www.rightmove.co.uk/house-prices/details/scotland-91153531-21250105?s=0aa06b8a56813332f7077834dca93647169bfe49aed51abbd0329aa8c29f39b1,55.13076,-3.44226,cb17639a-96a4-4f6a-a6bb-515e662cf8df,15
16,"34, Annandale Crescent, Lochmaben, Lockerbie, Dumfriesshire DG11 1PT",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-121776665-21250108?s=bc59ac94c2b8512be0b450ba703b4aa3fe85cb4236d897ee1d43206c62952a72,55.13132,-3.44024,04d205d8-9bec-4940-9d70-a5b557bcce17,16
