,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"27a, Caberston Road, Walkerburn, Pbl EH43 6AT",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-331062?s=82bb0e790bc66ab85e73c9980831a2ced6e8e91555bd5e31de3aae5f4eb13e27,55.62253,-3.01847,8868f67f-09fd-47fc-a1e5-25d6def9c32e,0
1,"Tweedbank, Peebles Road, Walkerburn, Pbl EH43 6AY",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-51459733-301689?s=31e26296ad7d62a1b2154e4f93dfe7cff9ceb17140282f060e9b10b00a4387ca,55.62466,-3.02234,1e7de0fd-bc0e-40ca-afd2-1e386a80fb19,1
2,"30, Peebles Road, Walkerburn, Peeblesshire EH43 6AY",Unknown,1.0,https://www.rightmove.co.uk/house-prices/details/scotland-54375766-20059414?s=c7937019ff2b0772a85bb6456fb2ca588038e03415424635408e7800c854d6bb,55.62465,-3.0225,2eeeff3b-9f43-43f3-bea2-7536fbc95853,2
3,"13, Caberston Road, Walkerburn, Peeblesshire EH43 6AT",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-39341487-20059411?s=b6b71549f71da7acb8754654e9f72eeffb0a62928996376bbae317105d886715,55.62253,-3.01847,9c8d2f7d-70d4-400b-8a52-dd883f7ea0bb,3
4,"2a, High Cottages, Walkerburn, Peeblesshire EH43 6AZ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20059417?s=eb9858e31bdf9914328de57e6a5a37d178df5a25755a02ebbd7653e6ac02a2af,55.62509,-3.02394,536a9ae2-9b3f-4aca-8fb5-c3d9d7f4e6b0,4
5,"Elibank East Lodge, Walkerburn, Sel EH43 6DA",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-274212?s=886beb5aae71b07ccd2d94805b2bb20173ea0282904d8462337ad3b6b716460e,55.62048,-2.96078,861aa2c8-e031-4c2e-8d38-4eaa7ba55a33,5
6,"1, Caberston Road, Walkerburn, Peeblesshire EH43 6AU",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-250677?s=cf12a03cd280118f91580a6a9c160e68f7a6d5b64f9d28512edcce163bc8c658,55.62377,-3.02057,8f3184e0-6d97-4969-a942-2e91ad4e9bef,6
7,"15, Peebles Road, Walkerburn, Pbl EH43 6AY",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-50730298-222426?s=1452f0aabb1559a5fe7fa7a4100fc26458b34d517a0369c12ca2d1028de2a3ea,55.62466,-3.02234,a1a9c315-dfbc-4d10-9e03-92a87e9a5ffa,7
8,"Elibank House, Walkerburn, Peeblesshire EH43 6DA",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-222429?s=83f9fe69fd17e744facb1090f396a37bbbbc45025970c6f399de064eee888030,55.62048,-2.96078,3d94a1e1-2f02-4221-9d35-cfd7963c5326,8
9,"1 Juniper Bank Cottages, Walkerburn, Pbl EH43 6DE",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-222432?s=8ddc549c3bcaa4728b6237d5a06ff771b3758df1379c4f8b9f99b3d618f09d99,55.62607,-2.99236,8ad1b544-790d-4337-bdb3-c08a063e2b1d,9
10,"Lot 3, Old Caberston, Walkerburn, Peeblesshire EH43 6AA",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-19908796?s=7d650e04587b168b55e091d09988a5e7e2846c4e2617331b8e30d6b4b107b2a5,55.62447,-3.01169,4a8c529b-b9a5-40ef-8d9f-3f61308440c2,10
11,"Caberston Farmhouse, Galashiels Road, Walkerburn, Pbl EH43 6AG",Unknown,0.0,https://www.rightmove.co.uk/house-prices/details/scotland-40160748-21534779?s=5d3a7f7b4e53dbf8562fc49f0955ee54f7008d2aea6f659f94abcee11194e5f5,55.62361,-3.01802,d0bb73e1-e515-4559-b3e3-b646156b5c83,11
12,"73, Tweedholm Avenue, Walkerburn, Pbl EH43 6AP",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-68923318-21534785?s=02c8e598da0a09b421c6a6f5b75b162078a86c6d1035c82acf7b3b2fdc7e45d1,55.62441,-3.0082,5f4a1b2e-c7f3-443d-8f5e-756803894ca4,12
