,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"10a, Bencroft, Cheshunt, Waltham Cross, Hertfordshire EN7 6BE",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-120790868-16476712?s=29e0d351ac94cbfb9d77feb13a6e43bb90ed951cabbb0ed71e25cd7c1792ea78,51.71957,-0.05851,c7fb4cd8-b4e5-4a89-ba27-12e9721ef693,0
1,"71, Bushbarns, Cheshunt, Waltham Cross, Hertfordshire EN7 6ED",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-85460448-16476721?s=6654dd62a467c0ea1f1369d4e61e43ae3bf8becd9c84457992dfe975e0fa593d,51.70755,-0.0599,e14b28fc-681e-4b5d-b96c-412b12341821,1
2,"102, Elderbek Close, Cheshunt, Waltham Cross, Hertfordshire EN7 6HT",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17034268?s=278a7efa4ef82bcb686563880478a7850983bd8d731279350c62f24e7bb8e163,51.70969,-0.05894,0c16dcae-6201-40b5-9d6c-9295802a46b8,2
3,"11, Greenways, Goffs Oak, Waltham Cross, Hertfordshire EN7 5JY",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-126192860-16476676?s=26acea7eb516e933c04176420921090b97083a3b95ab7c18c95ba15a9eb68a09,51.70712,-0.09451,9596d504-f080-4bf6-8cf5-217e64c6cc44,3
4,"102, Bury Green Road, Cheshunt, Waltham Cross, Hertfordshire EN7 5AF",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-120262316-16476658?s=055cb6efd83fcf6154204b7b0d66fe7cc5597fd8fef89da850931142e60ba45b,51.70003,-0.0566,043aaa3b-9c90-483c-8cc7-82af8653e9b6,4
5,"9, Broadgreen Road, Waltham Cross, Hertfordshire EN7 6XH",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-122433803-17034301?s=a164927f6ff9cacc948b6b5aae1eb133bbb5f9284139a81380d11ae0a1061b5a,51.72108,-0.07915,24f6249b-a2fb-466c-a664-3d14f5a9f9e7,5
6,"251, Appleby Street, Cheshunt, Waltham Cross, Hertfordshire EN7 6RB",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-122657414-18001717?s=92b2c6dd9c2ad243af5b903fb59a6f8d81f4f91913e3ececb99c0ae6c7b68c9f,51.72338,-0.07674,4c8d5a27-311f-44e6-a7f5-19374b8fba9a,6
7,"29, Rose Court, Rosedale Way, Waltham Cross, Hertfordshire EN7 6ET",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16476727?s=a84c07bd507fa79fab2cc68dff33b4ed5fe548eb10f38ae8df5f6ba6e7f1f5e6,51.71505,-0.05654,3b5d6828-d2e5-4b66-bcb9-3ffe663c0ea8,7
8,"39, Shambrook Road, Cheshunt, Waltham Cross, Hertfordshire EN7 6WA",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-126437210-16476763?s=942b36ad936a03b697d06003c24a35a2b4837e706c6956d7aad35c257d94ce9b,51.7254,-0.09055,20c57f51-d5a2-433e-aa3d-e583d819d4dd,8
9,"Greenoak, 47, Newgatestreet Road, Goffs Oak, Waltham Cross, Hertfordshire EN7 5SW",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16476703?s=7ab714d6a443d3055172ab25873355ef7d3abbfc3803bc584ed32dbd840c3dc2,51.71199,-0.08953,3fb44a5f-6f6c-4281-8673-f8c109f980a5,9
10,"53, Hampden Crescent, Cheshunt, Waltham Cross, Hertfordshire EN7 5AX",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-85133100-16476664?s=31f13cce94befdd32474cefdde5cb2fcc54b2fab52ac81cf9db7be31ce184da9,51.69782,-0.05351,be45ff06-ed68-43ac-8e02-a071cb15e332,10
11,"169, Smarts Green, Cheshunt, Waltham Cross, Hertfordshire EN7 6BD",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-122876570-16476709?s=d9b4155f34660124c5f270ed5708bcd3a3af5ec2635f809701230c2e59fa5ed0,51.71865,-0.06246,839c4014-9fd2-429a-aa54-decb884d9b3e,11
12,"11, Edward Close, Goffs Oak, Waltham Cross, Hertfordshire EN7 5FD",Detached,,https://www.rightmove.co.uk/house-prices/details/england-18001642?s=12519aea087a42494786c3ae36c59fa353acdd07e9110cd7143fa9fa2f995639,51.71092,-0.09594,2db4dd01-4495-46a1-950f-e37eb7523ae3,12
13,"5, Windsor Close, Cheshunt, Waltham Cross, Hertfordshire EN7 5LW",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-126630710-17034235?s=e545989a882d997f17116c2a43298e162be927285aa86a19b99b8fea1179aec0,51.70194,-0.05811,49ad6251-4a2e-4457-8294-380edc636461,13
14,"25, Tudor Avenue, Cheshunt, Waltham Cross, Hertfordshire EN7 5AU",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-123688094-16169767?s=1e5bf467d29e2d5e1c827cf5fd83c704d772b98284c91de709c3cf3ec4ae3650,51.69919,-0.05461,76a11283-d91b-47a3-8b59-1dac2fd9365c,14
15,"1, Whitehaven Close, Goffs Oak, Waltham Cross, Hertfordshire EN7 6NQ",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-119492315-16169842?s=75cb2515a2bcb0f0c7fa613a5b7b67415135b0594b06099b3e2c2c1ff828dfbf,51.71148,-0.07478,552aca10-03d7-488e-9053-abf066fb7021,15
16,"41, Tudor Avenue, Cheshunt, Waltham Cross, Hertfordshire EN7 5AU",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-119586494-16169764?s=91c8c8a272f8a05f19650a4c664d140ba3d0885d2b9f05521c637a2734e82e8d,51.69919,-0.05461,058d4392-3b85-41bb-a09a-787e73dac101,16
17,"6, Hawthorne Avenue, Cheshunt, Waltham Cross, Hertfordshire EN7 5AE",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-126963773-16476655?s=7f8c967d65727da9b20c0ac9995a0ec241473abbbbc6d985cb5ab09089d3efe4,51.70058,-0.05195,a40e8ea9-6ca9-4bb3-b4fd-94487894cbfa,17
18,"7, Sell Close, Cheshunt, Waltham Cross, Hertfordshire EN7 6XE",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-119900306-16169860?s=84167ef1f5360e91ab901e3e54a31a318a8517068a700bb7c574c024a8409a45,51.72334,-0.0905,537e9c7f-e820-4651-8097-7fb84639468b,18
19,"31, Willow Close, Cheshunt, Waltham Cross, Hertfordshire EN7 6RY",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-123594947-17367964?s=256a5f4c7915e9336bfdcf7e2a72cb821f39e41304d42588e1d23e0ec3ddadc8,51.72075,-0.0699,eaa414c4-ce1d-4b85-a5cf-351fc2705328,19
20,"15, Edward Close, Goffs Oak, Waltham Cross, Hertfordshire EN7 5FD",Detached,,https://www.rightmove.co.uk/house-prices/details/england-18001639?s=a43827dc25e3da9987625a2aed8396cb5c5493f830c1022cf5d98f6263ba5d29,51.71092,-0.09594,2d6c7a7f-f01b-4400-89df-8660e684b99b,20
