,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"437 1/2, Carmunnock Road, Glasgow G45 9DH",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21259840?s=26bcd2c09a324f020eba0195d7ddf3c88f6d078dab1fe19e0bef5736538ec45d,55.80514,-4.24337,d2824707-1f24-4e60-94bd-f07e08a06c1a,0
1,"104, Ardencraig Drive, Glasgow G45 0HW",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-120995231-21259822?s=06bfc7d91c1537ffe385b6ee6e74a4ca32f3f2ccb69ad8daa5601466b6d8a1c1,55.8031,-4.21661,7d17bc86-cc29-4bfb-a462-d55abbbb1e97,1
2,"16 3/1, Birgidale Road, Glasgow G45 9NA",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21259843?s=e4217123b006d8d6ae45bf37874c0e6b60c3c69e026c364a9d201fe17c3582f5,55.80214,-4.24001,df1ceb6e-50e4-46d7-b468-c80aa0ac7e18,2
3,"416, Ardencraig Road, Glasgow G45 0QH",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-121617647-21232792?s=c2b0b492c7d8223c30d1819c4a9ad5430dd3be3650b38f67aa76cdb9f265279e,55.7983,-4.24378,31418446-94b0-4137-981c-15692fbf46b1,3
4,"194 2/1, Castlemilk Drive, Glasgow G45 9JA",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21232819?s=4b77be7dd22770d7334b30a6faebf1f143adf0dad3c52c45bd41778eba4b7fbb,55.80275,-4.23111,83fd835b-eaad-497c-a882-900b4459375f,4
5,"15 Flat 2/1, Ardmaleish Crescent, Glasgow G45 9JN",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21232822?s=127a5fe766950eb6c30647a2540a4907a49e612501c3a4bf342e0339abccce67,55.80218,-4.23299,5de152f1-76be-40c4-9ad9-547e622a3207,5
6,"60, Linndale Drive, Glasgow G45 0QE",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-121244213-21232789?s=0f2e791136cb8e65674837211c2dcf56cc3ea8319b434a4bf50e1d702f657849,55.7976,-4.24757,6695b3b4-179a-4ac3-ac8b-6840443e17ca,6
7,"6 Flat 1/1, Cavin Drive, Glasgow G45 9TU",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21232825?s=818bdc693220c733ed390cd97afbdf4759867fe95848ed225cf84c630712c56a,55.81053,-4.22868,a43654b4-2e0a-491f-b4fb-2f81be7b83fc,7
8,"19, Bowhouse Drive, Glasgow G45 0NA",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-122591231-21232786?s=93e04ba391ff83ce5c4d5538237dc8d13011365156e34afe8edea331b8028c43,55.81307,-4.21733,de9c2c03-f665-4b9f-8162-413eaef371f3,8
9,"52, Scarrel Gardens, Glasgow G45 0DN",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-85066152-21232783?s=158c0430d8e2b9650f174839e82a432c525859b31716e0b3b9d744f3ad82a68a,55.80903,-4.21711,37b39a67-b867-44e5-bd74-a9ab397bbb1f,9
