,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"10, Rokes Place, Yateley, Hampshire GU46 6FF",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-120167315-16182532?s=f7dc6ed908f73ecd230c9a38d69d9aba4488bddd3393659a4764708b8850b0fa,51.33856,-0.84905,72f020ae-b877-4d57-b194-59f3c82be14c,0
1,"7, Bramling Avenue, Yateley, Hampshire GU46 6NX",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-122957138-16489753?s=12838dd68ff5b8458402fe63d3fd94f6dab5d4ec84e452010d51d47eb69426b6,51.34039,-0.84255,660f5191-bc20-4d75-9539-ddfacb51d38a,1
2,"14, Frys Lane, Yateley, Hampshire GU46 7TJ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121962587-16775020?s=ced3b6e17677c3e5bb107e41f870561b4bdf516c0705962817fa1c45ed280777,51.34333,-0.8218,e6c1c709-90bf-40cd-82c8-5e45bae3456b,2
3,"22, Robins Grove Crescent, Yateley, Hampshire GU46 6PT",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-123150626-15869296?s=0bdb5605e15e0ed56d5fcb220fdc972243c968148056dacc87c7faa6fd2fa37e,51.34165,-0.84309,7dafa837-9feb-4aa8-ac80-f824b9b0fc47,3
4,"2, Walnut Walk, Yateley, Hampshire GU46 7AE",Flat,,https://www.rightmove.co.uk/house-prices/details/england-18013789?s=cf7cda36c9f7dcc5e2420d46a8035329fefd151d41888888c46170e6654fbd22,51.33992,-0.8137,49f28ccd-dcc3-4a34-98bc-ca073de698c5,4
5,"54, Weybridge Mead, Yateley, Hampshire GU46 7UX",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-15869353?s=7912bc7b69328fb37f5340d0432893ec61ad9c633a8ac3157ec57f3bf868a54a,51.3423,-0.81824,07e0d387-b010-455f-bcb9-f68fe64ae6d8,5
6,"3, Cornfields, Yateley, Hampshire GU46 6YT",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-120080852-15869311?s=bdf46441fca1462e977f2928db28b1135ca4ac941379acda6a3ab7b10b04189d,51.33292,-0.84187,ccc72dd5-49da-407a-8e84-717726165cb9,6
7,"7, Betjeman Walk, Yateley, Hampshire GU46 6YP",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121671398-16182562?s=982ffd61d7370246a651e5220370ecc56f610c20ee5a292eadbda7a4adee9871,51.33138,-0.84091,17c1ac9b-94da-4e0f-99d6-205a0d86078c,7
8,"4, White House Gardens, Yateley, Hampshire GU46 7QN",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-121282340-16182580?s=cdb704f925324d8cecb164f296e041ceac5d8e988dbfba62ba9dd5dd69c6dca8,51.34324,-0.83099,485d93e2-a78a-4416-9232-9c37db7ca723,8
9,"31, Patten Avenue, Yateley, Hampshire GU46 6EW",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-85331193-15869257?s=da3816f0de31de1d1cd78a1fa50f6585ba67e07a0e07acb8389e3a2633df4b3f,51.33465,-0.83508,584cb733-464a-4618-9533-b8c26441eb7c,9
10,"11, Frensham Close, Yateley, Hampshire GU46 6QA",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-119546189-16182556?s=0a664a2b6c36617137a2cf067667723b25c894b8b5ea06497e623f473afef4b2,51.34235,-0.84121,74cd076f-ec19-476d-8222-8a8e5c3e1165,10
11,"37, West Green, Yateley, Hampshire GU46 7RW",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-118586300-15869332?s=e96f31847533addc5a14eccda155381d5b3b452c5ceb76fb5e441ddb05dce834,51.34335,-0.84204,2119d4c5-d6db-4e35-a482-c41bff33c1b6,11
12,"49, Morley Close, Yateley, Hampshire GU46 7TZ",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-119690174-17048368?s=d57f10fcce7cf09afe4d4290bfb59bc16e2da0ac7ab44e7b80501f6e01ef9d2f,51.33817,-0.84562,ded4d848-609d-4479-8676-7c102144893c,12
13,"44, Oakleigh Square, Hammond Way, Yateley, Hampshire GU46 7AG",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16489762?s=511cec7c556b5c129d841cec8b23f5880b577f7df693a486550fe9a65cba19f2,51.34011,-0.81456,5cb9e8cd-f70e-43ce-9093-a15a50364c8b,13
14,"6, Freshwood Drive, Yateley, Hampshire GU46 6DJ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-122312561-15869248?s=b452ee2bbfc1e6052df8601e8d4325fd3d539bbdd2c855befc757286f08cc8c8,51.33065,-0.83102,f9981f3c-c020-4abd-ac03-cef232a4ab1d,14
15,"16, Limecroft, Yateley, Hampshire GU46 6ND",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119908043-15869284?s=92d93de0133c7c147a84966ef6079d7b2c726fa58492f3d24fc7119ad873e706,51.33477,-0.83795,49784749-de05-4cdf-8838-0b1baa4fc67c,15
16,"4, Wordsworth Avenue, Yateley, Hampshire GU46 6YJ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-119393222-15869308?s=735578ca4ff674e6cf3ecd06050441094a186db914796082e3db5b967a58ac11,51.33236,-0.83988,1c34698e-b418-439a-8451-cbd575b54ef8,16
17,"Trade Winds, Handford Lane, Yateley, Hampshire GU46 6BP",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119562272-15869242?s=bb6473d5f3d51f3dee531534eb7136c2440bd1153db6685012d3f453c5f71191,51.33533,-0.83119,95862377-cdf6-4070-8ecb-5d764aed9252,17
18,"14, Lime Court, Wheeler Lane, Yateley, Hampshire GU46 7AJ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-15869317?s=c1a441908c0b234925e28b21ee67da1ed006e06cfe792be1ef39a0eab85dc75b,51.34092,-0.81483,2f91d99b-c05d-4301-aaf2-714a175245b0,18
19,"41, Whitley Road, Yateley, Hampshire GU46 6DQ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-119469890-15869251?s=b092bfacae2419ef76f173a4407720f398d01b9d0c3f777056bb81f033cae221,51.3301,-0.82931,6622d97b-6fad-43fb-a20c-b7861a6006bf,19
20,"75, Farm View, Yateley, Hampshire GU46 6JA",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-49633173-15869272?s=ff3d00cb121d07f78e0d73fed807bcaa90b77f41c496b952b4bdcd5374a2fbe2,51.33656,-0.82829,92d9a79e-fe82-4023-b11d-86dbc5874af5,20
21,"2, Caswall Ride, Yateley, Hampshire GU46 6BN",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-82873353-15869239?s=fa06608644ef8a4ca1c4f39caebd2b46b8b01e7cc52ed9290278c47f82a3db18,51.33662,-0.81623,8e5cb439-9de8-4827-a960-f2164461800c,21
22,"16, Lower Moor, Yateley, Hampshire GU46 6HF",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-119763968-15869263?s=9d6b0eeba76fa5d8002f0f11ffe858fb004fcbaeabc1c1cf73495ea92066ac4e,51.33502,-0.82675,a1177506-b511-4d52-8d49-5e9aded26956,22
23,"1, Yateley Court, Tindal Close, Yateley, Hampshire GU46 7HG",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-15869320?s=16c1d66fe005088ba3ed2853608e857dffe2f8e03558ba1dfac8a00a4df6a10f,51.3417,-0.82974,a59f4cc0-ae75-4ac8-98ec-12effa1b5972,23
24,"Brackenwood, Little Vigo, Yateley, Hampshire GU46 6ES",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-117163121-15869254?s=3edcaf75fa9c9edc96816ffde1400789375c51d50b96c497346fe420ace6b252,51.33003,-0.84037,915a771d-fe7e-49bf-b728-e861fe61d7ed,24
25,"6, Maple Gardens, Yateley, Hampshire GU46 6JG",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-122634782-17048326?s=b100f5824dff5d6effa24802948830a90b9d03d67cc7b35e865c3e7d4d7c1d2d,51.33412,-0.8272,6ff49cfa-510f-4040-b59c-a162b1a9fb93,25
26,"Whipple Cottage, Handford Lane, Yateley, Hampshire GU46 6BT",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119555576-17048302?s=9de51f3916c0de1fbbf74de9a3167a5f7a2d6831943f003f274b2cba939c3d5b,51.33358,-0.82664,5917f871-5601-46b4-a5a6-b9cdd7e46e62,26
27,"15, Elm Bank, Yateley, Hampshire GU46 7SN",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-48651009-15869338?s=2a11fadf70487b9a218bcb2297ccc62fd4a1103f39b4c3e23ccb49d0a6dfec0a,51.34514,-0.83166,f2c65162-5bf7-48c6-b877-0e6e230e74d9,27
28,"4, Shires Way, Yateley, Hampshire GU46 7SX",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-121253945-15869341?s=d6c1e31273cb1ff405354cd8e683ba0b05fe0f7ddfe5e2a253e8f6fb396de619,51.34655,-0.82947,8ba82cd9-ad52-44ad-9d76-5057d3ba78c0,28
29,"Oak Trees, Cricket Hill Lane, Yateley, Hampshire GU46 6BA",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-121248674-17048296?s=7e679c1ce37390614e20598dcb5767258f0bb88254b1563c27947d699570a4f2,51.33425,-0.82232,e72f2db1-9717-47de-a082-ae0a88ab7915,29
30,"17, Ryves Avenue, Yateley, Hampshire GU46 6FB",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119692289-17048317?s=bde4fdd9b527caab6cb880f82e880918ec8657e03e4743758188d7a1fdb85787,51.33711,-0.84708,504d81ae-6dbb-4b2a-9773-13afaa15ad93,30
31,"9, Lodge Grove, Yateley, Hampshire GU46 7AD",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-118992632-15869314?s=45f22cd61560ff81cfea8f3ab36194e85c203db438e6bd2842c5382d5fe9b046,51.3394,-0.81601,e4b64202-0767-4ee0-bf80-23baadb919b8,31
32,"14, Clover Lane, Yateley, Hampshire GU46 6LN",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-117163232-15564001?s=e74a0ce43d5a34be9a699cf680738e67316c05da431c349e76bc61bf6066262a,51.34195,-0.84581,4336fc7c-e23b-42d7-9c80-d05cba1b7bad,32
33,"1, Birchview Close, Yateley, Hampshire GU46 6DL",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-123237833-17709364?s=80ac8d72893a571f87faa6aa7fddbe519c65a34c4bd0c50f01e3bd93001f1f00,51.3302,-0.83118,23fb3cd6-341c-46cf-825c-b066d15b12b3,33
