,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"4, Kilburn Close, Almondbury, Huddersfield, West Yorkshire HD5 8LH",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17051605?s=9f433d00c6eb85b1cb8746832f2a1c96d22b590b27c94b1dd649d1032fc1ace0,53.64083,-1.76703,39ab56e6-8566-4729-8a7b-5f015b6f3cdc,0
1,"201, Fernside Avenue, Huddersfield, West Yorkshire HD5 8PH",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-131293268-17051617?s=8f3411bea6d776b6a7e98d3bb1ff21512915ae8d3c019b8775955b91e5858886,53.64176,-1.74056,bc4be374-5ba6-4c07-b624-306a930ce980,1
2,"20, Benomley Road, Huddersfield, West Yorkshire HD5 8LS",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124096751-17051611?s=1c047dc158def2c79c663ce4ce55be236eab51506bdfdd9c2d3dae48c51c432e,53.63443,-1.75603,010f23b2-1987-4bb7-8b8c-ebb862965196,2
3,"23, Sunnymead, Huddersfield, West Yorkshire HD5 9XR",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-124722455-17051686?s=b0bad19171b6a60dd36ce737fb365bee0ae8a8413f8f2717141635c47dca253f,53.6458,-1.73842,3c38353e-ee65-4bb3-baa1-03c91fb11b14,3
4,"19, Knowle Avenue, Huddersfield, West Yorkshire HD5 8BQ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-127551521-17712388?s=2a8a1860021984c70c4f4e1e4674df14b622f67f49c8afb54d4467d6f03bb516,53.64387,-1.75809,2872d1a2-39cb-4e13-9eae-7c564e96bd9d,4
5,"69, Bank End Lane, Huddersfield, West Yorkshire HD5 8EW",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-119024660-17051587?s=ac0d327ef6935ddccd153575d4c3af555b38967c7048019371d510efc92b7765,53.63919,-1.75479,63df0357-3f10-4a2a-9e0b-dd01e1893ad3,5
6,"35, Rawthorpe Lane, Huddersfield, West Yorkshire HD5 9NT",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-122691455-17712469?s=8b7bcce69187b8d208d352ba5557129479697e8287a75cb3ba3d71718f72e512,53.65196,-1.76001,74a18e39-dda6-4024-bc49-e0f49ca89fb0,6
7,"41, Robsons Drive, Huddersfield, West Yorkshire HD5 9JW",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-85177713-17051671?s=50b3f72ea0b6f6ae21c75da53dd3dcc89a26d0c889b0d4cb84823a1e2b3d3699,53.64819,-1.76245,a146fbcf-bbfa-4f9a-9cde-a3740c97cd05,7
8,"18, Sunnyhill Avenue, Kirkheaton, Huddersfield, West Yorkshire HD5 0HF",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-123654719-16492750?s=51bd9487b04cecadd4e7a46ff56375dfe8784a5f35f80acb50db8a94ac1a9b91,53.66341,-1.73316,7373a2ad-ff46-49cd-b777-b45d8c05d91d,8
9,"13, Fearnley Mill Drive, Huddersfield, West Yorkshire HD5 0RD",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-123230264-17051557?s=80daaac1d9c5d63670b6a5552bd51dded5231127999bbd4187179e9ed0e481ec,53.68256,-1.73667,339c768e-59ac-4ef4-a319-c856aaec7575,9
10,"26, Southlands, Kirkheaton, Huddersfield, West Yorkshire HD5 0JU",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121618793-17051545?s=d31a3c172f9676278d86490accb892c0b894e5c6f51059d106555281dc77fbca,53.66008,-1.73273,7b4ee70f-4806-482f-a628-7bc8b24e1f04,10
11,"8, Teddington Avenue, Huddersfield, West Yorkshire HD5 9HS",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-126912449-17051659?s=0931ba033e4ac8961bc2bbe91abdd34c3e0b24895b25dc97af50db665555c8b5,53.64691,-1.74991,a542d020-0b2c-4528-bf76-723a54f2af41,11
12,"75, Lowerhouses Lane, Huddersfield, West Yorkshire HD5 8JX",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-122988680-16777633?s=00abd16c69dbc07e2be6aae1fc6a3ba53f67a7b6d0358ee343ccde82b9df40af,53.63499,-1.76586,a522ac5f-9bbc-4710-adf0-6a66e4b3a84f,12
13,"31, Dyson Street, Huddersfield, West Yorkshire HD5 9LT",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-131904638-17051674?s=2df8db1f846fc960ffe5689bac4d6b91bf20319b4c59a628c087d4f6a29c116a,53.648,-1.75761,b27eaaa4-418e-42e7-a23b-ab149fcaf7be,13
14,"36, Woodedge Avenue, Huddersfield, West Yorkshire HD5 9UX",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123512882-16777708?s=21e340999cd6d73449368337e92a7f4c7242b12ea95ed7dd0f1bae5f38bf310b,53.64742,-1.7381,3a9a4c38-c869-4d4f-a2bd-cf0f9a79d130,14
15,"35, Mount Pleasant Street, Huddersfield, West Yorkshire HD5 9JZ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-122288306-16492837?s=e60d57dce768f41f77d2bb35d31cb8307cce28e9f329587cbe8cce4d9444ecf6,53.64756,-1.76352,4a77a671-47f4-4dc9-a915-29cf82806581,15
16,"14, St Pauls Road, Huddersfield, West Yorkshire HD5 0EX",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119866415-17051542?s=77c56e66ece5a3b819e1cbc815a26b4b5bf86904da0d9d2cc4eed8840c22084c,53.65432,-1.72974,7571cbeb-a8aa-4d28-bee3-c4af3ac713de,16
17,"75, Mereside, Waterloo, Huddersfield, West Yorkshire HD5 8SX",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17051632?s=756bc5db9c45c62f30ac21c0a103da56f579657541c5bd4843c7ee2e949575a5,53.6412,-1.72922,74f2bc01-9e85-438e-a823-186fdacd77d4,17
18,"20, Mereside, Waterloo, Huddersfield, West Yorkshire HD5 8SX",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-120963053-17384905?s=d3db9b41827f5134b26fc1d921a4425f4b6ef5747d096a061840cf4b62ff127f,53.6412,-1.72922,5eaebc9d-28e3-4fe2-8318-12d36ecce60c,18
19,"86, Hall Cross Road, Huddersfield, West Yorkshire HD5 8LD",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123610988-17051602?s=5f83678841dec2f9335df2fcaf1b6a5aaa4f2827c09068f89c9fdb96f717db36,53.63355,-1.76768,b48866a4-b9f6-44bf-a02f-cc92e1ecc045,19
