,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"7, The Fennings, Amersham, Buckinghamshire HP6 5LE",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-84017523-15877297?s=59edb0c147192dd6216d175fb021b7243e061944770cb4bf2c77bfe65b9197dd,51.68507,-0.6045,781249ee-4449-4838-95a4-10890b18c26c,0
1,"10, Chestnut Lane, Amersham, Buckinghamshire HP6 6EN",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121756559-15877315?s=64c288bcf1474bdfd909e2b6b784e87ac6c19828ca72fda15c7a03b9e4df9fd2,51.68068,-0.59089,89e3bc0d-004e-4802-9a81-3d6fefd289e2,1
2,"48, Marygold Walk, Amersham, Buckinghamshire HP6 6QF",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-119712920-15877342?s=85b3fd9d0199894039192c90fd0b86cb0a476599c2e3a6d2435be15fd6fd0723,51.67025,-0.56909,186018d4-db6b-4cca-9768-2bf525d10f93,2
3,"39, Park Place, Amersham, Buckinghamshire HP6 6NG",Flat,3.0,https://www.rightmove.co.uk/house-prices/details/england-77751663-17056426?s=6b0b3afd6dd9eb16b8a7c22a4975310a0e89e36719bcaefcfc8b72e668f3c268,51.67528,-0.59034,f7b16c56-9ee8-49ff-b40d-b6d03f0d3309,3
4,"11, Oakington Avenue, Amersham, Buckinghamshire HP6 6SY",Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-119681009-15571693?s=f16e816abaf09325b9e8d325bfb0c930ea028da8f7ad65ee93b5a544393a6e65,51.66748,-0.55573,109c3727-4d52-4ecd-9867-c1f80842b023,4
5,"14, Bois Avenue, Amersham, Buckinghamshire HP6 5NU",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-119329952-15571609?s=f9e20027f4b632a0575c5a5ebf60ddd9cfaa5e13a947b2698a079c9c4a5bf9ce,51.68478,-0.61811,f0956d6c-e648-47e9-bcac-5263bd9374f4,5
6,"Chartley, Hyde Heath, Amersham, Buckinghamshire HP6 5RW",Detached,,https://www.rightmove.co.uk/house-prices/details/england-15571615?s=818b474922368d2290cdca1cb8c3b6728aaa543562c2b926600d684146fb6e53,51.69365,-0.65444,334e313e-5173-4939-934f-b702a461e4f7,6
7,"9, Weller Road, Amersham, Buckinghamshire HP6 6LQ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120583496-15571666?s=e77721af57e3ec6954605a5b44827693ee61d849c8bb37e457d9247a9b98c8c7,51.67906,-0.5908,65ced422-3e29-483f-b246-39d41be6b350,7
8,"36a, Grimsdells Lane, Amersham, Buckinghamshire HP6 6HH",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-122188118-16497004?s=5dc379c9f109be45fd35be3c3f10c254803d5ed2f1489a8ba7436c162a7eeaa8,51.67824,-0.59762,92b10612-74aa-4a4e-96b5-0d2acac3de6c,8
9,"Flat 26, Archer Court, 43, Chesham Road, Amersham, Buckinghamshire HP6 5UL",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17056405?s=0812f3d0e695009fbcf2980ae645efd99e4c0fa7b7cc6cc74c54a26422715b1f,51.67854,-0.60759,f733a7b9-f730-4b5d-a59e-a773c4d638f5,9
10,"6, Pavilion Way, Amersham, Buckinghamshire HP6 6QA",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-71921526-16497016?s=a4cfb9b82bcaa703b9ee3830333d839f4b9cac5b438fe2c28f416cacf701479f,51.67145,-0.56399,6993a096-5c95-4aba-b364-cf151ba6be5b,10
11,"34, Woodside Avenue, Amersham, Buckinghamshire HP6 6BQ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-45288539-15571624?s=910109727904514ba9f9b68fc7fa1b85b045d048e9fe6731d94b8e71ad5fb9a0,51.68355,-0.59833,fb5aa2ce-85d2-4ba1-a91a-460a4d4d4b37,11
12,"41, Church Grove, Little Chalfont, Amersham, Buckinghamshire HP6 6SJ",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-13838258-15268288?s=7ef84f953af5d3262ca3ff67577ca329aed34a84c1ff7ffae8681d2bdba98490,51.66992,-0.54886,caad51d4-fbf2-4a89-bddc-0f6e53f3122e,12
