,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"25, Plimsoll Way, Hull, City Of Kingston Upon Hull HU9 1PW",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17393536?s=d55933703c4f9c0ac238a6da32df90f6047081e15701dfe8bdf0dde724846a16,53.74191,-0.32075,16497643-641b-4da5-aaa1-793af72d02d4,0
1,"50, Southcoates Avenue, Hull, City Of Kingston Upon Hull HU9 3HA",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17393611?s=cd69ec24beffabbadd0f0ff960659a4228e132b7531659938d4b6785c14086b0,53.7618,-0.29659,8150552a-a27e-422b-a183-9103c97c70cb,1
2,"82, Estcourt Street, Hull, City Of Kingston Upon Hull HU9 2RR",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-125181251-16784035?s=ac26e963393c2d37fd27936acf8c116b8cc4e6f61eaab72f8e736c125af3b0de,53.75255,-0.30379,ae4ebe29-8102-4790-9c68-669f90e6db42,2
3,"12, Lismore Avenue, Hull, City Of Kingston Upon Hull HU9 3NL",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-85777107-17720248?s=7606af67a8624f496b788159314f6b01011b7bd821ca847316e3c11501c6157c,53.76312,-0.28197,d841cfb8-d4d0-4813-aa2c-1e48ed8b7803,3
4,"51, Delhi Street, Hull, City Of Kingston Upon Hull HU9 5QR",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-124753085-17393719?s=e64f69ca97dee2e43b969d55325926e19d8ff13b7dddd7653dfaa97ee6e6ca65,53.74887,-0.27892,9557a232-bb69-494a-8b72-25e690f33153,4
5,"26, Lock Keepers Court, Hull, City Of Kingston Upon Hull HU9 1QH",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-123805292-17393542?s=854c1a5fe50cdfcc6aad9c3f3292c268ee0f33b3bed233d733ce2e9287a95ddc,53.74179,-0.31802,2277a182-39b9-4402-a7f2-dd962f4efe60,5
6,"38, Telford Street, Hull, City Of Kingston Upon Hull HU9 3DU",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-50641853-17393602?s=b95714d9542a0c321907247c5f9a3f2bfce57bb45763e0dbf2e2b2854a49fe63,53.76023,-0.29969,db9d1795-722e-4d9a-a491-213fd839629c,6
7,"123, Bradford Avenue, Hull, City Of Kingston Upon Hull HU9 4NL",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17060296?s=c9d9b6c3e7e5611ffefeaf132f7af689305fa2efb40cd046ca8806767deb3fdd,53.75889,-0.25075,6506bfa6-7bf0-4882-949e-23acfbaae130,7
8,"26, Sherwood Avenue, Hull, City Of Kingston Upon Hull HU9 2PJ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-124479713-17060206?s=0af48dcbae77083c9ded52932810925999d7fb441b2cb04abd1da9a1a3f00bdf,53.75661,-0.29862,e36f3a94-3fda-489b-acc0-fd27db1b31ec,8
9,"3, Winchester Close, Hull, City Of Kingston Upon Hull HU9 4TT",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-55005244-16784089?s=fa81008ddac881e7e096cb371a030d5ea5d36aa49c4dfdfd350a1f23d62129f2,53.76903,-0.2743,799b49d8-09ed-4135-9166-1c942a04c41a,9
10,"12, Troutsdale Grove, Hull, City Of Kingston Upon Hull HU9 3SD",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-125952713-17393626?s=283df2116530e8a8b28c67c9e84d1ded2a11af3bcb2efe01d4a973462513f9ae,53.75344,-0.29026,977e5609-764b-4a78-b2d1-b2bf8c4b8188,10
11,"19, Bedale Avenue, Hull, City Of Kingston Upon Hull HU9 3AN",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-124189274-17720200?s=aac6b9526f9ec8f91bd14f7e4e726b0dd76830f54c1444992bc8a453b30fb121,53.7566,-0.29741,fc6f4dc7-34dd-4060-874f-a71ec1f64747,11
12,"43, Aberdeen Street, Hull, City Of Kingston Upon Hull HU9 3JS",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-123275456-16784074?s=34c6e009d39bfa9afce73eadf8f99a9a62098252be3952cb84d0e75e1634be5d,53.76342,-0.29076,64b834a3-92df-40ec-8bd9-4e179a4e2d9d,12
13,"7, South Bridge Road, Hull, City Of Kingston Upon Hull HU9 1TW",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-125763572-17060179?s=97de203c0da25ff9d33bdb5ab4f007c49e0d9ee6358729f021d8171892789550,53.73985,-0.3275,779782af-a470-452e-8890-7a5b8f5664c0,13
14,"105, Newcomen Street, Hull, City Of Kingston Upon Hull HU9 3BB",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-124379357-16784059?s=0cc192d9920e398cc79a418ae06cbb9b4b9f3fcf7eb10790c15ca1bc64565b60,53.75946,-0.30275,d76dd305-5af3-42b4-9417-13e9266e73c4,14
15,"120, Marfleet Avenue, Hull, City Of Kingston Upon Hull HU9 5SA",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-126371198-17393731?s=f56ed65d4f1cc1ac098c70ba6a2be6e0f7c661ecb3d6c3cc8fdd0d5456bdaffd,53.75193,-0.27257,75982828-ec28-46f5-8da2-a070b15cf766,15
