,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"63, Church View, Harleston, Norfolk IP20 9HR",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-118606649-15884452?s=75a149b3e062ac02d45f3a1d9934ec32cb0492694fff3d84032382a436335858,52.40461,1.30808,f24b75a9-f522-40ce-b56b-c96dac9ed172,0
1,"4, Doune Way, Harleston, Norfolk IP20 9QB",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-118804769-16197223?s=a2035cf58365a96c228e1969afdae562d8abac8c1d9c5ba1106acc020bb8c61e,52.4047,1.29823,e56f917f-0f43-46a1-83d4-b3ad886031cf,1
2,"6, Malthouse Court, Harleston, Norfolk IP20 9BU",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-128151737-15275020?s=c10939c567b55437d95f92f2fed8d82c4d78b54856426e15855e3545a3db99e3,52.40132,1.2971,e076b11e-0f18-48dd-8511-7e0c6af416e8,2
3,"18, Wilderness Lane, Harleston, Norfolk IP20 9DD",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-114805205-14976097?s=dde164505aeca736f8dbaac09c7815dc9c361e660b3955f84772afb7ac174757,52.40012,1.2948,2218aff3-f507-42b0-82c9-e27c9b02c934,3
4,"11, Millers Green, Harleston, Norfolk IP20 9EQ",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-15884437?s=86849332feec083418f882cc7b931df25b4867c562095b8a69e2584ab836ff79,52.40572,1.30037,c37ed1fe-5185-4e9b-8183-ce4889aedc6a,4
5,"The Ravens, Withersdale Road, Mendham, Harleston, Suffolk IP20 0JB",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16503844?s=e25434142ace49c7cc94f52d6e54873cd67ff2652629c0f2870637582b27db20,52.39228,1.33715,ed182aeb-f450-418c-852d-425304d7c1d6,5
6,"Clover Cottage, Metfield, Harleston, Suffolk IP20 0JY",Detached,,https://www.rightmove.co.uk/house-prices/details/england-92996457?s=0d70e1b8b5a29a35613579eb5647a90117c66071970539f46d526cbd46d19d6b,52.37417,1.37311,adc3b2af-3dc4-47cf-a80b-8d946ebc255a,6
7,"31, Jays Green, Harleston, Norfolk IP20 9HQ",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-115222988-15578467?s=8beac3184c0704e430ea14a9383731605ffd0fd90be9f88c10184f32faa71f4b,52.40307,1.30517,2cc9d460-9932-471b-97e1-8ada56be5fac,7
8,"13, Holly Court, Harleston, Norfolk IP20 9EJ",Terraced,1.0,https://www.rightmove.co.uk/house-prices/details/england-104835422-14976109?s=077aa2404c1e2652f74eeb9d5d5288fb61d55cdcab8b5de225e4744ce1cebf30,52.39969,1.29742,8d7810da-7b05-425e-a4c2-3a932c1cdbbe,8
9,"169, Bullfinch Drive, Harleston, Norfolk IP20 9FE",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-78652835-14976115?s=8a0513d67c4283d2522131c616378f2f68f3763d037dd3dac4ef6016945be1ef,52.39829,1.30231,5f59714f-1553-4d23-8839-11db87f9c1ba,9
10,"Mill Barn, Church Hill, Starston, Harleston, Norfolk IP20 9PF",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-114556109-93293733?s=fa4f96743dde5f833d6ce04d5e07a7d41d4d45ddb00f141fa36248cb54c7d3e8,52.4128,1.28531,39408931-b202-4232-828f-d69431f734fe,10
11,"2, Constable Court, Harleston, Norfolk IP20 9EE",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-116642225-14976103?s=5f28f2570e9fcebd79755a9bee488e34c1c0bc741d22420c298c0be5571ea40c,52.40343,1.30181,b16e3e0c-4ceb-4b67-bcc2-7f216db92b7f,11
12,"157, Bullfinch Drive, Harleston, Norfolk IP20 9FE",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-62969128-93293721?s=2f9437ce457640952ad40becf27a79311bbae9d1a6f2e027c4ef5b47bbab7b34,52.39829,1.30231,dd0ec40f-f51d-4d37-8bef-90483f0bbb4e,12
13,"4, Holly Court, Harleston, Norfolk IP20 9EJ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-107311715-14976106?s=f600160842456a8b501581dd7d439ce605ee5890db66098a6d9e4147dde3b6ce,52.39969,1.29742,61888d60-4b4e-4c4e-a712-a9980602242f,13
