,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"3, The Retreat, Aligro, Dunvegan, Isle Of Skye, Inverness-shire IV55 8ZQ",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-84594530-20772355?s=4d82bb00dc86acbec252d023593b92351434dc028f8767124dbba73c5fc21a2c,57.39029,-6.5175,b2275a96-2003-42f5-a12f-fea4e4fb9363,0
1,"13, Upper Milovaig, Glendale, Isle Of Skye, Inverness IV55 8WY",Unknown,4.0,https://www.rightmove.co.uk/house-prices/details/scotland-38005896-20772352?s=553c5d2370d2185bc83f41507f1defc4a985604aa321998de6be7dff6b167b63,57.44764,-6.74331,194e9313-96a9-40f7-9abd-e5508058e1f8,1
2,"The Longhouse 10 Husabost, Dunvegan, Isle Of Skye, Inverness-shire IV55 8ZU",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20772358?s=9f62bc82516f4846eda85c3152bd2c9c1d79a57568d95b02859d4b3ed69bc5e1,57.46287,-6.67535,efeedab7-07ec-49f8-b9ce-fc3f362a6e79,2
3,"4, Dunhallin, Waternish, Isle Of Skye, Inverness-shire IV55 8GW",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20742694?s=ee6625db292deaaf26049685bd14e12be74f8b43eab9e03fef3e915bb4aed033,57.55224,-6.6398,a13ba394-70fa-43db-9e90-4eca691db4aa,3
4,"The Old Cottage 18 Lochbay, Waternish, Isle Of Skye, Inverness-shire IV55 8GD",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20742691?s=e4318f4e0c6e773130c0f61eb62bc78ac31e7f4440d525bee8389e7bb4a7c0d9,57.51334,-6.56231,d5711c27-ca88-4c32-b1de-7761738ef19a,4
5,"Dunvegan View, Croft 25 Kilmuir, Isle Of Skye, Inv IV55 8GU",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21760415?s=257305e52dff01e5ce1c36cb696f32614bf2ed0c742419b087a9d41fa6f9b570,57.42872,-6.56676,a88cb3e3-487f-4180-9804-a734ee1542bb,5
6,"6, Caroy View, Dunvegan, Isle Of Skye, Inverness IV55 8ZL",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21760421?s=682887cf6f37a7f2d847cea7dc77846256ade008cec0e258f7cfd278693c4bde,57.40431,-6.4979,464ce246-5b71-4f29-b9ef-8d09634c1de3,6
7,"Cuiluaine, Dunvegan, Isle Of Skye, Inv IV55 8WA",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21760418?s=e69034d46566f036896e45ab5bac0a9b52c447ed3ee058661da8a7d2ba2fa364,57.43496,-6.57821,0eabba13-4a08-4191-964d-e5fabfe40ca6,7
8,"Tranquil Haven, Dunvegan, Isle Of Skye, Inv IV55 8ZT",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21760424?s=1a5f78fa2c720b625e6bac08e800c15aa3d20d572dbb17604ed4b840eee2bb90,57.44635,-6.65021,304d23e8-9c94-45cc-bf8b-847a420b16c3,8
9,"5 Strathardle, Dunanellerich, Dunvegan, Isle Of Skye, Inverness-shire IV55 8ZH",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20714122?s=2651b0ce4cac646c6d99560ee8e6593e9be5f322d1a6375820f332738a26d369,57.38446,-6.51961,4f77d03c-b95c-4538-b014-5dbd271354a5,9
10,"15, Skinidin, Dunvegan, Isle Of Skye IV55 8ZS",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20714125?s=ac95a433e787732b5b931bf9b719635ca15860d00fe91c9f3dd7271551224b39,57.43363,-6.62675,6afbf418-7cca-44a8-ba96-488301163f65,10
11,"6 Roag, Dunvegan, Isle Of Skye IV55 8ZA",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20714119?s=6a5465cfe1ea87056be504b445d7580fa6855d6f408b8f1c9df5ea5ff3c64773,57.40368,-6.54531,230726a0-4a5f-4935-abd7-9c53e8fbebc2,11
12,"9, Hallin, Isle Of Skye, Inverness IV55 8GH",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20714116?s=6861fe822f5b5edb83d0fc6bfc9782015b52d74eb2bb60f220a628cd295e7ad4,57.53619,-6.59444,a15f0836-3330-43ff-b2db-171c220eae0f,12
13,"23, Acarsaid Nan Eilean, Colbost, Isle Of Skye, Inv IV55 8ZT",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20684332?s=d18d1f2b006dc7bc0f3c21f10d74f3de3b153b479d2c2756491eea420c19a497,57.44635,-6.65021,3c11544d-9a15-4f79-ad06-2c0260035ed5,13
14,"7 Holmisdale, Glendale, Isle Of Skye, Inverness-shire IV55 8WS",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20684326?s=e85b30cd3852f667c277372399a465f128f11ff469905bfcf55ebffcca226b72,57.44007,-6.69579,42840460-0b75-4231-943c-b29f663165d6,14
15,"17a, Colbost, Dunvegan, Isle Of Skye, Inverness-shire IV55 8ZT",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20657374?s=7ba72d7566113e16a80af15f78c75e7206eb1c14fb7334905074d023b0858841,57.44635,-6.65021,143d83a5-aef8-454f-b4ef-adf8ad87cbfc,15
16,"4, Clach Ghlas, Lower Milovaig, Glendale, Isle Of Skye, Inverness-shire IV55 8WR",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20657365?s=0da544976cc3175e408426fd744e879ca83edf9b925008b28a6beb21b39a8052,57.45281,-6.75416,711d197a-0b36-48f2-81ff-58632ee5ee8f,16
17,"16 Tir Nan Og, Lower Milovaig, Glendale, Isle Of Skye, Inverness-shire IV55 8WR",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20657368?s=0c885c66c53251566ba9cd94bd02f371ea3f260bfa00b7e132ce93a64e255f67,57.45281,-6.75416,8d0b755c-9689-46d6-b8e5-80952b4f4819,17
18,"1, Lower Milovaig, Glendale, Isle Of Skye, Inverness-shire IV55 8WY",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20657371?s=bfa0a123b695dcdf994a5a9fa6e7c17126b0e357769f35720a986bd71dc7fa80,57.4465,-6.74,9b33357e-18b0-4a2e-8e33-91552998e348,18
19,"5 Kilmuir, Dunvegan, Isle Of Skye, Inverness-shire IV55 8GU",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20657359?s=b4c9ba1dc9b616ef6b5d70212fbbbfc0dd414ff3077061bdf15c5ff7ad90aa6f,57.42872,-6.56676,612033b2-83e1-47a4-af7d-5c81b37c4418,19
20,"21, Roag, Isle Of Skye IV55 8ZA",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20630323?s=16e079bd997c68acc85aa72aa531ab1d79b5620e98b4a4b4a1f2c123e86fdd78,57.40368,-6.54531,43ba9b89-ff87-4b51-9191-d2168e1afdd3,20
21,"9 Creag-na-coille, Dunvegan, Isle Of Skye, Inverness-shire IV55 8ZT",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20630326?s=bcad908d3c5b72b0e9dd47c9a295c98e0af7a15371b376a0a33eaf984320597d,57.44635,-6.65021,8143a183-4fda-4468-b181-b32cda9dc731,21
22,"Camus Edge, Camuslusta, Waternish, Isle Of Skye, Inverness-shire IV55 8GE",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20630314?s=00eb342884d617c9d55c6d09cb85264dc8f2fefbf7b35ee2051506e25ab8c4f7,57.50862,-6.56088,32cb401e-f711-4b09-983e-6f7080a73ccb,22
23,"36, The Old Croft House, Kilmuir, Dunvegan, Isle Of Skye, Inverness-shire IV55 8GT",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20630317?s=e1bd01ad2034fc24f0dbd17c83ddb26ae1dc07d59ce4f98f22979755807774b4,57.43489,-6.57003,a266b95c-3ea1-4794-babe-23e31e2d15a5,23
24,"Croft 36, Kilmuir, Dunvegan, Isle Of Skye, Inverness-shire IV55 8GT",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20630320?s=0f0de6f8e87e6e5395fab96cf80768fa65705e2d823cd9434530a1ff92899760,57.43489,-6.57003,f6b8fdb7-923b-4b12-8122-322ef96c4d39,24
25,"5 Totaig, Dunvegan, Isle Of Skye, Inverness-shire IV55 8ZU",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20585389?s=a34190e4f047f691123d1f1b5a16d312f6b7a1a8d588f45e93e52e7275f485e9,57.46287,-6.67535,9684766a-e504-4a3a-a1e4-3874800200d8,25
