,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"21, Loadingbank Court, Kilbirnie, Ayr KA25 6JU",Unknown,4.0,https://www.rightmove.co.uk/house-prices/details/scotland-117829271-21828647?s=199c392b39a0b77a54396d435907c334b13beda0b7d5c8933d49a3f4671f709c,55.74249,-4.69068,bcb141c0-3d60-4258-b12b-d7f33d87556d,0
1,"74, Herriot Avenue, Kilbirnie, Ayr KA25 7JB",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21828656?s=00e3f84ed8f1b3cadd2d23e0e0cc6230d0f90214359ee64c7051f1f8149d246d,55.76555,-4.68876,1b5c88d4-2552-416f-b0fd-24d3284d00ca,1
2,"61, Dalry Road, Kilbirnie, Ayr KA25 6JA",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-95177897-21828644?s=1ee5f454fe9c5013b49ccb04f27ad0263b38239a5fe7bbd804b6a8fc84647cf8,55.74567,-4.68931,e47d525f-59f5-45aa-bb82-35a470d47326,2
3,"44, Munro Drive, Kilbirnie, Ayr KA25 6LH",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-34008380-21805118?s=3a832baa5c5ceaca1e4543aa7b417adbb559199fdecd55ff780ad85835d9099a,55.74855,-4.68504,c28656d5-8851-45ec-b1d1-4ffb675eb08a,3
4,"38, Holmhead, Kilbirnie, Ayr KA25 6BS",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21805106?s=7e82eb1838ef6b5c35384aa603a5f35062433ab21cfd0c1998655784c448e67a,55.74871,-4.68585,c7145491-1b72-4733-b24b-d482ebf74aea,4
5,"14, St. Brennans Court, Kilbirnie, Ayr KA25 6LA",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-19556741-21805115?s=731eb417ee0fe36081c1a8526becc3ae00747eefd4e6be0abdf4067df3b62ae1,55.74167,-4.68728,ae6bd152-fa4f-4be3-b755-4ad6181a7c02,5
6,"52, Milton Road, Kilbirnie, Ayr KA25 7EP",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-115885517-21805130?s=0f16391aebc85046ec843046acad04711970acb109bc616b7d2437946064c7e2,55.76015,-4.68887,de0cead4-3d75-4bdb-aff6-49590c038975,6
7,"62, Hagthorn Avenue, Kilbirnie, Ayr KA25 6EH",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-41940997-21805112?s=9a113381005ba88dc19418c0f9e732b60aa82b0fb228bbda1d1e95d8e72d8292,55.74885,-4.69176,61df8bd6-6fed-4dc1-8fff-15ad46da8988,7
8,"35 2/m, Holmhead, Kilbirnie, Ayr KA25 6BS",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21805109?s=701b9823229e7f53541758c12c20fbdd6ddc1056a5835147eb6d7a547435e7a8,55.74871,-4.68585,48df402d-5c35-4529-8eff-ddd558c06ce9,8
9,"2, Montgomerieston Street, Kilbirnie, Ayr KA25 7AG",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21805121?s=799de97e4fa14f6026ddeb239fcf103a01a5c2d14dbda4526604129f18503ec7,55.75392,-4.68605,f916721f-9577-4e75-9fd2-b5ff05567f19,9
