,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"Flat 41, Elder House, 4, Water Lane, Kingston Upon Thames, Greater London KT1 1AE",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16199290?s=471c428ad23eac69bcbada57344bb0e3ce0d6bd87e2c7fd5e61aae17ca4814c2,51.41256,-0.30738,015b3b46-5ac1-4bcc-8572-f46d2c28fad0,0
1,"Flat 25, Effingham Lodge, Surbiton Crescent, Kingston Upon Thames, Greater London KT1 2LN",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-122033360-16199296?s=af43d0d2cf3332338716e2dd8e6685e45a8df8e0c787d51eff3677e7127b8dfa,51.39868,-0.30517,c2675f6c-a95b-4a9e-b69c-6b24b377017b,1
2,"51, Park Road, Hampton Wick, Kingston Upon Thames, Greater London KT1 4AS",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-85334448-17066335?s=bbc1c8fecfc88cce9744a2f862c4f12e4edeb7743c363444d8dc0a92b7a30eb8,51.41318,-0.31283,7a6079f1-38ba-4961-94e1-816337378382,2
3,"18, Caversham Road, Kingston Upon Thames, Greater London KT1 2PX",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-122896376-16199308?s=81c52f83b37210a1dd445f24b61a34b07e85e3e136e165cbd8cb5fc1c35bbef2,51.40989,-0.29713,aaf8dae8-f75f-40b4-86e9-d48e7a9eb6f8,3
4,"Flat 59, Park Court, Park Road, Hampton Wick, Kingston Upon Thames, Greater London KT1 4AX",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-29434945-17726434?s=68afbc7dad75bbb94366827803bfe8a77a67d3526791e7c5eb3e7ea1fdf485b5,51.4142,-0.31495,57ae2927-4071-4c0e-a7f4-ddbf0a63230a,4
5,"23, Seymour Road, Kingston Upon Thames, Greater London KT1 4HN",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-88815385-16199386?s=746d4845b606f812994d91925bf5475da72abd5945db5a2b1bcbb47b8de32890,51.41505,-0.31175,adf45e58-861f-4373-aa41-839abd094017,5
6,"4, Vineyard Row, Hampton Wick, Kingston Upon Thames, Greater London KT1 4EG",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-123091625-16199377?s=9406b539fb722eb0477bcff922819672cf04ba636d303a91bbcd9ab79c10741b,51.41448,-0.31565,1c94af04-f197-4b84-8f13-2f1e37ae38cc,6
7,"Apartment 5, Parkgate, 9, Hampton Court Road, Kingston Upon Thames, Greater London KT1 4AE",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16506247?s=5c550bed87c1e93d7ecc95c3e45056e7377f54b72272a168f349494e773ef332,51.41083,-0.31219,f126c372-4a45-4567-b96c-fe0285d882c0,7
8,"Flat 4, 1a, Vicarage Road, Hampton Wick, Kingston Upon Thames, Greater London KT1 4EB",Flat,,https://www.rightmove.co.uk/house-prices/details/england-18030592?s=f1c9999e204e6dc94ede8cc579bf948dccc43ab9897670eccacc776d64de7069,51.41492,-0.31535,6b12b288-0757-43bf-9289-33f4da9eae02,8
9,"Flat 14, Pyramid Court, 99, Hawks Road, Kingston Upon Thames, Greater London KT1 3DX",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16506223?s=580109178d1d542d6b6cf9309e8e8f34798bf90f49766ddf9e30041d7f27098c,51.40961,-0.28966,46753b25-8e60-458a-b7df-75f7bb8ded25,9
10,"12, Caversham Road, Kingston Upon Thames, Greater London KT1 2PX",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-122904854-16199305?s=fb1510908e0666853d7c34614fb06860dcd434db13e116cb820b0791cd0e517a,51.40989,-0.29713,3ca30b1f-a879-4ca5-b504-628df2aa39fe,10
11,"Flat 10, Tabard House, 22, Upper Teddington Road, Kingston Upon Thames, Greater London KT1 4DT",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16199374?s=4f8046fd84d162d16c8d4e2b753bc929a017115ba1bc71f443f75d5f61fac55e,51.41652,-0.31385,076d5fd6-7c2c-4e05-b35d-377180961047,11
12,"Flat 2, Falconry Court, 7, Fairfield South, Kingston Upon Thames, Greater London KT1 2UR",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16199335?s=aae9e22d6a767ef438cdf35a3d1b2a801c88842216da277c0a37d1fa471fbdb1,51.4075,-0.29952,39395b01-673b-436f-a159-87eb6ee16356,12
13,"14, Geneva Road, Kingston Upon Thames, Greater London KT1 2TW",Semi-Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-120115076-16199332?s=4e772b424ef7a25209f2d15b0cbcf77d8b364c5791ba8946144c15840ce5af76,51.40165,-0.29916,91e328ab-b19d-4599-9675-98b07f0da0fe,13
14,"45, Mill Street, Kingston Upon Thames, Greater London KT1 2RG",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-113091467-16199317?s=a70108ae452fc09160065761c52b17632a4a074603cb32ce01c4a5187262bfcf,51.40604,-0.29828,56a86c48-f38f-472a-91fe-380f604068d0,14
15,"Ground Floor Flat, 55, Grove Lane, Kingston Upon Thames, Greater London KT1 2SR",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-53412618-16199323?s=0fe1eeddb4ffe75b6772698ed5bc3ce08d978767f8fb21043bb9f6be63b5fd79,51.40214,-0.29584,d05772b7-a51e-40db-a5a1-edd6298a6875,15
16,"1, Kelton Villas, Kingston Upon Thames, Greater London KT1 3BZ",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-18030559?s=cd046cb3f5c062acad2123e2607f01ad79c8d6e32d37ac82e61a296af8075911,51.40787,-0.29419,204a5fff-ac6a-4da8-bf70-3945acaa0b80,16
17,"Flat 20, Tabard House, 22, Upper Teddington Road, Kingston Upon Thames, Greater London KT1 4DT",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16199371?s=ffc2e125a2bfbb7db265adb47484a1b2a3fb0bf3218dc0a8e6c6ec17a0abaeb0,51.41652,-0.31385,009a9a95-fa75-44e5-a6f4-bf39e432c58a,17
18,"Flat 4, 46, Fairfield South, Kingston Upon Thames, Greater London KT1 2UW",Flat,,https://www.rightmove.co.uk/house-prices/details/england-18030550?s=63cb5698102efd2552137965f98e38611cabd997d08be31e0db43eccf736ca09,51.40771,-0.29534,72500bfc-74cf-4910-b464-54b362a8a781,18
