,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"Willow Bank, Wemysshall Road, Ceres, Cupar, Fife KY15 5LX",Unknown,4.0,https://www.rightmove.co.uk/house-prices/details/scotland-125964902-21387556?s=2863b90c560e988bb195b20f1128cdec962474485ac40563e537bf6b069cb5aa,56.29538,-2.98072,4eb06787-73ef-4063-9c6d-95a49b2ef50a,0
1,"88, Upper Dalgairn, Cupar, Fife KY15 4JH",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-124916852-21387517?s=0d807a4352d1b5267ad82d6ecc467e769a24097f8c4437f51f60bc151f8eadbf,56.32441,-3.01348,8241d5de-1501-48a7-a044-d138345208ef,1
2,"Bellfield, Newton Of Falkland, Cupar, Fife KY15 7NQ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21387586?s=7c2fbe8ad18bb6762b769395ed7622b705834c59a3a9134b16f89647d7b808d5,56.25192,-3.18345,51abee00-9b05-4c80-904a-7e0317486bac,2
3,"Braeside Cottage, Ivy Walk, Jubilee Crescent, Newton Of Falkland, Cupar, Fife KY15 7NQ",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-123014222-21387583?s=632ccb51d81bbe20d741ee7beee3bb319266e6593f4469c2324c8c18af2604ae,56.25192,-3.18345,3f7d01b8-77fe-486e-9b8f-de1179a62933,3
4,"17, Millfield, Cupar, Fife KY15 5UT",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-126714869-21387568?s=59298affddbcbb1e30dffe76b9c7a9181e3169fef3e5b9b2f870693d4732adca,56.31338,-3.02143,a8901462-24e7-4da6-8545-377aa96aa359,4
5,"6, Albany Crescent, Freuchie, Cupar, Fife KY15 7EH",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-126762803-21387574?s=ac5b1a313702d5f311087de8cc9667f2539e9f95da2bbd8b7a124e6d3e3e8a55,56.24603,-3.16003,a53c558c-f5a7-4894-b5ec-45f33a44cc73,5
6,"3, Cathel Square, Kingskettle, Cupar, Fife KY15 7PP",Unknown,1.0,https://www.rightmove.co.uk/house-prices/details/scotland-127269983-21387595?s=4dc3ea49dc10e497d085248ced04ef62146ad15d23b36734790ff51105479ab4,56.26286,-3.11808,5f3c3860-5173-4ebc-9239-b3bb56b663dd,6
7,"3 Vantage Cottages, Cupar, Fife KY15 4RT",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21387520?s=8705c79eb69b41c4673237d55a34ecd4cf22116797b05b53bb7cf5a04ba1a350,56.34541,-2.96,3f20b89a-d548-417b-846c-3afa49a6cf80,7
8,"16, Wilkie Court, Pitlessie, Cupar, Fife KY15 7SW",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-126647375-21387604?s=eee991eb4e2278c9ad8a4c613f7f3e7f4956ff66e922d22a504c2e5723fe3428,56.27524,-3.08001,85b52ed3-56cc-46f6-89fa-e98ba6b1851c,8
9,"Ground Floor 2, Drybriggs, Balgarvie Road, Cupar, Fife KY15 4AJ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21387508?s=a29682b267ac3387a4d9d679f8723f6e7c617f76d4608e39ca8b285bfb3a9c54,56.32115,-3.02698,8426c50a-be20-4ac1-bc71-6027191be3ab,9
10,"Hillcroft Rameldry Mill Bank, Kingskettle, Cupar, Fife KY15 7TY",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21387607?s=014eda414f159f1d31650b0cefbc0a16dc45d7f881e9d04a6cb1016cda73f368,56.24558,-3.11128,7c7b42af-a14a-46d2-a2d7-860677313c17,10
11,"26, Golf Street, Ladybank, Cupar, Fife KY15 7NT",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-10431690-21387589?s=1dce8bac93ae596ef8453144b06863f9c9ba20fd5f15f8a5760dfb3aae7544c6,56.2788,-3.12371,5153efb1-e229-40ab-988a-47236375ab02,11
12,"Newbiggin, Lomond Road, Freuchie, Cupar, Fife KY15 7HF",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-126901670-21387577?s=fb0c6d6b558851c4198b8a1153652bd5f3a8ab0fc50eefb6450fbd629164821f,56.24747,-3.16056,f6ef0ab3-3e32-4505-9361-fa358ed8c8a9,12
13,"12, Charles Jarvis Court, Cupar, Fife KY15 5EJ",Unknown,5.0,https://www.rightmove.co.uk/house-prices/details/scotland-126444686-21387550?s=8715cbc634d526757ef21a22e3d0c86f4e41e438c05e774422ff9c4b60d699e1,56.31497,-3.01355,40e28686-91db-4c95-afed-e627d56cebfd,13
14,"5 Wide Pend, Kirkgate, Cupar, Fife KY15 5AT",Unknown,1.0,https://www.rightmove.co.uk/house-prices/details/scotland-47632119-21387529?s=f85fa754b7d5369892a73afea6182e7fbd6e561250213fda144a2771d32dd949,56.31747,-3.01572,0af8d2e1-d134-45e5-bc22-bf5c388a9cf4,14
15,"104, Tarvit Drive, Cupar, Fife KY15 5BH",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-126530012-21387538?s=b79d7ed9244b8dcaac4deb6024a0b936a6dc5bf229dce33fb146a64a18b5301a,56.31607,-3.00081,358d3259-e97b-45b5-a345-33768cbdf286,15
16,"St. Blanes, Brighton Road, Cupar, Fife KY15 5DH",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-127216460-21387547?s=00f0de78dc5009cc6ae7d6977737f8aa08f1d840970f890420ba2d8ef81bd26f,56.31463,-3.02276,bd16cd2a-ad76-4245-8190-53b6f4dafac5,16
17,"1 The Grove, Dura Den, Cupar, Fife KY15 5TJ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-21387562?s=a05f1eafbe6e0581b4744d6079a288651eb4023cf4c7c89c0414313fdffdd5e0,56.31784,-2.94621,4d5a7bf8-4bfd-4ba6-af6a-e5b8b91e97eb,17
18,"70, Tarvit Drive, Cupar, Fife KY15 5BH",Unknown,4.0,https://www.rightmove.co.uk/house-prices/details/scotland-127012289-21387535?s=df3d21ac2c9351e2d392522d8b0d1818bd4e21f70c306f50068013a9252cd62f,56.31607,-3.00081,652fe7b9-4349-43c3-ae8a-e6b36e08fa1b,18
19,"32, Watts Gardens, Cupar, Fife KY15 4UG",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-127012274-21387526?s=653ebfb3289c0ed66f34867014c3089eb47c70a619b5c3e7bada7fac43de9953,56.32334,-3.00132,1d7161ba-b53c-44ff-b546-2d0477d6f95f,19
20,"16, Kinloch Street, Ladybank, Cupar, Fife KY15 7LF",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-123203849-21387580?s=f0920e8c11be133bb8622cf295ed5066e91ab6ba7aaf5f6aa20ebecb3d29d3fe,56.27529,-3.12426,b83f60bb-8fa6-4ac9-8dc8-6130acefded2,20
21,"81, Kirkside, Church Street, Ladybank, Cupar, Fife KY15 7ND",Unknown,5.0,https://www.rightmove.co.uk/house-prices/details/scotland-126022196-21357799?s=9360aab00ccd1bc9475a790b9bc720d30c993e7ced7d5a1b216afb354e9571db,56.2784,-3.12871,059f70f1-722f-4f55-abde-03c9e9c0390d,21
22,"3, Woodburn Road, Ceres, Cupar, Fife KY15 5NP",Unknown,3.0,https://www.rightmove.co.uk/house-prices/details/scotland-124427867-21357769?s=dfdd74c1d64a80bf017e0f2af211f737a3cba147a51fb112bbaf9dc6eb11dd75,56.29042,-2.97219,5181c78b-097e-46a7-bb92-cbed7283dc47,22
23,"7a, Adamson Court, Cupar, Fife KY15 4JT",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-127269692-21357748?s=552026daed56595ef7f1a5801bb7e389bc3afb1abe364aa419c7c21db5f75345,56.3223,-3.01827,d59b3609-c440-4952-aa8a-b5ecf4f69dc0,23
24,"Holmlea, Holm Road, Newton Of Falkland, Cupar, Fife KY15 7QY",Unknown,4.0,https://www.rightmove.co.uk/house-prices/details/scotland-123909368-21357820?s=2a21cfb18282075835cbd54f4ad3539562b13a740c3322c3c7d415d58ee1904b,56.25004,-3.18259,34870118-9ed6-4cdb-abb1-3e7ff5af02aa,24
