,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"83, Blundell Road, Hightown, Liverpool, Merseyside L38 9EF",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-94618802-11622466?s=dab30e2279bd62b61f75b8f2308cf69e355d827ce28cfaf6788699d6d1aea5fd,53.51755,-3.05779,e4d0be99-419e-4eff-bce5-bfaa61fead7c,0
1,"20, Thornbeck Avenue, Hightown, Liverpool, Merseyside L38 9EY",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-70864602-93004095?s=00cab267cceab482c103574fe8da27a4c680ee42fbe277899fd0bfdd130966ad,53.5187,-3.05993,3df35d74-89c2-48d1-9be3-ed62d67dc148,1
2,"73, Mark Road, Hightown, Liverpool, Merseyside L38 0BQ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-78255424-91829094?s=7ed68e9b4fc3d12eb2ca57244243afdac06b95eb1c5c41afe1097c7db9e977f0,53.52707,-3.05923,c0bfd00a-5afd-41a9-a2fe-d6b0d657d71d,2
3,"14, Sandhills, Hightown, Liverpool, Merseyside L38 9EP",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-82251142-11622469?s=31789ead50e11d1da88620746a35703e6cf7d18a41f48ee5d8b050333ea78d97,53.52156,-3.06166,5494072e-fc66-4c66-83c3-13ab5abf9164,3
4,"Flat 8, The Outlook, 32, Riverside, Hightown, Liverpool, Merseyside L38 0BU",Flat,,https://www.rightmove.co.uk/house-prices/details/england-91829097?s=a97ccdf4caa906e07356104fe480bc41399d37a8142e15110addfb2b4e87d6fd,53.5238,-3.06232,82cc36e3-e517-4644-895c-3065d07435aa,4
5,"15, Sandilands Grove, Hightown, Liverpool, Merseyside L38 9EZ",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-79715689-91829121?s=2ad1827f04c749db66d296ff0f095bf30b82a77d7afa27eb141b3d1ad40bd1cb,53.52313,-3.05717,0bbb79de-8d2f-4d34-85e2-8a2af58d9d5d,5
6,"17, Thornbeck Avenue, Hightown, Liverpool, Merseyside L38 0BD",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-88019486-91603428?s=638e19bbe843578bf71923f4d8efb896af8db6c21225feb0c61155387f5be3fd,53.52437,-3.05961,a92ef0be-783f-4b03-ab18-d2c425eca537,6
7,"40, Thornbeck Avenue, Hightown, Liverpool, Merseyside L38 9EY",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-80220580-91829115?s=0b17b7d0b9ff679d1978fee6a69ac5dd921dfc5e582eee393bb487b495c57691,53.5187,-3.05993,7e1be1cc-6889-4990-a725-f3b549f550b9,7
8,"33, Thornbeck Avenue, Hightown, Liverpool, Merseyside L38 9EX",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-131270078-11622472?s=94df9ccf1b73c2cc3c7e86c14e73dd6f983e1d67b4da79bec5f50cb6bdee86ed,53.51835,-3.05946,56c9a3a3-d52f-45bf-92bd-3088fcdd983b,8
9,"49, Carr House Lane, Liverpool, Merseyside L38 1QE",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-66407169-91408674?s=796924b6cb7fd73a20424925341c563f426d56360adb56b5bebe3259e96841dd,53.52512,-3.02509,0cb3c3c0-dfc8-4fa9-b44e-2d47ec27fa9b,9
10,"69, Blundell Road, Hightown, Liverpool, Merseyside L38 9EF",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-88105028-91408680?s=2ed397f478bb11d101c54d93c13eed18dbb9cfa913369b916b17ab0521a5af54,53.51755,-3.05779,5d5dd4da-9411-41f3-b54b-1e0232806929,10
11,"26, Carr House Lane, Liverpool, Merseyside L38 1QG",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-68351709-91408677?s=75a972529d4c6db75c1a067cb300c3a4e2085d2447364dfce0a41ad87abb0596,53.52467,-3.02478,ab7c4c35-e1e5-45c7-b69f-f47a67adbfb6,11
12,"98, Blundell Road, Hightown, Liverpool, Merseyside L38 9EQ",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-90555683-91408683?s=d38be6d6ff6e70b3abe9670aa03713f957d039721b54dfeb3c465504d87a58d3,53.51792,-3.05704,e94e480e-08cc-493d-a58d-0eafb8a02aa4,12
13,"30, Alton Close, Hightown, Liverpool, Merseyside L38 9GE",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-78275338-11622475?s=da7d57603555f34e58153aa3385d3736a7ad7f33a12f7fa8d6fd7659ecc332f6,53.51835,-3.05856,d316cec9-0051-41f2-926f-14e370a1f526,13
14,"11, Thistledown Drive, Hightown, Liverpool, Merseyside L38 0AA",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-45464829-91214703?s=721c71addb568319909b39b2bf8a070744842e2cdb7681db34e6f6225528d51b,53.52645,-3.05816,602d730e-61a5-42be-8e2d-cbe4699bfad2,14
15,"6, Sandhills, Hightown, Liverpool, Merseyside L38 9EP",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-87618914-91018785?s=7f88a35ce746f55e6fa597223f7737b099c0bbae5e62fad2c7feb8c7abba34b3,53.52156,-3.06166,4c2a8de5-08d0-4b2c-a821-f2656d39c895,15
16,"17, Oakfield Road, Hightown, Liverpool, Merseyside L38 9GQ",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-87226496-91214706?s=90b6a5f2f28d5838b719c704e10a0697f2e34e343f6332699a6b13b4f251466b,53.51611,-3.05835,78ba2f01-beee-4c98-bea2-41ca49cc081f,16
17,"14, Elvington Road, Hightown, Liverpool, Merseyside L38 9AN",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-86233430-91018782?s=5f9689e0ea347e0ca9e52fbdccdc730fdb7dcc658686ebda0e03fde4b3a8fb6c,53.51712,-3.05596,404f804f-0e1b-4ee0-96b3-8089194dc431,17
18,"9, Mayfair Close, Hightown, Liverpool, Merseyside L38 9GL",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85736279-11401981?s=e1946ddd4a1405a0c6281ae14ced5e77647d39afd70f22159e22fb9581c3666d,53.51522,-3.05697,44fd35ed-f57f-4349-b6c7-ae37ef99d76f,18
19,"11a, The Roundway, Hightown, Liverpool, Merseyside L38 9EJ",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-82361729-11259037?s=f39a14788cd3ce30fba56e3d2291be9cd94bdc79895396002c375afd2c0e8a44,53.52266,-3.05957,c26e599c-26b6-48e2-9614-7f5b6b1ab348,19
20,"86, Blundell Road, Hightown, Liverpool, Merseyside L38 9EQ",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-85469111-11259040?s=fed3eac537853a7bcd1d93142dbd738aea20c3ed0002c34aca76f920d2e65b53,53.51792,-3.05704,4c80b071-9414-42aa-ad65-0012a463f654,20
21,"21, Mark Road, Hightown, Liverpool, Merseyside L38 0BG",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-11259028?s=ce9fdd4a96fa4c5dbf0863b64519239e8f11342919242612a8512dd95966b984,53.52704,-3.06194,3b7eaedd-58ef-43c1-b9af-df2127f57e1c,21
22,"8, Sandhills, Hightown, Liverpool, Merseyside L38 9EP",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-87370118-11401975?s=8010d907e3f8f820224a580da50240553c220f501ee3c0bde7942a87ac6cf10d,53.52156,-3.06166,aaca4d44-77f1-43a5-82d3-6915e3206511,22
23,"2, Briary Croft, Hightown, Liverpool, Merseyside L38 9ES",Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-66327684-11401978?s=1d20d5c1a286b74aa662deecf4d03def105e805cd09b0ddf88275375df182d75,53.52067,-3.06058,9bc006f4-4125-443d-a441-1317a65d62ad,23
24,"Flat 14, The Outlook, 32, Riverside, Hightown, Liverpool, Merseyside L38 0BU",Flat,,https://www.rightmove.co.uk/house-prices/details/england-11259034?s=c80cfe1947325b3628b4e8e722d21d1c7a90e85e56dce3a3fd7188fc98bc4346,53.5238,-3.06232,0ef6df7c-bfb8-4024-8384-549fe2db01dc,24
25,"3, Moorhouses, Hightown, Liverpool, Merseyside L38 9ER",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-72875719-90632913?s=d49ab35dd58e8210fc5e59f41a8fafddf42a48dcaf57e0c2f3127971e947e321,53.52103,-3.06119,7463b4ff-aeeb-43a8-b163-ae33a6dda926,25
26,"26, Thornbeck Avenue, Hightown, Liverpool, Merseyside L38 9EY",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-66482913-90632916?s=e556bde57645cb80afef0e5a89f1a664a40d088a3296a5f6bd2dafce7e6ffcf1,53.5187,-3.05993,83cafdc4-9d17-4369-bec3-d89018696ee9,26
27,"Glenburn, St Georges Road, Hightown, Liverpool, Merseyside L38 3RT",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-66483663-90632910?s=1de0234ee6d766cb3ad75ae7aa3b4caece0ea16dbfb2382754bfa918bdaca184,53.52762,-3.05728,08714b1f-d026-4e11-bb6c-c7b064bae71b,27
