,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"2, Park Road, Windermere, Cumbria LA23 2AW",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16514695?s=391bdd04d4cb932a9c42438292b21b9a583b6c3bf91b14dedd4604b5940a5719,54.37529,-2.90345,f2f1ce20-d315-4511-b826-dbcf9b80619c,0
1,"Sunnyside Up, Sunny Bank Road, Windermere, Cumbria LA23 2EN",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-117594779-15588811?s=6509ab3439fa6eca88a933a2d8d1aa2a2a276e261a76aff97fe183bdae995ffd,54.37112,-2.90859,9cf07296-b3b5-48c4-a8fe-9c5c1428fb30,1
2,"25, Park Road, Windermere, Cumbria LA23 2BE",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-119589575-15285613?s=e101717096d6ee98b07ea14056acf88184e567984b06ab410481e76c0d8cc079,54.37261,-2.90124,4b843b7d-fcf8-42df-b00a-f33cfcd658cf,2
3,"19, Elleray Gardens, Windermere, Cumbria LA23 1JE",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-115428362-16514683?s=b977bf3a23c313bafd94fb96424340e6ccd5d00d0bac313b45e6bca04c1b7afd,54.37984,-2.90786,82b843d5-8134-41a1-8284-42c20839cbb7,3
4,"1, Old Mill Crescent, Bowness On Windermere, Windermere, Cumbria LA23 3QR",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-33540713-15285634?s=9e6b54cb3b223e8a5463f7dec6cafa708fae422f7a2acd4f6f9b19a122b61ec8,54.33895,-2.93188,8469a2b1-a8ab-4429-afe2-2734cb77f7c9,4
5,"Crag House, Winster, Windermere, Cumbria LA23 3NS",Detached,,https://www.rightmove.co.uk/house-prices/details/england-15895507?s=9e83f3ecdbbe209a1ec0ede6fb240f02ae62933ba59d8a3e53ec54f049ffb18b,54.33616,-2.89567,5ae882a9-8a86-472b-a031-1da734f58fab,5
6,"104, Elleray Gardens, Windermere, Cumbria LA23 1JE",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-110393189-15895465?s=1f37fbe23176f796562102bb22e5fd73edb7c36c407ea3485f642a5951ab8bbe,54.37984,-2.90786,82d5ca2f-86cf-42d9-8891-b0f967618c19,6
7,"14, Old College Park, Windermere, Cumbria LA23 1BZ",Detached,,https://www.rightmove.co.uk/house-prices/details/england-15285601?s=05b9569e3a64b169d61f29cc298857d38dc5f234f3609dbed3e657ea79002810,54.3792,-2.91,4898aab6-3e27-4b72-be75-aa74705c7bf3,7
8,"28a, Thornthwaite Road, Windermere, Cumbria LA23 2DN",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-15895477?s=549b72509211b0495dd34e263e9c2ed415002218683c6025597cc6970b354aba,54.37235,-2.89969,cf6cae00-0822-45aa-96b7-f6355d77b26f,8
9,"Ellaray, Middle Entrance Drive, Bowness On Windermere, Windermere, Cumbria LA23 3JZ",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-51361999-15588844?s=c5997a4cce32ad5129668608f53efb79e5a74fc333ec68973c08f5c09db30d8e,54.34527,-2.92741,9926aa49-0ed4-4371-b150-1878df94755c,9
10,"Flat 4, Alexandra Court, Ellerthwaite Road, Windermere, Cumbria LA23 2PR",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-117143981-15895489?s=43325e86e734d73606cd59be917556c500daf600c5c0dabcb4ed1e34878e252c,54.37384,-2.90588,2756783f-8258-4c47-8b77-e659e03a7fcc,10
11,"27, Windward Way, Windermere, Cumbria LA23 3BF",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16208302?s=9274932356f228cf664b3c2d45ecb08053fd1fd7a96658d702c4f42d7d5e8d06,54.35463,-2.92639,a0bf1ff9-5495-4058-8fdb-edf5e1fa82d3,11
12,"Yew Tree, Newby Bridge Road, Windermere, Cumbria LA23 3PR",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-117348794-15895513?s=aab3b7ad1c488e80c1855d621bdec62f128df18e8f4070a26e6c1d23102b7cc1,54.31937,-2.94112,82fccb4d-bbe8-4144-81f3-784d0dc883ea,12
