,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"14, Old Holt Road, Medbourne, Market Harborough, Leicestershire LE16 8DY",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-130346783-16798063?s=27bf0069d375a3d71aa74322390c17539e9c9a5ffa4bf55cb1512362812b9cd9,52.53123,-0.82005,ad7d1ba5-999a-429f-a6b4-5dafdcde43a5,0
1,"24, Balfour Gardens, Market Harborough, Leicestershire LE16 9JJ",Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-125447951-16798141?s=7ce8fc5a2a0fc5183509d3a35ac355266346fdd84d6f31fbb9915c77993025e9,52.46871,-0.92933,04e2b543-629c-427c-8390-1ee3c01f18f8,1
2,"20, Sherrard Road, Market Harborough, Leicestershire LE16 7LD",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-96635179-17411782?s=671d66056b98b6764a4dcf0b69720323ec534da7c8dcd017a473f350abde3e60,52.48516,-0.91892,ffa6e480-b520-4e36-8510-ee47e5520882,2
3,"5, Smyth Close, Market Harborough, Leicestershire LE16 7NS",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-121435730-16798027?s=b3c7573cee375e839372ae9fa4d27530dda7cd09816ea6fe4435728620ba7d50,52.48924,-0.92294,5bc39f6a-e11f-4264-91b8-b4f93cef4a97,3
4,"6, Barley Way, Market Harborough, Leicestershire LE16 9FQ",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17411962?s=0f20602a7660da0270cdef5df7da455ebeb8f9da9231f1895090ca0370d8ed7b,52.47728,-0.94282,270e481f-a881-48a6-b2d4-0731de9a4e45,4
5,"32, Church Walk, Market Harborough, Leicestershire LE16 8AE",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-126929081-17411827?s=470df76ecb326a47f780fa328ea94b864432fc6918f6ec18f46f04f6de602950,52.47521,-0.91209,dfdf72db-4ef0-41e2-a2d5-e72b5864ace7,5
6,"20, Fairway, Market Harborough, Leicestershire LE16 9QL",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-119541551-18041359?s=52e1c91f1cc8ace50f217bc708510b2878efd4b1c99e1e86e68cb6f0547941e6,52.48248,-0.93062,cf45f854-3b4b-4f5b-9135-49d874241bcf,6
7,"9, Manor Court, Middleton, Market Harborough, North Northamptonshire LE16 8TL",Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-123016835-17411890?s=8b833f950dd1a1fda6e56a310d00b1e591a2ce0c41242f342f7c82d4a0bc8123,52.50167,-0.76029,02459552-7522-4e72-b01a-0637685649a8,7
8,"Tantridge, Shrewsbury Avenue, Market Harborough, Leicestershire LE16 8BB",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-124821977-16798057?s=39019241fce28580df242913adfd54d99e42ed01b43e3ffffb3501a816725157,52.47294,-0.90037,f92ba806-bb0d-48be-8e87-01120160e2b6,8
9,"5, Ford Bank, Great Easton, Market Harborough, Leicestershire LE16 8SL",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-114983132-17411884?s=37ce145216a4d506b066a677f666a6c8e8eaa1a54837a314864b2d98768ff94c,52.52819,-0.75099,38c83448-fba0-46df-aaf2-d6e8ed2485a8,9
10,"39, Rectory Lane, Little Bowden, Market Harborough, Leicestershire LE16 8AS",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-123632414-17411833?s=5177b6c2fd98a19fd195496211cdfd6533633bc3200828466f3aa1a97cbeb659,52.47528,-0.91062,2bd90110-a3b1-43b7-ba1a-fab050988b32,10
11,"6, Hammond Way, Market Harborough, Leicestershire LE16 7JP",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-125239976-16798015?s=0dbc767e4d8b77055cb1ddee3de57e6b44f7664a1b1a85941ad9c403e91ccb37,52.48427,-0.92012,7c45e3fd-c941-425e-a6e4-de0efe82704a,11
12,"19, Rainsborough Gardens, Market Harborough, Leicestershire LE16 9LN",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-17737547-17078527?s=b0b2eb3cc1a4dbd91572d257ee51fba08b143c0c31a172f1f002b2a484fd746d,52.4669,-0.92834,f95b4d58-9dc1-4a31-bed5-5d89fa246eb6,12
13,"26, Raby Drive, Market Harborough, Leicestershire LE16 7FB",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17411722?s=401609ccaaee6ba2b581e28716c177acce3610b02fbd94a72e9371f9285c3e20,52.48887,-0.9418,7d2ce092-e4e0-4d2e-bfa9-71ba780552aa,13
14,"102, Northampton Road, Market Harborough, Leicestershire LE16 9HF",Semi-Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-123842063-17411998?s=63a2ffa43c68cd31294df32a719562a89bd7193905ea48c27f3ad19cf7eff669,52.46661,-0.91599,5bec4038-9b5d-4463-80ea-42d0bd31e422,14
15,"Flat 1, Paddock Court, High Street, Market Harborough, Leicestershire LE16 7NL",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-111009185-16798024?s=6ee15a76b31ea81381af63820638e6ab26632e6b599782deb3b6cfdbf0d74c46,52.47999,-0.92361,783d6f45-de24-45d3-b4ac-cf4c0a1aab99,15
16,"Flat 22, Marshall Court, Northampton Road, Market Harborough, Leicestershire LE16 9HZ",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-119990942-17412007?s=4947c226b76fc06c27ac3242c7ae08b52873be50655d68986fa5b3f318cf42ec,52.47462,-0.91726,0d912da5-2a1b-45b3-acc6-d6ed9cec1693,16
17,"32, Shelland Close, Market Harborough, Leicestershire LE16 7XU",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-124026464-17078419?s=21646cc4d116d3863a2c50276c13d0411f727e9eb915443dbc5bd3f04c2863c6,52.47524,-0.89663,a7d7142a-7430-4ee3-a7b7-da6ade7f54d1,17
18,"236, Welland Park Road, Market Harborough, Leicestershire LE16 9DP",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124078556-16798090?s=d451a3b76ec945247fb3112ba22f159d810e33912891c2990bb549dd35b0c4a3,52.47413,-0.93185,75b942ef-5785-462b-8472-bcba03f61729,18
19,"110, Angell Drive, Market Harborough, Leicestershire LE16 9JE",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17412010?s=0143cf0f74f78757264cb20a30e7f3f92f3b1809e3ed8cd43d0721a76c836d0f,52.47129,-0.93575,caa2f121-ad8c-4592-931d-cf3ef1b668c3,19
