,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"Pen Hendre, 45, Eifl Road, Trefor, Caernarfon, Gwynedd LL54 5LW",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-43446859-14994238?s=12b1976e154ab841937c54ce61f0585f98efbf50ba9c0d6962317734f5ed1a3b,52.99345,-4.42736,934cfc33-212c-4d19-9a2b-f97993fc335a,0
1,"19, Rhedyw Road, Llanllyfni, Caernarfon, Gwynedd LL54 6SN",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-89952622-14994265?s=94e2a47a4bd1e036fa674e392ce9a02b98491a433eae9c11d668fd68e432e0e6,53.04243,-4.28332,008ba3f7-9b5e-4429-92b3-08a9779e8af1,1
2,"10, Llain Fain, Llanaelhaearn, Caernarfon, Gwynedd LL54 5AZ",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-13325035-14994235?s=5959412e05d0468e717c7951b908ffa51f53105614f7a6d098ad0d2f5684f8ae,52.97681,-4.40587,48188a5b-782c-4511-90d3-9700eb5637a2,2
3,"1, Hen Siop, Upper Llandwrog, Caernarfon, Gwynedd LL54 7RE",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16523422?s=0b13b2f3a600a454031dae517b6cc060f78b473b04e7d05a06a1daecd716a91f,53.07246,-4.22668,4f385422-90b5-4ffe-bd78-c24b97b52a9b,3
4,"Bryn Teg, Rhosgadfan, Caernarfon, Gwynedd LL54 7HH",Detached,,https://www.rightmove.co.uk/house-prices/details/england-14994268?s=dbbc0326f2e825f5304f2e009bf0157cbcdca234e0c238c43fddbeabf6724577,53.09061,-4.22688,fb94804b-d328-4dfb-924a-9d2ca2b9c543,4
5,"34, Hyfrydle Road, Talysarn, Caernarfon, Gwynedd LL54 6HG",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-119330036-93013854?s=6bf260e77ebf6070c313270b1cb08bf45ef884d53ffbd29cbfe2315e5e69bab5,53.05208,-4.26279,570fc5a8-7f37-4871-b6ab-3ce88808a14e,5
6,"48, Snowdon Street, Penygroes, Caernarfon, Gwynedd LL54 6NG",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-93013860?s=63a39f100862f2c6abd5ad93166495bf3ccc3d622f6de60ce73f612843a79099,53.05292,-4.28477,3a349e91-77c5-4647-bc16-d83a8e1ad5f3,6
7,"Bryn Teg, 2, Tan Yr Allt, Rhostryfan, Caernarfon, Gwynedd LL54 7PP",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-116751713-93013872?s=7d8ec2d9927a49b21e8a9058e4a68036d0cb141f22751a6ab01d8f6568c6ef3e,53.09496,-4.24428,24257624-3679-4dc5-876d-e5f4e0a6e5c7,7
8,"17, Fron Deg, Rhostryfan, Caernarfon, Gwynedd LL54 7AZ",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-93013869?s=ed12b71e924d4b4e3bec7d204e45baf370390fe3fbd111dc0973eefd0791cd75,53.09574,-4.24596,5de79fb7-222b-409c-9c16-c5bcbc792064,8
9,"Anwylfa, Carmel, Caernarfon, Gwynedd LL54 7AB",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-93013866?s=279cdae49f98f09b3d9c9216a26da4613a8bd70d9346c477a45e081294796575,53.0725,-4.24848,8458f37e-f66b-46c3-8d5d-62fde3a300d1,9
