,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"28, Back Lane, Dunston, Lincoln, Lincolnshire LN4 2EH",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-123397676-17419873?s=354e01857b720b37cadf05d011298b674fa5b418b4fc8a313978673ca34951a5,53.15443,-0.41166,229bc66b-18f8-4000-bb10-5f177b9c4387,0
1,"8, Peacock Avenue, Branston, Lincoln, Lincolnshire LN4 1GU",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17419828?s=d6202daaedd5f80aef8e08298b546841191158633bd3ac9adf3f77fbce316a85,53.20067,-0.46864,7a55cfae-6096-4095-a428-a6860b720c10,1
2,"22, Greenfield Road, Coningsby, Lincoln, Lincolnshire LN4 4UF",Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-46887495-16804351?s=59b97915be81750a89a4ee5da42910c584578eb39a3eff0bb00aab28d5bd404c,53.10677,-0.16647,e8441da1-972d-4452-abbe-fa5057a76272,2
3,"44, Worcester Close, Bracebridge Heath, Lincoln, Lincolnshire LN4 2TY",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-125332487-16804249?s=531315625dda4d6eb09c023a7ddc5285ffafb4253b055211818906b4c4618aa7,53.19462,-0.53128,95b7d646-bd84-4fa6-b4b9-6ca1e61fde9d,3
4,"56, Granson Way, Washingborough, Lincoln, Lincolnshire LN4 1EY",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16804189?s=04047af1daf428fc295fb63fefe16c19015e94016a3746f2f3d85119b4f3b4eb,53.22144,-0.48348,30d224e1-80db-41f6-bf24-ac65b3cdb6c5,4
5,"27, Beck Street, Digby, Lincoln, Lincolnshire LN4 3NE",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17744509?s=634044770edaf6fabb03443caf009fa94ffcd9a5a4aa3421d7ec051e22df3b87,53.07919,-0.38502,fb836b18-0f14-4b68-bd71-ceaf474b071d,5
6,"7b, Station Road, Metheringham, Lincoln, Lincolnshire LN4 3HR",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17744500?s=3c348ad50814986b10e284b7a3b3754a41f959e2a2d2341f7a1630e8989d92de,53.13923,-0.39727,c35cb15e-1dd4-47e9-8a8c-289e39074420,6
7,"7, Park Lane, Billinghay, Lincoln, Lincolnshire LN4 4EE",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-126195347-18048436?s=9c3996dfe8c026238337a80bc804d63018f44c397339838fb94ff1c2eb8e2d86,53.07913,-0.28425,05fac10f-bd1c-43a3-9eb8-a0b0a07fc879,7
8,"3, Railway Cottages, Lodge Road, Tattershall, Lincoln, Lincolnshire LN4 4JS",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16804312?s=b3564d12d11726db9d3f2d5da11970300163753c7d3a341f196a9c4e2cdfb9d2,53.11664,-0.2067,1578b3c0-622b-4775-96d6-f728e8299102,8
9,"45, The Crescent, Bracebridge Heath, Lincoln, Lincolnshire LN4 2NP",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85356573-16804231?s=1e1e72b167a6e8a4aaab3aca5463833cafae7324601c5638bc93392e9bbe6ed2,53.19193,-0.53137,37fd9f0a-1a88-484c-a548-297044376535,9
