,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"23, Sedley Close, Cliffe Woods, Rochester, Medway ME3 8HE",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-125589443-16816981?s=6af229aff6080dcaf1d4cf2e43b124339eefe1b8c5ec8d0aa68c0740ef26630e,51.43186,0.50331,d1c96b27-4d76-4d58-8791-ab3f34c219ce,0
1,"34, Heron Way, Lower Stoke, Rochester, Medway ME3 9SU",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-124018565-16817035?s=060a46631702fe81201470aeba0e5887a379176f6c50a5511c37ccff578cf39e,51.4523,0.63326,4d3979ab-7235-4eb5-bf4d-e3de37d33d3a,1
2,"30a, Milton Avenue, Cliffe Woods, Rochester, Medway ME3 8TP",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-61722671-16816993?s=51839e4c5ec1c9502ff26ec9bb4370f869350593078341ce9aeec36f426afea3,51.43447,0.49914,35218962-50fa-4e5f-ac15-bb8804810228,2
3,"18, Robson Drive, Hoo, Rochester, Medway ME3 9EA",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-131484230-17760676?s=7a53cd1e72077038dc865b19977a32616c1a189a233452bc15e0a997142c8f63,51.42388,0.55624,5b0125ad-af93-44fc-854a-484781e6eb5f,3
4,"10, Shelldrake Close, Isle Of Grain, Rochester, Medway ME3 0DH",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16816894?s=97946a465d23fe586b9c4a20f1e54e49083ed797931f1136c8f01e27874c346a,51.45533,0.71736,e8616a21-0a74-40ee-949c-f7096b763b55,4
5,"6, St. Marys Hall Cottages, The Street, St Mary Hoo, Rochester, Medway ME3 8RH",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17103073?s=28dae2cd418765ea5a08d988e3fa642002a0a1cd12fb5a63ebf74f1080cdd3a4,51.45991,0.59482,dde8d5a8-4c29-4100-8eb7-092f8577e7d9,5
6,"40, Coe's Green, Chattenden, Rochester, Medway ME3 8PY",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-123524318-16816990?s=c08960861e12149af456b23694d290b3194c2e95e73c117f85e1f8e9bb697352,51.41724,0.53473,6c352426-f96f-4c98-aa63-1a6394330891,6
7,"34, Eglington Drive, Wainscott, Rochester, Medway ME3 8BF",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-57951637-17760619?s=c51443ce73a0133577e93460e6d135936d22be54248f4794fa63361c85381284,51.41341,0.51237,078877b1-f25f-4208-b7b1-669c82352d73,7
8,"2, Milton Avenue, Cliffe Woods, Rochester, Medway ME3 8JS",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123590330-16816984?s=df5c03a559c1b5e162ef7fe4f69df3d8088f44bc4d6b65d06220b0477a2a7362,51.43468,0.49742,fe3170f6-3277-4e2e-aa16-01b64bb1948a,8
9,"River View, Abbotts Court Road, Hoo, Rochester, Medway ME3 9LJ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-129166166-17760721?s=d1d202a880c490bfe8ee1e537e023f5b9704f5cc8731d0ea43518760daace305,51.41881,0.56603,bd59b71c-49ba-47b2-91e7-cf0115e6504d,9
10,"196, Avery Way, Allhallows, Rochester, Medway ME3 9QJ",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17760727?s=4e8adf9b0df537c033dfb570dbf85340e7d38246e0bf1d7fa8ce9fe8e77ddefd,51.47331,0.65103,1273c882-5b06-44ee-aa19-927e2169739d,10
11,"19, Guelder Rose Drive, Hoo, Rochester, Medway ME3 9FX",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17103100?s=84ee1fd5461659621b8b33f34674a6f6a16be342b78038de379837c9c361179c,51.43002,0.55918,1e789db2-6568-494e-aecb-8a1a99fe699d,11
12,"54, Oak Drive, Higham, Rochester, Kent ME3 7BE",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124972217-17102929?s=2473320fd71041aaf3cc127e1b497eb92780671078c1be0e741b9baeaef139ab,51.4177,0.45838,01bf38d3-33cb-4906-8b8c-8c2da7d441a0,12
13,"20, Woodside Green, Cliffe Woods, Rochester, Medway ME3 8JZ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-123526256-17103046?s=f8643b412bde6cca50f718be82f175b56c87938862fd7e6697cee7252abbff52,51.4334,0.49865,020ccd03-64cc-412e-9f9a-c5d904fc1e7e,13
14,"11, Lodge Hill Lane, Chattenden, Rochester, Medway ME3 8PN",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85592394-17103064?s=a911e0f47d9491a269003a002e4452b38faee72f7c35557fcbb88ea443e8ca92,51.42442,0.52721,54ee37cd-260a-43b3-a3b0-43359b71f631,14
15,"5, Briar Dale, Higham, Rochester, Kent ME3 7EE",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-33903516-16541122?s=f4019aca5b157c3c95bacee0463bccb11f51799207bcb7afa2b3995c76fff431,51.41664,0.45343,b8142e1b-dddd-4343-a37c-1f4f02a348c2,15
16,"The Stables, Noke Street, Wainscott, Rochester, Medway ME3 8BJ",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17102959?s=5d9e505dbb65fb0171fe05ba4aa7156e7407f60813c91f295ce00f6a97fbe199,51.41738,0.50324,2261c436-f9fc-417f-9283-385f4fc3648d,16
17,"13, Hermitage Road, Higham, Rochester, Kent ME3 7DB",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121921202-17102932?s=fd0cc49966df8c7320d8591b2a5cd18e433182f5c16575773357bc8aecf901d9,51.41584,0.4613,84f07ae8-d179-49a1-876c-0a4ef57a7617,17
18,"22, Lodge Hill Lane, Chattenden, Rochester, Medway ME3 8PJ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123137264-17103058?s=fbdf3fff71e686f1ee53294985afe32dc05d32592ff913fbc4d4f4ffcb850c25,51.42486,0.52796,2ffc7b43-61da-45ec-becc-0c774e7bc151,18
19,"3, The Braes, Higham, Rochester, Kent ME3 7NA",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-85689546-17102944?s=9227338fd018219dc44c27e9b0cdf2c3f271ad3739d39399dddb4b75004ff6ca,51.41513,0.46097,c05e2264-6baf-4d8c-8ed4-0565cfa9e33a,19
20,"6, Half Moon Way, High Halstow, Rochester, Medway ME3 8HA",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-102740498-17103037?s=ee32066f672134744f4c75df710e265a2ead68a00b179f333624522307e91471,51.4473,0.56719,2379b08d-f58a-4956-abb7-16fee916773d,20
21,"39, Tennyson Avenue, Cliffe Woods, Rochester, Medway ME3 8JG",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-123540707-16541167?s=98cfeeb012a349a226f9d0f4774b9f48a12282c6114dcac47888f36975e81e2d,51.43261,0.4976,37fcff77-3a02-4c90-97d1-3db8a1214807,21
