,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"Leaside, Berkeley Close, Stoke Goldington, Newport Pagnell, Milton Keynes MK16 8TE",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16236130?s=0aec30492da4c9829f246feedce26e660d92a59c23b79dc44058f295dbe4cef0,52.13046,-0.77836,66b59f8f-4cd1-4665-a7d0-35e26eb0c1fe,0
1,"2, The Lodge Park, Newport Pagnell, Milton Keynes MK16 8BD",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17762380?s=930759a70163b506d876c316ed2ac35ce052ea2d3b9af6781739c19ca09ab804,52.08464,-0.73087,6f9b541a-dcb1-4797-b53a-bb3cd61d3168,1
2,"Bell House, 11, Gayhurst Court Mews, Gayhurst, Newport Pagnell, Milton Keynes MK16 8LG",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17105107?s=bb5e285626f8856549fea46033544a456c7b4f74dd739dcba5eb6d0d40ccece4,52.1083,-0.76626,91799032-6d0a-46fb-b183-bf8b8343de56,2
3,"43, Salmons Yard, Newport Pagnell, Milton Keynes MK16 9FQ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16236154?s=471d34bf031d59fd33cf6c3ced67e895bae8a2fe5bc04fdb5a36020538a25616,52.0851,-0.71538,4545c1c5-d59e-4caf-968f-333a6b5e83b2,3
4,"39, Broad Street, Newport Pagnell, Milton Keynes MK16 0AN",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-122092316-17105044?s=159153638f82763a4882eae3b2881c5de41953ff0c0c565a3143b87167bd6a12,52.08293,-0.73062,9dc5fb75-95df-4ee3-92d3-bb73e88628cb,4
5,"2a, Little Linford Lane, Newport Pagnell, Milton Keynes MK16 8DF",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121746554-16543213?s=6d5e29fe8a048f30473cae4d3224c61aa402be2a422a885ec0f4bf02e2824f2a,52.08253,-0.74348,089aa412-b14c-44cd-91e9-7321465fdca1,5
6,"62, Little Linford Lane, Newport Pagnell, Milton Keynes MK16 8DL",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-109612319-17105089?s=32a2f88469d0e92670d84449353c49b10affb7951b824b2d49e66324254354ec,52.08372,-0.74563,d8585b3f-d098-449f-b5d2-d503c5e8a7c1,6
7,"40, Syon Gardens, Newport Pagnell, Milton Keynes MK16 0JU",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120397901-16236076?s=d4fb9f51eeff7677fddc94534eb0ca8b43d839763857988b7d61937f47f29763,52.07654,-0.73022,c5dbbe09-359c-4d73-b467-95ee0dd0fbbc,7
8,"3, Ash Hill Road, Newport Pagnell, Milton Keynes MK16 8BS",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-119376794-16236094?s=5494303ed4e981838cb8cac9ade59c4c5b02997a5049c7a8c10a433d707ef74c,52.08482,-0.73903,259169b6-dc0c-4a2a-9ae4-e3e1cdecd9ed,8
9,"10, Lewis Close, Newport Pagnell, Milton Keynes MK16 8RG",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123965228-15924496?s=34f09298f930e1e7e9385bb6df98c8332aac6fc5c8146802dfa6d108b1b921e1,52.08849,-0.74667,289a682a-1d41-4924-b144-9d347054bb04,9
