,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"3, Carnoustie Close, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 8NF",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-125724953-17455387?s=e072e8a6b477e844bc3dae035cc2246823c2f27feeefc15040af00f0088bf608,53.10802,-1.26607,23fe756d-387a-4e0b-abf5-8ea12fe27491,0
1,"38, Swifts View, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 9DX",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17455432?s=add036ba5d76071e0c852fb5b234319bfc8b15f5d668a888c8801061e15003ba,53.0812,-1.2607,2b4f31aa-61a2-4f41-b955-bb01d8f6063f,1
2,"25, Barker Avenue, Skegby, Sutton-in-ashfield, Nottinghamshire NG17 3FP",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-125822699-17455165?s=dd5a36a4707a41d5aabc9c139b272b8a9dbeccdaa450436bcc442af130a90a3f,53.14448,-1.27516,9c42561d-35fb-4662-b5c3-ae5425e7f6bb,2
3,"2, Victoria Road, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 8AR",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-11882460-17777290?s=7c8a6101666b940912a62854887c18db2fe7f34801deafbe7349b9e8b22bb79a,53.09995,-1.25485,3eb535a1-eb90-4b61-842f-f9d62a5455a6,3
4,"50, Sudbury Drive, Huthwaite, Sutton-in-ashfield, Nottinghamshire NG17 2SB",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-125836115-17455135?s=b51a940198fee2be220fcb500364893830fc309e355e9fd27ba3709836d489b7,53.12409,-1.30719,776b7e32-8fc9-4d0c-a059-ab38c2bc0b10,4
5,"27, Lime Street, Sutton-in-ashfield, Nottinghamshire NG17 4GA",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-130272707-17455243?s=2b2b2172efe4916a35e6b9e048c803c3acd3656abfa2aaf2d6011fb58e262bd9,53.13014,-1.25224,65f2bc55-118e-4ad4-81e4-b7193bb95b19,5
6,"Malthouse Cottage, 127, Forest Road, Annesley Woodhouse, Nottingham, Nottinghamshire NG17 9HA",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123873257-17455450?s=6cd1527e71a8fbcc7dd49c2b7ea8fc3cdaa6a8d4a2aecec2a3a80dcd8e4d362e,53.07648,-1.25391,38c85b6d-5d19-4c45-8f2a-cbadc579e0e5,6
7,"7, Campion Gardens, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 8RQ",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17777338?s=214549030e088d01f491a37a6ace77a3901ee548d472063bbaffff4e0680d9fe,53.09263,-1.24871,bc4d050f-52cd-457a-868f-7683146b85ad,7
8,"12, Bonser Gardens, Sutton-in-ashfield, Nottinghamshire NG17 1DT",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-130272590-17455006?s=e335ff5cd11995078d8b43119dca5e8196e0b37c2ae8864e96447aac83da7982,53.12135,-1.27107,32c9db3f-6c73-4828-8117-df532b6a48f2,8
9,"8, Churchmead, Huthwaite, Sutton-in-ashfield, Nottinghamshire NG17 2RN",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17777131?s=76be2ca9469e83d8d3275476103c7d3acbad381e4fe48ddd39e39e2b7426848f,53.12703,-1.30355,ec9cd491-78e6-4aa7-b8c3-b1f80b30488b,9
10,"48, Twickenham Road, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 8SF",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17777350?s=ab77daac457324e4dd3e232281fc184781a3051d1b32482a5d704a3f3c425564,53.11276,-1.2618,682a341f-b380-49c5-a3c2-10f0fc092c8c,10
11,"Morvan, Dovedale Avenue, Sutton-in-ashfield, Nottinghamshire NG17 1DU",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123388304-17777023?s=cca7948277cb99a9d4be8c81999501ea00e91e06cedae247dbf96876ede63a83,53.1202,-1.27273,b93853eb-c586-4002-941f-0ab5185fea42,11
12,"31, Hardwick Avenue, Sutton-in-ashfield, Nottinghamshire NG17 3BX",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-125530169-17777149?s=776eeca40facb3f6e49133d8c0370619ff0ff6474b75ca29b5d9d49a44d99824,53.14245,-1.25128,2d4cc449-5912-4e45-b022-73a1b3c5ffe5,12
13,"8, Keepers Avenue, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 8RT",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17777344?s=7a63d2bd466cef239cf14d92d05164cb029638e235ea922a45eab1a210ab55ca,53.09212,-1.25319,2392a0a0-2042-4239-80de-a589a31192ca,13
14,"36, Rowan Drive, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 8FT",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17777299?s=9fbbf40d90f254007b725252e226ea2e627d44ce51be88f4e1ca119a681796e3,53.10466,-1.26074,91348e3f-035e-41cb-baf4-a4c7902abbb1,14
15,"82, Kirkby Road, Sutton-in-ashfield, Nottinghamshire NG17 1GH",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-127902170-17777044?s=f6f00805795cc9ffec59b6dfeaa3693ed2640e27753c14092be626f26c214711,53.11954,-1.26796,957794bb-97fc-4c86-bf18-38ae63a7398d,15
16,"83, Common Road, Huthwaite, Sutton-in-ashfield, Nottinghamshire NG17 2JR",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-126205553-17777104?s=92b624ea7f73f021603d7918f8cfcb9c04eefaa0a8284ae5795074ac5cd2219b,53.12487,-1.30299,33ee21d0-b7b2-42e9-8b87-ce94a6586757,16
17,"49, Jephson Road, Sutton-in-ashfield, Nottinghamshire NG17 5EH",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124794569-17777239?s=e52cbf20e442066c8d365fe3322333ffbd32e81a3394d446be7ad1afd7757fa6,53.11588,-1.25742,8f1a396c-b049-4377-a680-99e9926468e2,17
18,"46, Oak Tree Road, Sutton-in-ashfield, Nottinghamshire NG17 4GT",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124442837-17777200?s=e583981170290a9c38bff7dc37a747f3c066bb34bfc3f5b539658674c47daedb,53.13049,-1.25163,5cd4133a-8f52-4eff-8719-48ed6025bf72,18
19,"19, Saville Road, Skegby, Sutton-in-ashfield, Nottinghamshire NG17 3DF",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-96912626-18079711?s=67c878d576c54cacd0cd28ea6bbade42e9209dbf51fcc0911ae175b1c68b027f,53.14231,-1.2592,35ead685-a41a-4e0a-9520-777a31982d5c,19
20,"26, Bennet Drive, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 8AW",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17455351?s=36f2c41039e7be512e2f105b6a4f6aa801cdf43f68933c09d929c9e3123b8d15,53.09452,-1.24972,89e857dc-e444-4809-90ef-691830780116,20
21,"134, Skegby Road, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 9FF",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123039695-17455441?s=0dcd7c22fa7b3e4268c8b623ed2122ae47a856ce4f637d3053b1336ec6f25448,53.08058,-1.26235,c7a12671-548a-4e76-8eb0-e39d34952489,21
22,"16, Pendean Way, Sutton-in-ashfield, Nottinghamshire NG17 1LY",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-45064137-17455054?s=1ea3169e8aa8087edaf149c28aac8ad621ee967ca78a029482ad85f4db71cf57,53.11883,-1.27036,e8bb56f7-c9dc-4823-9854-84becd230ea8,22
23,"65, High Tor, Sutton-in-ashfield, Nottinghamshire NG17 3EX",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124703948-17455162?s=b9f3e377130e628ebb68b0d79beb5128faa342813724ca80164dffa06a235f33,53.14504,-1.26364,36aeb4fb-8db0-46e6-bf7c-e22bdd4a0b41,23
24,"7, Muirfield Close, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 8ND",Terraced,1.0,https://www.rightmove.co.uk/house-prices/details/england-126586052-17777320?s=692c4366e73675e186c4802a5027a0de723877c94e95e6f179228885c57cf94d,53.10821,-1.26741,cc090c91-2132-4b23-aeef-c2ac37080c7b,24
25,"103, Dalestorth Road, Sutton-in-ashfield, Nottinghamshire NG17 3AG",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-125873585-17777143?s=4c6c10de7c5deab819880fe22fbbfdfe04605a3bffeea2c1de93ae1c7ca1abb2,53.13828,-1.24642,1660aa57-df26-4540-9897-bde077df74af,25
26,"Lenarth, 89, Wild Hill, Sutton-in-ashfield, Nottinghamshire NG17 3JE",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-60630233-17777170?s=96b5ef6015d7606f0f28c30fe1253fe36daa152903c260bf42933dac558373b2,53.14422,-1.30626,682b8abb-2a84-4f30-814b-371c37f5a615,26
27,"145, Sutton Road, Huthwaite, Sutton-in-ashfield, Nottinghamshire NG17 2NF",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-15126996-17455114?s=0a6411c9a06b622ff04dbb21bb7876779a461609c6f339a039252431e29f8058,53.1288,-1.29799,93bdd804-0853-48fb-8efc-ebd7ce0c3358,27
28,"21a, Carnarvon Road, Huthwaite, Sutton-in-ashfield, Nottinghamshire NG17 2JQ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17777101?s=c431f8f4d58f24cc507e6413a4f5dc29cceca0139301d023775bc82610f819af,53.12326,-1.30376,faf3c72a-8631-4fe4-9103-58482dca6bd3,28
29,"20, Orchid Close, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 8PH",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124408712-17455390?s=d6753527267369bddf076cd7d9e6777eed48e485ae6e899661ec5540bece9da9,53.11076,-1.25885,a19a6845-dede-4bcb-9b3d-23cbc2bc29aa,29
30,"3, Wentworth Road, Kirkby In Ashfield, Nottingham, Nottinghamshire NG17 8NA",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-126970694-17777317?s=bb89059a60ec3f340d85e3d631fcaac5b5411140fc5a83a1ae2dc4b3b7d2f1c4,53.10927,-1.26485,9e959f94-01c2-437c-9ecb-b7cdaa7e4ec5,30
31,"111, Institute Street, Stanton Hill, Sutton-in-ashfield, Nottinghamshire NG17 3HD",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-124026224-17777158?s=0a76ddb2493ead88ff8079cef9321a08b7962d9113439f3f9a919c7708834888,53.13973,-1.27763,05dd8e4f-9bfa-43ca-8d07-6e8cf6a0d784,31
32,"114, Sutton Road, Huthwaite, Sutton-in-ashfield, Nottinghamshire NG17 2NG",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-96541132-17455117?s=6d9253b2c7e38dce6f0cf8b26c9ed4a6e8f6c3e45bf6bc7b747e7055611484cd,53.12844,-1.29815,7ec6a64b-0402-43cf-8aa0-bb8c36780353,32
33,"9, Briar Close, Stanton Hill, Sutton-in-ashfield, Nottinghamshire NG17 3NF",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-39525132-17455207?s=9f24829833ced3b197b2ad69845500ce5843cc19f2526fe29736d115918cadc9,53.1421,-1.28313,6cc388f0-aaf2-49d3-abc6-684bcb0f3dad,33
34,"15, Broadlands Close, Sutton-in-ashfield, Nottinghamshire NG17 4JN",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-125500913-17455261?s=17b81b3afa6a364d18b91331623b862ee07ef77c74147c50857d49635baa976e,53.13401,-1.23991,e090a631-f53a-4b32-8b96-02296fd38dc8,34
