,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"127, Gaer Park Drive, Newport NP20 3NS",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-111664370-17466454?s=5c327588deba7e8de96357ecad8ce0ca1713fcd2568c7caa500c5e99d93aa154,51.57577,-3.02436,59fcdd74-8224-463e-8677-c30a6b1f4210,0
1,"26, Winchester Close, Newport NP20 3BL",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-51470137-17466436?s=7ec145a071131fd1b17c611b8900055ddd800c2f459b081264e05615837fc5be,51.57014,-3.01038,b41a738d-36cd-4013-b36a-28c6beac39fb,1
2,"67, Jones Street, Newport NP20 4GL",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-126117731-17787409?s=d734b710807805c05389100461214603f45d373156b9ac22294d6e3eb9a48a36,51.58453,-2.9993,3e72fb3b-0758-46d9-ac0f-8b50c3097b97,2
3,"26, Lambourne Way, Bettws, Newport NP20 7TY",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-26564554-17787499?s=352f427860b8e6b175c6b4cfa5a217aced6ebed6daadc24cb90b03171e49be2c,51.60929,-3.02656,6a4ee7cc-b723-476c-b5b2-b76702285177,3
4,"18, Shaw Grove, Newport NP20 3JR",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-85529919-17466451?s=e7532613319e1a0dd45ecfb0595fc11f782654e0fabcf41f500bc5afb08a5ddb,51.57427,-3.02173,0e874923-524e-4333-af9b-9ad8f86ab4ef,4
5,"67, Leach Road, Bettws, Newport NP20 7XE",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17466610?s=7328161fabf814030e0b085abfe422d318a88f44960a8f4000fa6411c62bc981,51.6149,-3.03333,59915ce4-8623-41fd-a9a1-f95ad4febe02,5
6,"Flat 7, Cwrt Pencraig, 8, Caerau Crescent, Newport NP20 4HG",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17466493?s=712e43399d58c0e0d7042c6d6006226362dcda5d2b37011f0e10dfd8a2b4c261,51.58383,-3.00722,14edd6c3-d915-411c-b215-2dfae3c59484,6
7,"31, Cae Brynton Road, Newport NP20 3FY",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16837405?s=59a6e0ff2777e7aea3ff4cc379703d4615f853977d9123b1b65d020df278be82,51.57516,-3.01193,8c04aeb8-f11d-4a7e-9213-dc103287a34f,7
8,"55, Fields Park Road, Newport NP20 5BH",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-47450579-17787436?s=8ddb40b935b0bde332915f1181698d5135972cc96d17b79a2dc5ba42aaddd97a,51.58783,-3.01323,1066b167-6575-4303-813f-b80d679259d5,8
9,"132, Malpas Road, Newport NP20 5PL",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-121891229-16837483?s=8ec863e2c5e09c2750f955adc3c50d35675876815164d6de49f395eb13e25775,51.60033,-3.00224,c2216535-0441-4cbf-a8a1-68000896d476,9
10,"3, Goodrich Crescent, Newport NP20 5PE",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-136070225-16837480?s=05757a668c08157707bbd9645c4591c1a87a1d8a28cd6718f92e2f09797aa753,51.59817,-3.00219,65624e44-0c15-481e-af27-2f8405a52b98,10
11,"4, Cleeve Grange Crescent, Newport NP20 2PY",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17466421?s=673921a86560bd0e2b1ace5d5ef4c689c56be240fb74c60b7f705eb2228bcee4,51.57531,-3.00544,fdd7c2e5-8a38-43b7-8641-00cb1d4b6f12,11
12,"47, Lambert Street, Newport NP20 5FW",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-124031771-18089548?s=9d556c0b8ffebfd8ebbb5c3e31e281c1181b7a793ab274650e0451fbc8a44666,51.59555,-3.00401,5b17f705-b6bc-48e4-a805-71f54ec67d72,12
