,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"62, Southway, London, Greater London NW11 6SA",Semi-Detached,6.0,https://www.rightmove.co.uk/house-prices/details/england-96567610-16842463?s=d49be94189de7a87e8d210695c5cafebd4bb56c74040143d6639295ade28e070,51.58147,-0.18305,b39f2757-440a-4dcc-aa8a-8efa677f7f4f,0
1,"108, Bridge Lane, London, Greater London NW11 0ER",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-60924895-15955666?s=4a2cf1b51b7000fad44a3d19afa0012f9f95e8fc3825ad7568bff9cd820d471d,51.58559,-0.20526,630efeb2-d52b-4352-8aed-d49a4cf5543c,1
2,"16, Sneath Avenue, London, Greater London NW11 9AH",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-30667535-16267360?s=b14b9befb660be40a20d47c1b97a6928920ccbc130d9313f1241d247668a4c4c,51.57701,-0.20343,bd88d016-0732-4011-af14-041db32b7e11,2
3,"43, Gainsborough Gardens, London, Greater London NW11 9BJ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-96559252-16842520?s=477c02b10c7a430ff035b285676507053ee695d2fff5d7a00a78910d62033b1e,51.57378,-0.20385,b3495a00-8c74-4fb4-b69d-db2d59e7d571,3
4,"13, Hampstead Way, London, Greater London NW11 7JE",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-114109625-18095434?s=40133488546146e359c214d421236c38660f9f1e20a59d3f88d780ab7cef3a2a,51.5705,-0.18334,ea3d75ec-b288-4066-b151-cc366c552ff5,4
5,"Flat 72, Heathcroft, Hampstead Way, London, Greater London NW11 7HL",Flat,3.0,https://www.rightmove.co.uk/house-prices/details/england-116415569-16267327?s=245850ea45fa1b989917fb2834e12d92b68d379d0471e66c2a5911cf2d7248f8,51.57243,-0.1863,3fab2997-1955-4689-9fb1-772f9f33eab0,5
6,"29, Ingram Avenue, London, Greater London NW11 6TG",Detached,6.0,https://www.rightmove.co.uk/house-prices/details/england-97733516-15955696?s=6acb371cc328ce0a9f9b7a1dcf6a4e5bf9e0533d96da4040a7d366849170fe9c,51.57364,-0.17716,0182e1c6-4c7c-423b-acdb-b53c579d8b57,6
7,"Flat 16, Dolphin Court, Woodlands, London, Greater London NW11 9QY",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16267378?s=757f45ffe2280dcf7db93a792f7c5aadf69823030ece3808aa585af98105cadf,51.58116,-0.2102,925680a3-3199-4916-81a4-778228e190eb,7
8,"Flat 6, Belmont Court, Finchley Road, London, Greater London NW11 6XS",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16267309?s=a5aacaaf34bbce645e3a1b2452944bb68001918448ecba1a62ea818795971bd2,51.58397,-0.19955,8502cebb-8248-4c48-b2a7-ec890212f26f,8
9,"28, Park Drive, London, Greater London NW11 7SP",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-47838965-18095437?s=508c726bdad80460479e999ef5d91f281f3c481af19ef8c845c7b8b8087ef759,51.56934,-0.1896,9ae1f726-9c03-4143-a3ae-ba06be796081,9
10,"Flat 22, Dudley Court, Finchley Road, London, Greater London NW11 6AE",Flat,3.0,https://www.rightmove.co.uk/house-prices/details/england-122247158-17138638?s=15b23ff4450349ccd8cde719d68740f3edb7a11319c2080bfe39c9f2ec43fdcf,51.58756,-0.19941,ab71bfa9-c0c2-4ee6-b14a-3ba65a39e9e1,10
11,"32, Powis Gardens, London, Greater London NW11 8HH",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16267336?s=320abd2636d679c48603e9a656cd69004349f2db1860e66894ed11dd3bc06294,51.57359,-0.20299,be15732b-7350-4b8e-9f30-e85c1dd2c34a,11
12,"15, Raeburn Close, London, Greater London NW11 6UH",Semi-Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-122843030-15955699?s=2e4e1d3dac4e8618ab51f7cd6fdae8824c82aa36b64a6a73509c041d441de4ae,51.57929,-0.18213,675d5120-25cf-40d4-a8a5-26792d3fcaa8,12
13,"7, Hill Close, London, Greater London NW11 7JP",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-120499685-16842487?s=f6838ffad47dc48cc529a20c91b3639576acecb6487c94e5586fa5f8e4d22187,51.57907,-0.19108,fbb874a8-5fe3-4493-8445-92e5cc120f12,13
14,"44, The Vale, London, Greater London NW11 8SG",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-121114052-16267345?s=63c7d10f13a08305a7590530ccf0617abb265738affe2b6babb68c422b446cf9,51.56925,-0.20114,178f103b-864d-401c-8058-0bc6c7cb4246,14
15,"Flat 14, Waterlow Court, Heath Close, London, Greater London NW11 7DT",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-112942979-15955714?s=88b35a34a904cadc4ee4fdcb5a4cc4ff1593f42465d79d61e8b3439df432e645,51.57284,-0.18931,29002c76-f9ce-42f1-b2c4-98e4e004e477,15
16,"80, The Vale, London, Greater London NW11 8SJ",Semi-Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-78311467-15955747?s=afbb87b58def62af246ccb9c837724c5f1f71e602b031f5989b65e31f0aea747,51.56733,-0.20497,2d54e269-526f-4be8-a87f-b1f79c8427e6,16
17,"2, Westholm, London, Greater London NW11 6LH",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-46527928-15955684?s=e0424387e3f40e8be7556347157f8e9604df9e2a9286fc308eff29c379e377b0,51.58731,-0.18845,b48291e2-9a0a-4552-806d-89df7b025cb4,17
18,"2, Asmuns Place, London, Greater London NW11 7XG",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-122900486-15955732?s=f95ed03e104afe26ef2171ddedf98ce63e1d17642a2f9bdc32ace4363db6504f,51.58403,-0.19782,b8922bee-23bd-45a1-99ef-af22ca4b23ac,18
19,"Flat B, 18, Elmcroft Avenue, London, Greater London NW11 0RR",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-122055152-15955672?s=12478b578be0ecdbb295d8d741ef6cfff482255cfd836e9aa0184657b8ef8f30,51.57533,-0.19931,aa17afa3-5c7a-4f66-8b48-e78655d90193,19
20,"152, Willifield Way, London, Greater London NW11 6YD",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-121505234-15955702?s=9e3ba26e2ca0283228be54fe6b64fd20c181e561163b509fa4237280a54df489,51.58573,-0.19688,fa11778c-9d96-4df1-b981-8b5a5695fd22,20
21,"95, Hampstead Way, London, Greater London NW11 7LR",Semi-Detached,6.0,https://www.rightmove.co.uk/house-prices/details/england-121210517-17138695?s=70d34a98fc04cf3a0b94aa9dad41a18a56eed521daf839afd7a026d26dd71905,51.57727,-0.19101,f4b8ccbd-a382-4e43-9ac6-fd658d23e2df,21
22,"16, St Marys Road, London, Greater London NW11 9UG",Terraced,6.0,https://www.rightmove.co.uk/house-prices/details/england-119380682-15955771?s=a289a68046f34d4c13facf2f227343a207c7ada3f09e4d88c95b91d1a30bf88d,51.5764,-0.21024,763fa4cd-5752-46a0-af42-24070e636ca2,22
23,"27, Britten Close, London, Greater London NW11 7HQ",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-125563415-16842484?s=d1d17dc20282e2f75a8a0726e3c16439392b8afd3871b34c6e996767ec00e0e8,51.57082,-0.18679,4ae0c602-33d3-467d-a6fe-08686f52a391,23
