,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"8, Penrith Avenue, Oldham, Greater Manchester OL8 4LY",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16270804?s=37d2126504f143a993cadc6f39af6233e537653b357c234a71cf1341cbdc3075,53.52827,-2.12985,604a5403-8115-46a1-aeb9-c9e69df33897,0
1,"4, The Croft, Oldham, Greater Manchester OL8 3AL",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119827646-17477578?s=96a29c37ebb7476ed30bfb2f1b70b4003f08220cf604fc637211920a0ad67f1f,53.52154,-2.12108,4f739d33-02b7-40c2-9b1f-28330c8c3a6e,1
2,"8, Goddard Street, Oldham, Greater Manchester OL8 1LQ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-123266510-16270717?s=f76875b424c5331ceda9798839520982dfc992134adc106b9f8d8ab8a4ed822b,53.53144,-2.11296,eef1e86f-e55c-4a9c-ac89-af90da8986f3,2
3,"33, Hive Street, Oldham, Greater Manchester OL8 4QS",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-85538370-16576921?s=fe93d3746b95fa24ca36be071e0d38fc5c09a3c7ea5564c5cadc0075dc8bbcea,53.52242,-2.13858,6cf196a4-9fa3-4af6-909f-78e27234f6cf,3
4,"38, Harper Street, Oldham, Greater Manchester OL8 1BB",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17142565?s=baad5c4a5382d2f6c48424791f6971935fa11e0496eedde97acb6af878690083,53.53224,-2.11718,05f2db04-7208-472f-bc39-6375e36ab0b1,4
5,"19, Howgill Crescent, Oldham, Greater Manchester OL8 3WA",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-120170891-16270786?s=b9a082f3ceead3a550c000aa0677fbeedc1812465d8d64361c239593ecf807ee,53.52424,-2.11596,d3f195a6-9a0c-43b2-a58f-1d25b86a232c,5
6,"19, Margaret Street, Oldham, Greater Manchester OL8 4SN",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-60514500-16845286?s=8389a65a20b3e26d815b3236012908593ea785584582c41cab39bc0a12345101,53.52098,-2.13721,a3e710d2-7af6-45bd-b599-31a3fad11a16,6
7,"31, Randolph Street, Oldham, Greater Manchester OL8 3SR",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16270780?s=d41e133ef58b611cef62c417951dd1ba14cc18c583b5d971496260784593c9bd,53.52099,-2.13239,9f2b7b91-36b8-4068-a9c0-5ddbf502cae3,7
8,"21, Schofield Street, Oldham, Greater Manchester OL8 1QJ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85538412-16270726?s=9f05b7ef4f2d76209e39c5cb9565a5c6d305be65c6b0579a9561014dc46b8073,53.52766,-2.11461,31b6aa41-f468-4128-9601-9cecdc389731,8
9,"162, Furness Avenue, Oldham, Greater Manchester OL8 2ED",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-125069192-17142601?s=38ea90e24fea0991a0cd3eb70006bcfa4c81be1931161a22bd86c05652456633,53.52724,-2.08383,bacc33c6-6d10-4e44-b1e7-6b36b129adbc,9
10,"7, April Close, Oldham, Greater Manchester OL8 2XQ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-120639242-16270762?s=91decc3638517ad8e0ef8bfbfde679a169572cd6cca7e03d2062bf40d3e68386,53.52813,-2.08791,5787ba1f-6645-4393-b50f-9be26fcf9331,10
11,"100, Pine Tree Road, Oldham, Greater Manchester OL8 3LQ",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16576870?s=803831d5ad0c7973bc27b9262907bd79e6c939208cfbb65bf55e00081ad1f055,53.51641,-2.12785,b4e34126-47c7-4d04-ba85-252ba4b091e9,11
12,"11, Burder Street, Oldham, Greater Manchester OL8 3SU",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-121781588-15959131?s=e824ca7937b8a37663effc2f73404f6b3984db59fc332522f5b39990fffff0e2,53.52045,-2.13404,438e1af1-c79a-401f-ab4f-04a3543e9400,12
13,"143, Fir Tree Avenue, Oldham, Greater Manchester OL8 2PJ",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-121531298-16270753?s=840a3c871a79fedc45df28e4afbd6016b6b0414dbcbeba4b6c8e9bccda8f0a38,53.52318,-2.10162,a7953a03-4637-4ba8-9214-11b17618894c,13
14,"5, Mulmount Close, Oldham, Greater Manchester OL8 4NA",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85538373-16270807?s=60f70f87c2b29f6b82c6ce8f95879cdc29333e5f44c2f3184afa69672d6daa44,53.52692,-2.1309,0d1644c6-7fb0-41e9-9a3f-23c6fa2b84b1,14
15,"84, Springwood Hall Road, Oldham, Greater Manchester OL8 2QF",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121221098-18098845?s=c2d741ac4496bf94c8ee16c94f09a969a226ce44914265693ab34961227225b4,53.51958,-2.10146,2fb10f43-c2f6-4a7d-ac2f-bfaeb9e92460,15
16,"70, Crete Street, Oldham, Greater Manchester OL8 1PQ",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16270723?s=8f4e65e3e6a36894de6a9d07d3516c5dfe332831f4978a4ec6244859fb500a0b,53.52982,-2.10813,61843900-b742-4c73-bbe0-86e5968735a9,16
17,"11, Clovelly Avenue, Oldham, Greater Manchester OL8 3UW",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-28581544-16270783?s=85d1cd2ba9453bda95b521a2ca8a81653b1780607b9e120b945cbfa36790face,53.52198,-2.13269,03fddc35-8591-44d0-bf9a-b82c2b023a62,17
18,"32, Green Lane, Oldham, Greater Manchester OL8 3AY",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-19369437-17142631?s=b53e10c44eb0a9fc3db9ea2f667e0c69dab515940122f77dd44c7032bae588d4,53.52217,-2.12213,ff6e132f-a251-4a4a-9718-30dc2cc3e248,18
19,"1, Simkin Way, Oldham, Greater Manchester OL8 2TH",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120486641-16845232?s=f0ffc3a9ea8f50b78783d8232c9ec1b1cf306ed3b1555c049413d974c35892e2,53.51652,-2.10538,a70a5218-95a4-40ff-8c13-489428f1988c,19
20,"99, Chapel Road, Oldham, Greater Manchester OL8 4QJ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-121143242-16270816?s=b2d445248086755c0da285a8d95fbaeb0547aac7010a08f54e0fd5ad8f8a2e3a,53.5226,-2.13526,c4b57536-bd4f-4fb4-a7b8-f212e0b1d1b8,20
21,"10, Link Lane, Oldham, Greater Manchester OL8 3AD",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-85588716-15959098?s=810b38ca5a644367910969111176386ec88c232fd35415bfac31a1a706776285,53.52334,-2.12108,4e4e72bf-2368-4585-9e3a-596a93caa969,21
22,"6, Goddard Street, Oldham, Greater Manchester OL8 1LQ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-121173989-15959050?s=eb6d0d9271f7700695889b9951612269783f4ae9bc95ac0d384daa83a9c85e17,53.53144,-2.11296,846a4d45-3a37-44cb-b031-c7188c7531c3,22
23,"14, Lyndhurst Road, Oldham, Greater Manchester OL8 4JG",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-15959158?s=f89cc1006cca0b87c77b8d9092016a9ff2d679a9620d4862084a7b7c95a1a044,53.52415,-2.12274,e4b01bc5-6b59-40b6-a3db-9fd28ae5871d,23
24,"271, Chamber Road, Oldham, Greater Manchester OL8 4DW",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-118388807-15959143?s=cb3212c1261fa759864b9c6e2b92465cdb6deb77a8fe2d14ea6d8bc6e5791e49,53.52729,-2.12773,0c98e5ab-fbdb-469c-abac-10ecc5f2f87e,24
25,"880, Ashton Road, Oldham, Greater Manchester OL8 3HT",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16270777?s=1ddaea730ea034a2a12340f1f21935549b731dff390f75ee7f5270c979e25c86,53.51436,-2.10809,2cacc383-d18f-4c31-bf3f-354bdad11402,25
