,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"18, Arundel Close, Kings Sutton, Banbury, West Northamptonshire OX17 3QZ",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-123130577-16272514?s=7ebd8d37aca644318fb14478cf25807a78a069faa1b230e161e0ddabbe797e25,52.02396,-1.27446,991e73d5-5f99-49ca-80e2-5e598f984459,0
1,"33, Farthinghoe Road, Charlton, Banbury, West Northamptonshire OX17 3DE",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-122303243-16272469?s=8cd7caea90c142440b30e4fd635fc753c31bb93c56463f5f5916bdf780bd20e7,52.02323,-1.23002,85096564-d246-4e50-975c-8e1cbc7c3b17,1
2,"34, The Moors Drive, Middleton Cheney, Banbury, West Northamptonshire OX17 2PN",Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-123747278-16272445?s=0e036bd0efa050ba7e168a4f26156d1cc0f40377c9835643ec82472d6a409f7d,52.07028,-1.27648,52789d57-839e-4d42-aae1-683a581d88fa,2
3,"Casa Pedra, The Paddocks, Mollington, Banbury, Oxfordshire OX17 1BW",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-122100581-16272421?s=718fbcb90f6c872ab7136c3f9720903a2ea4410c5a02cc12d668f5311a05b714,52.12283,-1.36152,1379b922-7a60-4e5a-ac1b-c9f947f7f8b7,3
4,"9, Butts Close, Aynho, Banbury, West Northamptonshire OX17 3AE",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-123221816-16578511?s=3bae5a9b2b75d3f6b543883de9f1aa6dca3b5da382b967820dd6c921f436ecc5,51.99596,-1.25263,96bdc146-400d-4855-9caf-3d3987bcee5c,4
5,"Ridgeway Lodge Apartment Block, Manor Road, Adderbury, Banbury, Oxfordshire OX17 3EL",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16272481?s=b77cf679f606e5b08ac67684b939070cb2fd91c0d15888c314cedb36c6e4c10d,52.01536,-1.32516,bca31769-4ef6-4077-9120-884a1490e45c,5
6,"23, Butts Close, Aynho, Banbury, West Northamptonshire OX17 3AE",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16272460?s=b16b9e059f274b4d4309d2d2f388ba1df482481374968f0483ef52dc1f263eba,51.99596,-1.25263,d0d2e306-41af-4ae5-a930-aed7e2e71c43,6
7,"Rungall, Berry Hill Road, Adderbury, Banbury, Oxfordshire OX17 3HF",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-120631511-15961129?s=945276fbe8d5904608c35dfac78b077d1c6ebddfbf5d00bfb3319b1e5b4c135a,52.01066,-1.32043,5c76d85d-7236-411d-b2df-bdd852962ec8,7
8,"7, Oxford Road, Adderbury, Banbury, Oxfordshire OX17 3NF",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124228328-15961132?s=f469c412a1111fd008996f0107e7744f866a0cebf4a3aed6626885a6bb2809bc,52.01599,-1.30956,9e976c66-233c-4c38-9564-b8e2e0fea613,8
9,"37, Blenheim Rise, Kings Sutton, Banbury, West Northamptonshire OX17 3QY",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123352301-16578532?s=6b64674527f74f5bbfd170557e2008fdbbc8d7d94cf13bdccba31ffb3777957e,52.02558,-1.274,5fc344a5-52b8-49d7-bfb5-0e0474feee03,9
10,"1, Orchard Way, Kings Sutton, Banbury, West Northamptonshire OX17 3PY",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120979487-16272505?s=c6c23af545624b02f2e8b86a8ce9b6665e8ebef034cede314c06592fe1c67450,52.02366,-1.26805,392338f0-0df7-4f05-a1bc-a3f15d660409,10
11,"63, St Marys Road, Adderbury, Banbury, Oxfordshire OX17 3HA",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120520700-16272499?s=bcb48deeca7889a672fae801ff1fd7bd4a51efa03172de78e5146c7dd8a04b57,52.00915,-1.32263,13369fb0-c3fd-4c99-b4bb-83176b786036,11
12,"2, Culworth House, Queens Street, Culworth, Banbury, West Northamptonshire OX17 2AT",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-15961078?s=0f523d0a65373d4b9b7fe3a087eee0825cd16971e9112c48dbe9462d3d552b48,52.11729,-1.20431,a09ff1cd-f5ea-4024-9c37-bd50c57875df,12
13,"The Old Vicarage, Magpie Road, Sulgrave, Banbury, West Northamptonshire OX17 2RU",Detached,6.0,https://www.rightmove.co.uk/house-prices/details/england-121326392-15961099?s=0cf38db1ff73f0055701038931f77c2e233096c96a09650894f87044765b9cfe,52.1038,-1.19141,c09981db-39e7-47e3-b52a-d69bdf3c3a69,13
14,"4, Spinners Cottages, Magpie Road, Sulgrave, Banbury, West Northamptonshire OX17 2RT",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16578502?s=f8abbf908c51a3d939f387de76ff5213c5eef31a696d9e44ff2d57a45e14387d,52.10415,-1.18965,df602e60-a717-44c3-a9a2-63a76e71c75a,14
15,"21, Lake Walk, Adderbury, Banbury, Oxfordshire OX17 3PF",Semi-Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-121431407-15961135?s=bddfd0aae6b98044d841a1c58b641200f14639d283df5d00131edb443db2b594,52.01778,-1.30691,0434fc70-ec58-4bb4-8a3b-32682ac84907,15
16,"19, Horton Drive, Middleton Cheney, Banbury, West Northamptonshire OX17 2LP",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-29552900-15961087?s=35edc843b3d1a8c6001f2545474429d565410c9fd1eecb396738553593473d1c,52.0704,-1.26714,315ac3f5-c3fa-439c-841d-db987417529c,16
17,"9, Washle Drive, Middleton Cheney, Banbury, West Northamptonshire OX17 2PX",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-65915152-15961093?s=26b4ebb901578d16e45a6e6b9db281f85dbd64181e5edbfcd67ad34aecffb5bf,52.06884,-1.26221,862ee9a6-10f0-41db-9458-eb979e9abe4b,17
18,"97, Bull Baulk, Middleton Cheney, Banbury, West Northamptonshire OX17 2SP",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-120655916-17479786?s=76fb88ddc9873e1ea9aad299985fc12da52ffd8f3c392c05a6e7fd4d5d5f0c95,52.07391,-1.26767,078759a1-3dca-4b7a-92bf-a108b0cb5655,18
19,"5, Wales Street, Kings Sutton, Banbury, West Northamptonshire OX17 3RR",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119855816-17144764?s=b4a1c11fc170d090092f170a0f1ad3a9a539303e84fbb06b0a4aac1997b28fd5,52.02246,-1.27915,4896d333-1a1e-4452-a9b6-333e558883ac,19
20,"Lark Rise, Manor Road, Sulgrave, Banbury, West Northamptonshire OX17 2SA",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-96600832-15961102?s=c546a6f158f87fd58868eb43dbb46df03d0f6e66ad8ad2d80c375171c7b6adbd,52.10547,-1.18612,b4f9b2f2-47f9-49e9-a1a5-7ce258e01c95,20
21,"5, Peveril Road, Greatworth, Banbury, West Northamptonshire OX17 2DN",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-113402537-15961084?s=75acb7d30da7dca2d91d32658f724b13ea12cd49701db3424a2221ca6eda1b98,52.08055,-1.19606,4853846e-3fef-4e77-b953-10dc736cbcd3,21
22,"Finch House, Spring Lane, Little Bourton, Banbury, Oxfordshire OX17 1RB",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85784853-15650263?s=85a5f2c707abbe39425bd29a009730042e6e56a782db7033c301ba9c7ba1c000,52.09435,-1.33288,9bdd0d88-717b-4ef3-be6e-ef29714e9afc,22
23,"11, Norris Close, Adderbury, Banbury, Oxfordshire OX17 3HD",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-111193991-15961126?s=ca0c62613f0eb134936db022a952727612dcff95c1f6eb086cab8b8d991d0f26,52.00996,-1.32379,b065cafe-0284-4b77-ad41-cfb40cd7142f,23
24,"15, Creampot Close, Cropredy, Banbury, Oxfordshire OX17 1NX",Detached,,https://www.rightmove.co.uk/house-prices/details/england-15961069?s=806e9a015c57772e04d74635e4d042cf1fd2224139cdf0a799ec46e7ac81f1ac,52.11735,-1.31486,a98737f9-d8da-4d3c-8481-ea36094b9922,24
25,"Westhorpe Manor Farmhouse, Marston Road, Greatworth, Banbury, West Northamptonshire OX17 2EA",Semi-Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-120080546-17144698?s=e3dae277359079c76c93e0324bdc9eb721a11c1126698e940b95da4e5066ad84,52.07822,-1.19829,2db6bdf3-08a6-4d1c-99eb-38313252ddb0,25
26,"42, Wales Street, Kings Sutton, Banbury, West Northamptonshire OX17 3RR",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-117594878-15650305?s=ba590ffbd66ff96fb7c5027ea23c813677172b9b87a601c2c006b20fa0e94759,52.02246,-1.27915,2342b39b-adac-4ea5-9139-afb22c943310,26
27,"10, Myers Way, Charlton, Banbury, West Northamptonshire OX17 3DY",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-118960022-15650296?s=e0367e09147909bf790668532aac27edff4fa46124733f949efad4acb30a4814,52.02306,-1.2309,9302c59d-1df4-48f4-888b-81baa9ec7e07,27
28,"2, Greenhill House, Greenhill, Twyford, Banbury, Oxfordshire OX17 3FJ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-15650299?s=80115c83a4df576ebad76c3b59c64281d27563798b65c8df7a407ab931264591,52.02473,-1.31278,9e08cb44-6ad4-44f9-aeb1-64fa7c547977,28
