,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"3, Montagu Terrace, Barnwell, Peterborough, North Northamptonshire PE8 5PT",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-121347479-18107956?s=bd5fb60f4f8c45d2d93b605d51a2f3fe1d206d83d62736e5319b2d02f00062b0,52.44956,-0.4573,91ed7a9e-17f4-4300-990a-811830ee82ef,0
1,"58, Hillfield Road, Oundle, Peterborough, North Northamptonshire PE8 4QP",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16852429?s=b923cb9634717d2176397be1f0e0f68dde80eeba1c8e921ee0a3a6e81308532a,52.48865,-0.48318,e2ce689d-f8e9-4ce9-b320-ee4514c51cc5,1
2,"56, Barnwell, Peterborough, North Northamptonshire PE8 5PG",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16280008?s=9f319825f2a2eb6fec8cf2df926fee5ed4f8968adc9f20def53ff2dab67b02ad,52.45218,-0.45838,c131183e-fc95-47e1-8112-f33d6e724753,2
3,"65, Hillfield Road, Oundle, Peterborough, North Northamptonshire PE8 4QR",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16279984?s=e98e82778b00564dceb946917642a0de6907b14950f560de4cd6d4dc8d5072bf,52.48828,-0.4826,28413a6c-cc01-4795-af43-f4fd6c2e8138,3
4,"10, Red Kite Drive, Oundle, Peterborough, North Northamptonshire PE8 4FG",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16586080?s=f4c80fd9e38fecb2254bb727d028094e55d5a8ad72863b72f3ca89f27e49e1b2,52.47868,-0.4632,73d05dab-c0c4-4b67-9df5-4e5716c763cd,4
5,"34c, Glapthorn Road, Oundle, Peterborough, North Northamptonshire PE8 4JQ",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-46350187-16279960?s=80ed9c8d57cda1d22bb3c239c3f8094708ec16126adc5bb0bd5911a5bbb0e5f8,52.4878,-0.47334,7c59f405-a158-49a9-9484-3f1fa36f8d7f,5
6,"46, West Street, Kings Cliffe, Peterborough, North Northamptonshire PE8 6XA",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-124471370-16280050?s=561c9158a8de47a9f79c4c1bb7c6a3adfd22f6f79013ce69c7f2bd15345a11e9,52.56355,-0.51984,d653a39a-a82c-455e-ab7f-4a9e5ffa4b51,6
7,"8, Main Street, Woodnewton, Peterborough, North Northamptonshire PE8 5EB",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-121400348-16279993?s=0a807650425061e629f9050a074bbffb943b04634ab06e50fba1baf96b298abc,52.53755,-0.47604,d188c08d-e5fe-4455-8590-2dd65101828a,7
8,"Arn House, Wood Lane, Oundle, Peterborough, North Northamptonshire PE8 5TP",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-125438291-16280014?s=9ffb590195b72663c2e92baa6650e83ce38aab82231c976be4c8b43a538717b4,52.47907,-0.48675,5c04d632-0e9e-4a12-9f2b-5b9f5124d2d3,8
9,"45, Embry Road, Wittering, Peterborough, City Of Peterborough PE8 6BA",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-119429315-18107965?s=15c8df00bf7048b9f84175fa22f2d1ef3002f7e37541e0b55e189c81fd915ed3,52.60604,-0.43955,99d11b2b-2d70-4caa-9269-ba4c91e3d345,9
