,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"Camus Bhan, Glencoe, Ballachulish, Argyll PH49 4HP",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20165377?s=10b7e1998c875bc8bd14ebf4f5c10e5f2945b2d2e0e9dafe285b069f0e29322b,56.68306,-5.10577,d4744cda-eda1-426a-9360-b789c33a785f,0
1,"5, Croft Road, Ballachulish, Argyll PH49 4JW",Unknown,2.0,https://www.rightmove.co.uk/house-prices/details/scotland-46417233-20165383?s=8b449773e2b50727233722f321d56e88f3844871325c7a7c80171de23776e521,56.67569,-5.13799,79d255c8-f3d0-410b-a407-7f593748854d,1
2,"Braehead Cottage, Tigh A' Phuirt, Ballachulish, Arg PH49 4HN",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-476367?s=5cea6aaabca18c54bebe65f2f35a711011153fee50bcfaa3c2f61e7aa3a038ff,56.68015,-5.11435,50c3db44-56fa-470d-a3f6-be6b922d0224,2
3,"8, Glenachulish, Ballachulish, Argyll PH49 4JZ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20135275?s=8888a87b3d62d012a12ea8a0a93dcad5d846dfdd3b8aa6e0712b4cab7c26c985,56.68232,-5.19178,c2a732db-331c-406e-8ceb-e6d7aed7eb51,3
4,"23, Park Road, Ballachulish, Arg PH49 4JS",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-426321?s=15d85dbd7667c36a8a04adb8a23c3ccd206dd57fa4946d79ffec52d37c1f87df,56.67632,-5.13412,f611e291-001c-40df-a55a-ecf6fd296eaa,4
5,"The Old Manse, West Laroch, Ballachulish, Argyll PH49 4JQ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20109520?s=53cf4153954d5b32c68b27e7152a0a0531cf33b2b7a223687a2a0711b571a24c,56.67377,-5.13538,df299ffe-7318-4419-a8dc-2a46baa5530d,5
6,"Dunrie Guest House, Glencoe, Ballachulish, Argyll PH49 4HS",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20109508?s=b6002abd59cfcc72d2b138a38e98ff2e4bf812934b8185d9c52e98568dd5efd9,56.68263,-5.10117,016ace33-7259-444b-a4f2-f82ece93d14d,6
7,"Mheall Mhor, Brecklet, Ballachulish, Argyll PH49 4JG",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20109514?s=5171d772ec5ad5d6e9914118a7fcca1487d3891ec38246e4e42621e6e38724c8,56.67295,-5.13253,7bc0d7d5-b899-4abf-a431-e6d45ad08fcb,7
8,"River Cottage, Upper Carnoch, Ballachulish, Argyll PH49 4HU",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-20109511?s=07dd6b8fd6e43631bccaaf613dea48fbacad2a74684b370c7a98e5bef9790f23,56.68208,-5.09459,b77a694e-5b26-4ae0-8730-39eb1fb2118d,8
9,"5, Leven Terrace, Ballachulish, Argyll PH49 4JN",Unknown,4.0,https://www.rightmove.co.uk/house-prices/details/scotland-42378117-20109517?s=58dae13d901a2f0307303bc02c69b636011fc7e22aaf9b32d9de0afdb16b7cea,56.6755,-5.1383,ee929cc9-0174-416f-907b-b959126f6ce1,9
10,"Bein Bhan, West Laroch, Ballachulish, Arg PH49 4JQ",Unknown,,https://www.rightmove.co.uk/house-prices/details/scotland-377124?s=39976cd66bf511bce881cf4e6b4758adc52a096c3e0361acc9aec5ce60a181a7,56.67377,-5.13538,f314bc5f-6403-4cb6-9d3a-9d1530399eea,10
