,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"18, Reeds Park, Lostwithiel, Cornwall PL22 0HF",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-74550147-13473859?s=aaf56a0aa3fd58451b833fa75d3a30bc9f67621dbfaedd4362c23413e2a6ed36,50.40778,-4.66164,ed7bed50-f196-4706-b9ca-ea013d2178ab,0
1,"60, Pendour Park, Lostwithiel, Cornwall PL22 0PQ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-100944566-13226887?s=0b55e5f4aa57b93bc79c9f9dda92e6f20966d90c30eefc69fb98daf1e16f50c4,50.40816,-4.66067,459e455f-d87d-4ec5-bd46-110a4eab0608,1
2,"52, Pendour Park, Lostwithiel, Cornwall PL22 0PQ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-77429401-13226884?s=25e78de47be985ee26dff154119cfcd95f190253e3dde0e2fcb13a47d518d51a,50.40816,-4.66067,1b8c3d9e-152d-4142-95e9-016993c0e27d,2
3,"21, Coffee Lake Meadow, Lostwithiel, Cornwall PL22 0LT",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-99825143-13226881?s=d22a9cbeab28aa7804011428f1ac1cf5fd8891366034ebfa8ac6663ba2f6fe14,50.40542,-4.66263,fe42d428-082d-4a45-b609-86d7d6a4b40b,3
4,"40, Pendour Park, Lostwithiel, Cornwall PL22 0PQ",Semi-Detached,1.0,https://www.rightmove.co.uk/house-prices/details/england-96577532-13722553?s=6e5104bbf49f4cdde53f0591cd60ab051b3d997e2ca637710359395fbaa3f772,50.40816,-4.66067,94a8c811-6074-4b90-a1c4-90c09192df64,4
5,"1, Kolar Meadow, Lostwithiel, Cornwall PL22 0GZ",Detached,,https://www.rightmove.co.uk/house-prices/details/england-13473856?s=70d62576fe1c34e9cc69c1940d025294373c2f61f8e30eaaa0b2921623e61cd3,50.40953,-4.66371,95394dc3-7dfc-4603-9b94-ea1d2d8e7cc5,5
6,"15, King Street, Lostwithiel, Cornwall PL22 0AQ",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-95753411-12994114?s=61d2134da09208163a19b43a4f1fdd4066e88265f34c98d2b5c97356f8338a76,50.40865,-4.67083,583301a1-b7ca-4711-bf43-12816f05ecf1,6
7,"3, Fore Street, Lerryn, Lostwithiel, Cornwall PL22 0PT",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-83898596-17489980?s=9b12824a157d7806721c761c813836c6971e830139fa749fd7ee11dd2b6a0730,50.38287,-4.6179,a1c85380-5d90-4fd4-b55b-99cab4137c83,7
8,"50, Brunel Quays, Lostwithiel, Cornwall PL22 0JB",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-79758231-13473865?s=345d111775d80da31f8dad7a67cb643a5839503c24419eefca2189fa9282f6b3,50.4062,-4.6676,260ed684-32c4-4b93-bde8-1ba5e2968aca,8
9,"33, North Street, Lostwithiel, Cornwall PL22 0EF",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-86893831-12994120?s=dfda371c6a2ddf0f266d5fe8050a87e7b8513304a0f69d5e7bf66c7bbd1f800d,50.40779,-4.66882,23e0c29e-d73e-4b1e-bda3-21fbe4d170bd,9
10,"Rivergwel, Rose Hill, Lostwithiel, Cornwall PL22 0DQ",Detached,,https://www.rightmove.co.uk/house-prices/details/england-12994117?s=636afffa7cd9839e6a6ab18b666d8712b063cc309515f9a1dc8ec8d8269a97e7,50.4034,-4.67195,51fcda9e-6b05-49b6-8468-92879707f066,10
11,"4, The Old Carriage Works, Brunel Quays, Lostwithiel, Cornwall PL22 0EN",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16281475?s=60d4fa0afc2d5bacb7a604d34ef3718dcc705df79e6fe10bcaf6733bab2962ca,50.40601,-4.66801,6591a560-1562-4995-884b-9e87d6e8a743,11
12,"18, The Yard, Lostwithiel, Cornwall PL22 0FD",Flat,,https://www.rightmove.co.uk/house-prices/details/england-18109453?s=627f0e38739318c843fd5ad7e5f128b6e1aa66015d32e91853f765560614d099,50.40879,-4.66451,3b39383c-e0a0-43fe-a868-08c5be363c0a,12
13,"Broadwood House, The Moors, Lostwithiel, Cornwall PL22 0BX",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-67829694-12729388?s=2f57d28d87b8767cb352eb092824959b7cc39b91f03926ad03a2c6114ade682b,50.40471,-4.66977,29adc913-1217-4ffd-8f21-2da59559088b,13
14,"8, Cott Road, Lostwithiel, Cornwall PL22 0ET",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-68830017-14742541?s=61ff3b014fdc378ba626144ea656204d4c89d00fd8c752f0b0a043daa2f1645a,50.40783,-4.66347,b666ea86-8d1b-471a-acf2-df9bdc643a63,14
15,"2, Grenville Road, Lostwithiel, Cornwall PL22 0EP",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-74049486-12729397?s=1176cc946d27b1a8717cd288208537e2bd792aad00aa615469d9d74013207188,50.40727,-4.66414,73e1e321-8a93-4db6-840c-0b5b47323294,15
16,"4, Cardinham Close, Lostwithiel, Cornwall PL22 0GA",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17489971?s=10f555edd1909ab4b744676152ee2056f06792ab2a34c03188c62c0652af107e,50.40311,-4.67278,d22c10a5-3e99-4ec4-85b0-7e66167b9cb0,16
17,"8, The Brambles, Lostwithiel, Cornwall PL22 0JU",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-71566743-12153775?s=a84112e0a1924e94f34dfdae707344d10b4bc099ad59ffdae5cd96c952f1110d,50.40943,-4.67566,61074ae6-c98e-430b-a516-0b1103617aa0,17
18,"14, The Yard, Lostwithiel, Cornwall PL22 0FD",Flat,,https://www.rightmove.co.uk/house-prices/details/england-14742544?s=97405cca6fa9817afeb0bd39c11d2a083f0b40337850f4b99b5fdb80a9fec455,50.40879,-4.66451,3235961b-f5e6-43d1-abbc-3fdcdeb0876a,18
19,"36, Brunel Quays, Lostwithiel, Cornwall PL22 0JB",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-95353388-12994126?s=0cc914f667c6c73571de8ec5f099803d94bed849d45048212a7bb4a40640065f,50.4062,-4.6676,fe3519ec-c0b1-42ce-a206-e684d8e41dcd,19
