,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"9, Brecon Avenue, Portsmouth PO6 2AN",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-70876643-16857925?s=636819ff5df4405f6a4954812eb2c5cc37a6037902e9a2c637131734fc4fa8e5,50.84959,-1.05304,b0201541-1c32-4829-897d-09f4e6256e4d,0
1,"13, Kingsland Close, Portsmouth PO6 4AL",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-85942413-16857976?s=f6586182e7f4ba8203588f9c3bec7929053438872101a417714ed154de9fee9e,50.85068,-1.08839,64df9f4a-9afa-4d03-9ca0-817a14ee77a7,1
2,"Flat 4, Marshfield House, Grove Road, Drayton, Portsmouth PO6 1QA",Flat,3.0,https://www.rightmove.co.uk/house-prices/details/england-123592967-17160364?s=5f9d4cd1578be57325625b3db56e43fd0bd681add7663651db4d2d08b81a0665,50.84176,-1.0417,77a6ef11-3726-484d-a76e-5c7480e8e7eb,2
3,"5, Down End Road, Drayton, Portsmouth PO6 1HT",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17496355?s=a16e2558d88bcc94a72c953276089f2a21a494c79eb6d816fb4f65a91900a051,50.85132,-1.04463,fc767315-06cc-4138-80d2-81d3c6578730,3
4,"61, Evelegh Road, Farlington, Portsmouth PO6 1DJ",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-125372177-17160271?s=cea25acc5af9e4d9f1331de0f89bd7556dcf05bda0dd236839506d9d54f9abab,50.84853,-1.03332,cd1d4230-87f2-4067-9b2b-659f037f7c29,4
5,"59, Tudor Crescent, Portsmouth PO6 2SR",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16857961?s=4635973ab319f00e3ea93234054ef38100889f602c3fa34196fb8fea5eec9749,50.837,-1.06494,58bc0210-47b8-4dca-966a-7df6830903e4,5
6,"21, Dovercourt Road, Portsmouth PO6 2RZ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-43118206-16857958?s=3c15bd4f361655bb01adf43b806e5131c00aecd7cd8391fb7511a7d09a4125f1,50.83759,-1.05982,b45db07b-47a0-4b2f-adf6-02add8a5f95b,6
7,"50, Magdala Road, Cosham, Portsmouth PO6 2QG",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-124435889-16857952?s=4afca1963469419a3bce4e6ee8960545b365659c89c6dffc6974e987a3c872bc,50.84393,-1.06523,c6df14b6-9542-435d-be8e-7c6ae898641c,7
8,"3, Peterborough Road, Portsmouth PO6 3LB",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-41251304-17160454?s=43af0a396ab25751a657b6c1fcac0b1abe19a6b67b288a1ad65f11da9ca84146,50.8512,-1.07432,18c657d9-4f1c-4894-8d6a-ef3808b02815,8
9,"220, Hawthorn Crescent, Cosham, Portsmouth PO6 2TS",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-127542809-17160436?s=bb40d27dcdbc626c3f4060ceeac6597db187ff7d3d3d60647146c04db37b7219,50.83919,-1.05751,b70e328d-1340-4de5-aee2-761bb47f3f80,9
10,"42, Medina Road, Cosham, Portsmouth PO6 3HB",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-125615771-17160448?s=f52abfd82d4ba0439d2b4c0e40bc46d61d6b609a07d86289b59c4ad9bd52e831,50.84532,-1.07017,a1843200-b1cd-4dad-90d5-cae7e7d689de,10
11,"114, Lower Drayton Lane, Drayton, Portsmouth PO6 2HE",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-38153327-17813581?s=ffd788dd2221a7b911157c55267c05060411987ef794068720d5a2012588696d,50.8402,-1.04911,52c378a9-e576-4c99-9fc8-63d935b705b3,11
12,"13, Mulberry Avenue, Portsmouth PO6 2QX",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-105942626-16857955?s=8606818f79e010240cda57f41ec0d28e3d6cfe6dc121e2f71a17424a9f95bbe0,50.84514,-1.05924,53c4038b-adf5-4c00-b5ea-7b085931d555,12
13,"Flat 35, Nightingale Court, 156 - 160, Havant Road, Drayton, Portsmouth PO6 2JA",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17160394?s=080f20a6a70e3f4348bf98f08988ebc7b581f36b4a907cd26c049d8dba8f00cd,50.84591,-1.05383,dd73b3f1-7a8f-4c9c-a634-9effaa15310e,13
