,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"7, Oregano Close, Melksham, Wiltshire SN12 6WW",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17853505?s=1477a933624c656ec8061b5f2ff1a9a127ba4c68aa7187bf534baddded857f94,51.36691,-2.11932,5e2356d9-0aab-40b1-9583-cf057ff2ad98,0
1,"64, Maitland Place, Bowerhill, Melksham, Wiltshire SN12 6XG",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17202529?s=0e6ce09365d79081f3710000223fcf600cf6f6eed2fba449ee4eab1380812263,51.36222,-2.12922,28010450-8c38-4317-90b4-1737c2c2d4a2,1
2,"89, Daisy Close, Melksham, Wiltshire SN12 6FZ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124640912-17202490?s=cbbd06e90dd4eb888ab76e33c580bdd31bfff453f487ec33281cc55394c85939,51.36986,-2.12737,91834b17-4c0d-47d6-93ee-d4751e1f6db3,2
3,"9, Park Road, Bowerhill, Melksham, Wiltshire SN12 6WG",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-85803549-16888882?s=03c164d985451d4a81c72328bb0545251ece97b31d28d3113e1ed7610ae63e4b,51.35495,-2.11771,7df509ca-4ce9-4507-a5ec-abf4af605db1,3
4,"31, Halifax Road, Bowerhill, Melksham, Wiltshire SN12 6TU",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-41783281-16888876?s=39043142ce8493b6a30e9b38b3328d76f4e9cb31ed4672b0099f2273ebf9e0c7,51.35494,-2.1269,5a5789c7-c290-41db-b17b-f6482273100e,4
5,"16, Sweetbriar Road, Melksham, Wiltshire SN12 6FR",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85581318-17202487?s=837fe1b572e93b729bfb8b35db7f774d05373832372a8807fbe98c167475ab23,51.36852,-2.12708,c4537c35-2f10-43e6-8dbc-0cc63cda7954,5
6,"54, Beanacre Road, Melksham, Wiltshire SN12 8AL",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-118742309-17853610?s=b11b4a12793443f803299a7506ab02864b1a197573222fe755b3bcb09f4993e6,51.38172,-2.14264,99830b6b-01d4-4784-b29f-c38105a76ab3,6
7,"58, Portman Road, Melksham, Wiltshire SN12 8AW",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-28003232-17202622?s=e503c2d5adef546eecc235522ec2b771e4a3e2ff05832c1668cef040a3d2cfa7,51.38145,-2.14019,d365023b-a2c2-484b-a693-a61cdd69c0cb,7
8,"40, Rosemary Way, Melksham, Wiltshire SN12 7FS",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-51925200-18152641?s=fb29fcb0ab13c3def2642fc5d34cb2fb1e22ad5e1469a890f30342761feadb5b,51.37068,-2.1222,0db23732-fe08-496d-b6c7-7e5c5be75f32,8
9,"11, Kenilworth Gardens, Melksham, Wiltshire SN12 6AE",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-125089925-17202463?s=dc4a89749f014f9ba5477d30ef0faf2884298c0d98f97f7cfc2243317ed8e112,51.36851,-2.1357,4c04d009-075b-4703-b366-b2a97e274001,9
10,"35, Newleaze Park, Broughton Gifford, Melksham, Wiltshire SN12 8PL",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-125267273-17202652?s=82e7db4cb0ec477a836ca8eaecddd143bb76e319d49061f9c9e7787a80304204,51.37322,-2.17508,b9c30344-f05f-4a2d-95a7-a9e88c6a24fa,10
11,"3, Woodstock Gardens, Melksham, Wiltshire SN12 6AN",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123918158-16888828?s=1a18a0712d8c0990694b96029593f6a0e60316ce6cec92bc0f8c44c7284db956,51.36725,-2.1357,4a20a644-e6cd-4b4b-8b30-4da7ff86d748,11
