,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"41, Canton Street, Southampton SO15 2DL",Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-119812946-17542399?s=28b38139fbd0b83bc1c4781d6dd8fd6111b4910dc5dc29c160034378514c4cb0,50.91299,-1.40836,c37ab1e0-f4c6-45aa-b3cd-b076cc70f96d,0
1,"12b, Brighton Road, Southampton SO15 2JL",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-127676711-17542420?s=8fbf4c002439bd0b7a9a970a69b83af20301fdc9f0b8d00ce82c0e4d12b2c0cd,50.91729,-1.40532,610e1b3a-8dd9-44ab-a426-959cef82e40f,1
2,"Flat 6, Queens Court, Hill Lane, Southampton SO15 5RR",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-123915869-17542588?s=56dbefab84dd45022f5623a42fcfe7fd3bce683422ceefc0b04355a6cd775c1c,50.90996,-1.4148,e19b5ac3-5ab6-4c6f-b4a7-5c55bbf1a4b8,2
3,"Flat 2, Henstead Court, 37, Devonshire Road, Polygon, Southampton SO15 2GJ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17542408?s=b5b8a211aa77b3f2d3c4910dca3fd04ec5446b8976f3e840179901972b154662,50.91191,-1.4088,22ccfcd4-8f7d-4308-b66e-5b56097e8113,3
4,"15, Ted Bates Court, The Dell, Southampton SO15 2PF",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17856007?s=20b8810c6de5e47266f898b1161281fe16c9ff7b7c3b5c4d221e63a846c2fc94,50.91418,-1.41347,ea997d24-0905-4c47-a3d3-3bbaa6a0538e,4
5,"103, Rollesbrook Gardens, Southampton SO15 5WD",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-85311165-17542597?s=3f196aceb41cdf7b7007b8f6c49bca7026d6ac3c9ba9ceb94dd735b298cf6bef,50.91158,-1.41492,a868bf92-688d-4792-b425-97260d71c06e,5
6,"126, Regents Park Road, Southampton SO15 8PD",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120900959-17856151?s=e3802bc0e2f20fc54a8d7e97cf6278a9b7d6f762692585bdf9cc2f162eaae7ef,50.91755,-1.43989,9c8f1cd4-b257-4c5c-a156-12b6f7563522,6
7,"Flat 2, Wessex Gate, 66, Northlands Road, Southampton SO15 2NU",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17542432?s=9ccfad47b5c1599b5b81c77a3bcc5e2f3230be825e32e656b51f1fb00c5f0698,50.9176,-1.413,30d51f4f-36b0-4786-85d1-624d5ed4a7eb,7
8,"Flat 5, Minster Court, 125, Paynes Road, Freemantle, Southampton SO15 3SR",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17856088?s=0b65c86c2fda3d31d36bcaacb407c1c9eb6578e34af93442dd94b8cbc5872a07,50.91174,-1.42886,2020d935-260e-40b6-8e8c-a02ede77a00d,8
9,"1, Moore Close, Southampton SO15 2RS",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17542447?s=b3c371f5ca4e4724b338b48a515f548e8e18ea29a67b290286b148647d1ea0e0,50.91963,-1.40629,3d97cad3-5827-45d5-a574-2d5c8b197ad0,9
10,"3, Railway Cottages, Old Redbridge Road, Southampton SO15 0NU",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17542384?s=7154bb25c42a744fcb337340d89fb95f8c97ef22c5d6e7fa573ce68188089a65,50.92102,-1.47114,66fe6e80-b7a4-4d7e-acc5-69c1eae1b05f,10
11,"15, Wilton Crescent, Southampton SO15 7QN",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124466129-17542603?s=fbd47a523eb1fb12a621daf5c3cfd85a90a722046be3c86fcc6d334195a65def,50.92411,-1.41975,e3473d66-a53f-40f2-ba99-5c4b80fca755,11
12,"98, Waterloo Road, Southampton SO15 3BE",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-18347408-17542474?s=cdf1c03bc760fb09627030cd3a3374786bd63f408f070bfcbdcc59ab86f30734,50.91073,-1.42503,bf12ac12-2318-43f1-90d4-7ea732643242,12
13,"32 Riversfield Court, Selby Place, Southampton SO15 3NS",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17856073?s=b8b95e2ac29944d74110bee01e02c7f0c4d480d63604f3990c644d734d6c1850,50.91903,-1.42991,dfbd55ae-e577-4c50-be7d-4f2b81f916fb,13
14,"Flat 64, Empire View, 30, West Park Road, Southampton SO15 1AQ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-18155140?s=a13b23a32fbd86e267413f5536f4ab088bc426d769d4ebc2db3c0147dc49c908,50.90796,-1.41028,a4fe4597-18c5-4a07-8e18-eafc247a2ee1,14
15,"Flat 14, Henstead Court, 37, Devonshire Road, Polygon, Southampton SO15 2GJ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-18155170?s=8e6010cf027f88b61d8823de6da6f62f289059421c677e5d1bf9ee5e91a61dab,50.91191,-1.4088,dc3aad4b-d3f1-4a9e-ac74-512b300d61fa,15
16,"5, Arlott Court, Southampton SO15 2RZ",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-25034999-17542453?s=2f1c67313c8f8d9cc032a2ce3e07bd629f5f4ffb34992d4d1ee765ef12bb6270,50.91922,-1.41269,db57a2fa-837f-435f-97c4-802cc7ba3fbc,16
17,"Flat 5, Firtree Lodge, 3, Court Road, Southampton SO15 2JR",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17542423?s=0221f4edf049b07e309636de32a325afb8d76f4e99c9fc3d5554de3bf27d296b,50.91811,-1.4073,15b1b126-a836-49f4-aa25-4286558788a5,17
18,"33, Arlott Court, Southampton SO15 2RZ",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123310559-17856022?s=7fee1c9e12a7daddf7863b3c84f19e4cb48f82274bb9defd11f401c0665612eb,50.91922,-1.41269,da76df71-01b0-4061-85d4-11111274b7e5,18
19,"9, Ranelagh Gardens, Southampton SO15 2TH",Semi-Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-125866151-17542462?s=9dbd9119591a7f54fa24c3efb2b4c8ad60d91b95d6e58f8f1130ff5b0b0bd4b8,50.91615,-1.41174,0b798eab-520a-4ce0-ae73-f1522409a09e,19
20,"66, Cromwell Road, Southampton SO15 2JF",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-126970232-17542417?s=ef5cd6224819eba42f8ed09432d5bc716c52afb55a059bf5795fa0f5b6b5eaaa,50.91524,-1.40833,2e1a73c8-6383-458f-a31a-7737bb0ea0ab,20
21,"26, Arlott Court, Southampton SO15 2RZ",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-121919060-17542450?s=246861b7e392c33545391ba4f0c682ba563a32a991f6a3568d2e55e25f4308fc,50.91922,-1.41269,0ebe73ea-d639-44de-b8f9-71896dfaffca,21
22,"Flat 15, 148, Hill Lane, Southampton SO15 5TX",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17856136?s=5b1d233682beb2accbc8685b8aee3f679dee1e73b9a0e244043eb2b2911fb088,50.91626,-1.41572,d332da6f-3c49-4e19-aaeb-34dc90fb41e3,22
