,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"27, Queen Elizabeth Drive, Corringham, Stanford-le-hope, Thurrock SS17 7TH",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-123964325-16897006?s=bb47f12e08343d77e23a9594819210e30fd39e487ce1a6a6c2ee23002850b294,51.52983,0.44625,8242be3d-87ad-45d0-90b6-3b24285be23f,0
1,"34, Giffords Cross Avenue, Corringham, Stanford-le-hope, Thurrock SS17 7NQ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-127109498-17863336?s=03b90ce86083e6c2465edf1ba0fc157b2443532224c2a0fb03201049da441a21,51.5266,0.45487,cb82831f-da0a-44eb-9272-45d5520bc3a4,1
2,"152, Abbotts Drive, Stanford-le-hope, Thurrock SS17 7BW",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124672019-16896973?s=06576568bf77cf624b0789ef1484e919f5c23f0d55220357a2a9d0313ecc2ed6,51.52176,0.44106,4e9b84a3-6de2-4232-bf5f-e3fda78725b3,2
3,"2, Branksome Close, Stanford-le-hope, Thurrock SS17 8BA",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-78774002-17212483?s=60a922e41a2830ff096228edbe581ac65842394a156db4f68042e755fa56f8eb,51.52491,0.42768,23af21b5-f59b-42d5-96d3-048d0fbe228a,3
4,"51, Central Avenue, Corringham, Stanford-le-hope, Thurrock SS17 7NG",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-122903027-17212471?s=25319bff74566b7ed8f5eb60f49f7186c7e53da66fa6eb2b2f5a7d333a877e87,51.5265,0.45083,82d96835-609f-4024-9b38-410442c01bef,4
5,"14, Park Road, Stanford-le-hope, Thurrock SS17 0LR",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123596309-16896943?s=c68118d08a00829414466ec9b1a3fd8ebdd87b189e17857ed459d81a50839b13,51.51534,0.41679,ef14cacd-f831-4d9b-b6a6-f959fcf5b646,5
6,"2, St Andrews Way, Stanford-le-hope, Thurrock SS17 0FL",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16896835?s=3871323e5295aa2670a2ed371b71988af3bea6c6f4d9983b0f701633aaedd22d,51.50929,0.41777,77897ef3-9704-4297-88ad-4057dd97d24f,6
7,"31, Lulworth Close, Stanford-le-hope, Thurrock SS17 0NN",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-40494624-16896955?s=01a0595c29fc9033c9d79f352e12e19fd1bd926d8501b70fa2d086ce9e059a3f,51.51143,0.41889,4eaacf2a-e2e5-4fa1-979d-91aafa37c2ff,7
8,"34, Lower Crescent, Linford, Stanford-le-hope, Thurrock SS17 0QP",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-125050646-17550625?s=0a54bcad0dcf3a85bdb2613818b9442bca45e38d6b023005bb3a633b60002d5f,51.48839,0.40658,c1a1761c-0f5e-4844-ab00-000e68fc13a2,8
9,"38, Goldsmiths Avenue, Corringham, Stanford-le-hope, Thurrock SS17 7HU",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124955684-16896979?s=1f9d2c514a6eb53110b3be57b5254c507b8dbea4d20ec169bea2dbb6139b6e7e,51.52283,0.4502,489d9ca5-87f2-4bff-9aac-b4e8d01cb8d2,9
10,"69, Southend Road, Stanford-le-hope, Thurrock SS17 0PQ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-126032069-17212423?s=9ab4dde9f7f0995d2aaedc9146070a803a442ac9106db3723396d6edb670c8b7,51.51773,0.42715,48f459b1-974e-43be-885a-92ea41735db0,10
11,"193, Limeslade Close, Corringham, Stanford-le-hope, Thurrock SS17 7JY",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-125457596-16896985?s=ae495ec5e0b23f0865a71506064ab0c174fbe3c591d5a766dc152974d826d0b5,51.52887,0.44937,a3d9c6d5-3577-40c4-860e-888701654a74,11
12,"37, Central Avenue, Corringham, Stanford-le-hope, Thurrock SS17 7NG",Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-125032289-16896994?s=e65d4dd9baab5c14c5dc8e675d2d93b6c2396e428fa9e7892e7edf2af724a4c0,51.5265,0.45083,b76bff73-e51a-4a76-9b15-637aabd2d7dc,12
13,"76, Morley Hill, Stanford-le-hope, Thurrock SS17 8HY",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-125902469-17212507?s=b5283bb582a3ea21b69436e54bcf11a2244376845b42fa4146e05e93578781ea,51.53429,0.44389,cfd621c3-f4ef-4ac6-9376-54035e7a5010,13
14,"10, Byrd Way, Stanford-le-hope, Thurrock SS17 8QY",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-124768607-16897033?s=be9cf9ce83fb2a40f918ac0309a38af04260f3e7b220e37693650e878353930f,51.52273,0.42453,b6ca32d1-4f05-4582-b885-e98991f96eb6,14
15,"7, Brookfield Drive, Stanford-le-hope, Thurrock SS17 0GF",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16896874?s=077d49692c6830fefa70449b76d9dfd4e814356cb45d92f89d87c2a24b55aefd,51.51691,0.41903,418db232-dc8c-440a-9579-547d567d7606,15
16,"7, Webster Road, Stanford-le-hope, Thurrock SS17 0BD",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-125303855-17212399?s=4cb9f7b5009c2e2efd535ebe1751ed2238d5e2f1ddb97529a90522e7192095ee,51.5168,0.43733,f01a831c-264b-4814-8de7-5822199bfe62,16
17,"1, Willow Court, 45, King Street, Stanford-le-hope, Thurrock SS17 0HJ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16896937?s=66305106dfc79cf10b47eec6b9e1d4da0e82e490b1c1c70460e1b4cd8ee8c17f,51.51631,0.42635,eeae8a58-22f1-4e1f-9aef-bc8acedd7c8f,17
18,"78, Giffords Cross Road, Corringham, Stanford-le-hope, Thurrock SS17 7QQ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-124117841-17550667?s=526b206cca57f7da962a78f6d123fe05d70180e9573fb4ebe79c9451e846a86e,51.5241,0.45805,a20dac3a-6c7b-460c-8cb7-71cc6d90c3ba,18
19,"25, Markhams, Stanford-le-hope, Thurrock SS17 7EP",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-124271366-17212453?s=d8da0d7389c183cf1ee7e562d9734cbaad5994c83d61b86d8d4b6025dc95fbdb,51.52208,0.44295,11e22c84-4ce5-47aa-a7e0-9596de4759c3,19
20,"1, Giffords Cross Avenue, Corringham, Stanford-le-hope, Thurrock SS17 7NL",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124488437-17863333?s=b833d45a128e635fe7a8d2c3433ca8985b16571a6c287fbcd3b9c719be6d8da7,51.52752,0.45348,3ce0dc78-1281-4ceb-ab01-b055126c5426,20
21,"23, Victoria Road, Stanford-le-hope, Thurrock SS17 0JD",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-55541472-17863267?s=71e915deefa10841dd451ba4260a84836e8a5d0c10b79305fb306db62c71a1a8,51.51572,0.42416,ff8ed8be-603a-4c64-98e9-5422721c8a17,21
22,"60, Abbotts Drive, Stanford-le-hope, Thurrock SS17 7BS",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-85368765-17863306?s=14cf40175fe96489096b93a82523d43cd3a335e12b18e9ba2a4e097109a984ed,51.52053,0.43523,248d90ac-d71e-481f-9115-7b44f00fc730,22
