,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"103, Lonsdale Road, Barnes, London, Greater London SW13 9DA",Semi-Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-120755438-16342270?s=0f1fee6f20cb2ac954d5615bbf7e64e1e987dbb094cb2ad22d2e93faa2e2caca,51.4849,-0.24278,ec180a0c-07d1-40a7-8149-3d23618ab3f7,0
1,"Flat 1, Boddington House, 40, Trinity Church Road, London, Greater London SW13 8EB",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16647856?s=e812eebf3ae0b6a4030f4b08a083bf8b728bb97be03f0ca76d29207b6102a38a,51.48355,-0.23087,ed354e89-71c5-40ad-9c0a-7f2a1f88cd6b,1
2,"7, Glentham Road, London, Greater London SW13 9JB",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-123509741-16342279?s=9f7dd08d6231fbbe27c8b720e9e1daeb73bd277c77549a83c93de5e310e948cb,51.48674,-0.23392,fd32fb6d-d6da-4c36-9166-38dcf641c337,2
3,"31, Westfields Avenue, London, Greater London SW13 0AT",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-127240304-16901626?s=ed5eab505c3b1c23984933247e50064c163f5c0df7abc0990fd6f7396f319449,51.46887,-0.25318,4e745f6b-87be-4de2-b3ee-8d640231e91a,3
4,"Flat 7, Lavender House, 41, Lonsdale Road, Barnes, London, Greater London SW13 9JR",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16342285?s=33c1f707f83f455b695556e0ae4a94b075889a08ba12b5621d735927bf981f31,51.48576,-0.24015,8408b26c-9a81-414d-9dd3-6319908929d5,4
5,"6, Tudor Gardens, London, Greater London SW13 0JS",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-123459995-16647832?s=6420a10e6e6df133cec4a2198eacc7c1841e6c6204d1144b13a7d3c537cdcbb4,51.46652,-0.2527,71c7591f-99a5-4982-bd69-1e82607f1d1b,5
6,"24, Leconfield Avenue, London, Greater London SW13 0LD",Terraced,4.0,https://www.rightmove.co.uk/house-prices/details/england-119384111-16901641?s=ae956bf92c61fd01a9b2e5c554ee49e499a50ad54ca110f02ce02bcaa7af6d9d,51.4655,-0.25072,628beb86-f6a1-427a-a6c2-297b72e578b1,6
7,"20, Lonsdale Road, Barnes, London, Greater London SW13 9EB",Semi-Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-121774514-16901662?s=0d509836b030f81b55d024cede03f16e895ee951ae1416f928633c33fdf70ddc,51.48621,-0.23423,014634e3-2406-49f7-aa96-bb3124ee4d1b,7
8,"34, Rosslyn Avenue, London, Greater London SW13 0JX",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-112550945-17869090?s=618f98e298b539bd3f1d68094a9b5143c0ea29f996cf3f7d55f05e7e48e26d6a,51.46723,-0.2518,f6f6184b-dc9e-4158-a54b-6c1126869ed4,8
9,"58, Ullswater Road, London, Greater London SW13 9PN",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-119403962-16342294?s=2f18fe4e8170e8e0d82af0b71bf6d20f547586e2e5b18a05ec73e74f4afecb45,51.48073,-0.24063,3493ce22-9ca6-46f4-9e29-0cefdce319e0,9
