,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"116, Field Road, Feltham, Greater London TW14 0BJ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-15631509-16669888?s=59b200ea11324e545c1af3ac01ed49f6577d373256b9b9fca88e1345daac914f,51.4545,-0.40601,6817f4ad-0b20-43d3-8e22-0b88e8217e55,0
1,"31, The Vale, Feltham, Greater London TW14 0JZ",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-76929159-17580970?s=e68d307d9899bd6bc7bc800c30e164495803d35880bb49243f09f7f6cb06cada,51.45763,-0.40461,e25523e2-779f-4f73-b607-ca8791c6de1c,1
2,"211, Wooldridge Close, Feltham, Greater London TW14 8BJ",Flat,1.0,https://www.rightmove.co.uk/house-prices/details/england-119154692-16054180?s=fc6164e5ff099d9c929afac0653d1eaef9baadca8335080e4fb5cbea79c62c9f,51.44789,-0.44294,989c11fc-99a2-4c0b-b12c-0cbbfe5c0cbc,2
3,"7, Churchill Close, Feltham, Greater London TW14 9XF",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-122774615-16054246?s=42e7cbd7af7be7146e8bf8154d55fa52b19bef8df4d60154c859ab6040744155,51.4491,-0.41872,fd3d539c-4883-4c43-bc5a-c25457d8f4a6,3
4,"17, Park Way, Feltham, Greater London TW14 9DH",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-113896364-16054216?s=efcc88b8d6ae07ed4de9828d39414cbd0a35f803bafa9a6d4e0c294611783ece,51.45017,-0.40487,26a6d700-44a6-49a2-bd0c-5fd595050b65,4
5,"15, Horsham Road, Feltham, Greater London TW14 8LN",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-120180011-16054201?s=c241595358549aa9d81d8c8d530de99927c1a6a78a8e7ecb0fc0198964a20c87,51.45486,-0.43982,030536d0-ec18-468f-9a5d-6264242d7647,5
6,"53, Ruskin Avenue, Feltham, Greater London TW14 9HY",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-17242063?s=24bb8708db4acd7adb228782a49bc20b56e91724da6861cd55294060e69a8c44,51.45476,-0.41838,3f69054d-3bb8-425f-9729-e3474f49c782,6
7,"26, Byward Avenue, Feltham, Greater London TW14 0EY",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-119276189-16669900?s=5a8e24415ae4a7f0778edb71f332b9ab080156ea97e371b2b2aafda54a106401,51.45715,-0.40232,8ee61feb-2386-45fc-8564-449269e21caf,7
8,"Flat 4, 1, Jubilee Way, Feltham, Greater London TW14 9XR",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16054249?s=e6b85987e7b32300979ffc9740f440fc5de963d29221a9fc6304a49e494419ee,51.44694,-0.41865,ed8eae49-9ab6-4f98-82a6-5a52255fbe24,8
9,"54, Northumberland Crescent, Feltham, Greater London TW14 9SZ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-121440572-15738904?s=042b11cf63bdc7767ff7fb783fc39888fd76bdaf0653d34ce4e1550089a4f557,51.45545,-0.42944,754732e3-ec97-4d30-9fc2-264868d5ee80,9
10,"85, Beech Road, Feltham, Greater London TW14 8AJ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121158758-16363996?s=a0fd7ae64ac021c0baeca00802aa4b26b6bf8d80bd1da5dffe8fd16e7e9c51df,51.45086,-0.4296,202a42ae-32ab-4887-9eb5-451083a4f71c,10
11,"8, Cassiobury Avenue, Feltham, Greater London TW14 9JF",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-123141566-15738883?s=b8db4d8d9b42fea04292082d187e70e54a7a380deaf2e9eacd4e427a37071986,51.45381,-0.42115,0e60c8cc-30ba-4169-a7cf-a8ecd53f7002,11
12,"54, Marriott Close, Feltham, Greater London TW14 9PZ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-120419312-15738889?s=2723066d0adbd4f6e2f63acbaf54f7f52f87cdf08473f5808318820fc5c7b075,51.45747,-0.43311,372c573b-81df-4adc-887e-7e1b18895516,12
13,"185, Bedfont Close, Feltham, Greater London TW14 8LQ",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-121433771-16054204?s=72982cbc9ebfcb2ced234f30ba902c5362e485d692cf06d118fb57281dd398ba,51.45603,-0.43964,bae6edad-45ae-47be-ae00-22ef6064b24b,13
14,"32, Northumberland Crescent, Feltham, Greater London TW14 9SZ",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-120909740-15738901?s=a2d650d2856b55ee0cdfe43b97cd3e88aecfddf94a72df351a3a5cc757cdd522,51.45545,-0.42944,f3a069e0-ad58-4a62-af73-05d0e17a39d4,14
15,"19, New Road, Bedfont, Feltham, Greater London TW14 8HW",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-119992214-16054192?s=083bf5346eddd8571999e0ae1722b8693cebc8d5ad7df25c02cb4d5de65a695a,51.45404,-0.43179,1f14a726-ca2c-48b7-af99-a445a76daa21,15
16,"57, Peninsular Close, Feltham, Greater London TW14 9ST",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-120263177-16054237?s=8b724b4363b78e05ca5f3367f5748ae20ea96196070f55e0b82544976f25e3fc,51.45666,-0.43285,35bf74ea-2e80-4973-8afb-e777f84a7029,16
17,"37, Northumberland Crescent, Feltham, Greater London TW14 9SY",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-120652727-15738895?s=16409c3e7f6f01333648b01fa1eb13c31dcd86fd6b25263179bb2c158cbc795d,51.45508,-0.42931,6c2bdc93-bc2e-4df1-8f96-d3a48dde3c98,17
18,"70, Harlington Road West, Feltham, Greater London TW14 0JJ",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-67875863-17580967?s=2bad2bbb5aaf133246686c347287f9ef754745a38b7d51547ea35fae2899f2f2,51.45634,-0.40897,9db4a4ee-f4db-4531-86da-da36092f595d,18
19,"32b, Harrow Road, Feltham, Surrey TW14 8RT",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-119087147-16054210?s=64062b1312a43bc87cdcdfea9dcec61f8248c7c4bd35b0744871fd2dfca97c47,51.44522,-0.45828,9358d075-d43a-4d33-9b70-b2121c8bab3e,19
20,"43, Horsham Road, Feltham, Greater London TW14 8LN",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-120367037-15738847?s=c8ed6ab097e26e1e619c68dd440219ee8dd6abfe7880cfab51d0f9918828538c,51.45486,-0.43982,3cfab91c-8ec7-4b67-8100-9c6626fce097,20
21,"5, Baber Drive, Feltham, Greater London TW14 0EX",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-116215421-15738808?s=a63f2238b878e0c7debe7c1f399064c994879bc06b6081547ea88bec2c4fec35,51.45661,-0.40219,4c209f97-f3d9-47d3-9269-6461e692c58c,21
22,"426b, Staines Road, Feltham, Greater London TW14 8BS",Flat,3.0,https://www.rightmove.co.uk/house-prices/details/england-85803153-15738820?s=33dbbe86de9d17358b71c2beb19202a9f3acd23bd2f45346a0cfd79c4c7d3fb4,51.45314,-0.43153,ac58b70a-eca1-4cfd-a71b-2cac3b8452e9,22
23,"1, Target Close, Feltham, Greater London TW14 9TF",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-118717949-16364047?s=09187ac9db27daf1bce44755529d903150a1e6d062d223cc0f68b06538464b2a,51.45579,-0.42856,c27925b7-9ad8-4484-b1f7-25a37a99647a,23
24,"120, New Road, Bedfont, Feltham, Greater London TW14 8HT",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-119871365-15738838?s=3516599c06da5785cae20d97fc43f79907feed09f722af95f656c3c4dd6684c6,51.45586,-0.43374,bbc51251-d5ed-419c-93a6-73d64ebd4856,24
25,"127, The Drive, Feltham, Greater London TW14 0AH",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-115906706-16363984?s=7e26cd59b1767df6bbdeca5334a4e759541e9b6870f786877f0a4bde0cacb4cb,51.45128,-0.4008,4420e495-5424-4ac1-ba21-ba6b05080df1,25
26,"45, Horsham Road, Feltham, Greater London TW14 8LN",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-120180398-15738844?s=2de3a2462d2f0de8176f091dc2aba31b5149d969dea3449a4d71b0662deb0c95,51.45486,-0.43982,d5268e30-6795-4556-b138-6d5656c242cc,26
27,"25, North Road, Feltham, Greater London TW14 8JB",Semi-Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-72470568-15738841?s=6c7b350e0598282acbd3951cef8bef39cf8cdfad96628ce44c9ded3f2a175779,51.45526,-0.43578,5c09f149-11f5-46a9-8a8b-246b62605323,27
28,"4, East Road, Feltham, Greater London TW14 8DQ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-118312403-15738823?s=37c46d901a0bbf956f2a3e59554a73b973c20d5cbc5c4bea09ceda607cf562ac,51.4539,-0.43482,c1ac5223-f9b0-4a2a-bc42-5a327de3e25b,28
29,"16a, Northumberland Crescent, Feltham, Greater London TW14 9SZ",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-15738898?s=dceca6e977837bbfcd9b4ae281478567353a6d7f1fbf5f2560d536eff6ab6931,51.45545,-0.42944,132d3627-0fe0-4703-b090-1f83522497ca,29
30,"8, Routh Court, Feltham, Greater London TW14 8SJ",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16364023?s=fc76cf4bfc513fb769cc0ddb2b977a785c603151b1bc6623720503f508826366,51.44839,-0.43328,942648d8-2956-4316-be27-c3feba6d8d16,30
31,"23, Vantage Place, Feltham, Greater London TW14 9EH",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-85588959-16364032?s=0992e739b8551e4031412d73c9d00bd0775dba2e8f91dc0f9b6fb036f4e959f0,51.45754,-0.41123,ae75d875-784d-4c91-b439-fa73e416831c,31
