,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"175, Liverpool Road, Great Sankey, Warrington WA5 1QU",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-124604885-17898745?s=9ca13f0d53d58555822d874c4ece23c6c6733bbc1c5e6e814c7c69daf298c8c6,53.38572,-2.63368,add8b716-ce9c-4eeb-a506-5337f1a98359,0
1,"35, Haslemere Drive, Penketh, Warrington WA5 2RP",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-124762523-17589037?s=9fa3bef373f1cb09d9faf1b650fa2fdd0cf45a4a94cc43ca86bd38ef6b9cac42,53.38429,-2.66523,9bca83be-8777-4a2c-aca4-d937d6e096b6,1
2,"20, Lostock Avenue, Warrington WA5 0DD",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-127159619-17588872?s=c145df12360165f75bd63a3b316405fa04341ab75f700eb7b57b31c47f05a12f,53.4025,-2.6046,974676ed-7aba-4e75-9d80-d21aa7fa5d4a,2
3,"106, Evelyn Street, Warrington WA5 1BJ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-126931055-17898700?s=adcaeb02fae95026fd32c8459e8fa0823f0873ce7c72e066bb6e5c1fef374f96,53.38472,-2.61953,697265fe-a8ca-46d1-b9db-81424a213b43,3
4,"26, Oklahoma Boulevard, Great Sankey, Warrington WA5 8FD",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17898943?s=f6f37d2714ece1683711f5062b299e86456ace1bad75a77a42b1b489d489cefa,53.39503,-2.64073,352f989d-1b4d-416d-bb66-c0c0fd246111,4
5,"7, Granston Close, Callands, Warrington WA5 9RZ",Semi-Detached,1.0,https://www.rightmove.co.uk/house-prices/details/england-125951579-17589364?s=ebd4bbdecefbb60f2e97f28f83ebc7c230f2743bb9ec36675dbe094ee49c34b8,53.41261,-2.61452,d78c5fb8-c095-4d23-bb89-a04a1c8e253d,5
6,"41, Westbrook Crescent, Westbrook, Warrington WA5 8TH",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-127491074-17589334?s=c840b3cf2a90da43448d50389185248d30504e08bfe76cb41d3fd05a8a34b2d5,53.40623,-2.63067,2650f1d9-dfd7-45f8-bcc1-41a74815f273,6
7,"39, Farnworth Road, Penketh, Warrington WA5 2SE",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17898802?s=8ff571d8bdc6a7a4a029b3839aa4dff9f96d8c12f6a1d5b61baf39b8bb5450d9,53.38285,-2.66641,dd1dfce9-8187-4ef4-b476-2fc1ad22c39c,7
8,"17, Cheddington Crescent, Great Sankey, Warrington WA5 3XY",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17589145?s=65f448faab83aca6d0b26cc9e416642234e507ab0094ad0887c09316f3f36a62,53.40331,-2.65665,8926cae5-801d-4aea-a529-1b37b90732dd,8
9,"72, Broad Lane, Collins Green, Warrington WA5 4AB",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-129924533-17589262?s=981a67cbb73a22a96147ed80f3484f9d5d6d669ac3e24d56bcef86ca764c1595,53.44417,-2.67821,6cd450df-ff2f-4cb1-bcda-0d335ffe17ca,9
10,"36, Neville Crescent, Penketh, Warrington WA5 2JS",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-126429785-17898790?s=1e6d6feb785c606dc6ae26bdb2a15412c78e07e8076262aa041b84cfa1c1abc4,53.38224,-2.64701,3008d49b-d887-4999-8a6e-f0742df46a22,10
11,"11, Foreland Close, Great Sankey, Warrington WA5 3LB",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-126816401-17898832?s=fe4534ab11be324af86282e3d4f245b6999524d24e28ce3eb5036e22d6ea46af,53.39818,-2.67251,42e99681-2c47-4d09-a825-7fa9761cbaab,11
12,"92, Farnworth Road, Penketh, Warrington WA5 2TS",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-85856301-17589046?s=fa2783d5bb677ed23a6154d24dcc10df1676540e3d6966024a306a512fffdad7,53.38202,-2.67,edcfafe2-7fa7-44bd-b94d-261a8abdf052,12
13,"22, Calgarth Avenue, Warrington WA5 0FN",Detached,,https://www.rightmove.co.uk/house-prices/details/england-18196288?s=306bdbd1410fe6e367b5d798eb0004925ecc2c0863ec2f7a843dd77b22df5e64,53.4027,-2.60204,7c3225c9-d721-4bd7-b0c6-dcd4c3db593e,13
14,"20, Garwood Close, Westbrook, Warrington WA5 8TF",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-125867561-17589331?s=9d03f6bfb7657e92708f64f3fc6dc737176bd8c4facbe6cb53f1a77e37415d1d,53.40541,-2.63382,ddcbbf05-f8c6-4904-b656-b5537d59efc0,14
15,"14, Aldridge Drive, Burtonwood, Warrington WA5 4NP",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-110250188-17589271?s=bd95063e60f382200fb1c24d5259a2a57ac11457229db1b6fefbce1cc1bb573f,53.43309,-2.65154,1174a72b-c1aa-45dd-868e-e1803708a427,15
16,"19, Detroit Close, Great Sankey, Warrington WA5 3SF",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17898862?s=17d6269c3a06d47804ba992d98518d1aa8a8a848bc982a00ea945b46ffbda161,53.39452,-2.63576,d0ea7f69-9f5e-4161-9173-f37cf138b25e,16
17,"42, Nashville Drive, Great Sankey, Warrington WA5 8DZ",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17898937?s=5c874c005f374d77c0c1bf301d71dc56e93c64d706bb5a86775b476f7f7061aa,53.39837,-2.63943,89e92536-f58f-46e0-b24f-317b4b9bcdd6,17
18,"9, Orlando Drive, Great Sankey, Warrington WA5 8GL",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17589313?s=97f0ee435577819d5168c00f3094a5a098c66ea87754d14884c493e804032286,53.39653,-2.63053,4c0e655c-153d-41f0-a137-a0df7325b4a2,18
19,"1, Bembridge Close, Great Sankey, Warrington WA5 3RH",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-126603326-17898850?s=562a802ace3fb4260251b506c64afe8d237383f6911413b044d2cbcd9ffe8111,53.39945,-2.67163,795f62ee-61c8-40d0-802e-f4ae632905d8,19
20,"31, Rose Creek Gardens, Great Sankey, Warrington WA5 3TT",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-17589097?s=e81f3410deba600768cc95730888324017208fe31f789e0bb5d446c3249eb22c,53.39414,-2.63937,dee03be7-6c97-46d5-8243-2d3a3f1ed634,20
21,"2, Honeysuckle Avenue, Warrington WA5 1BF",Detached,6.0,https://www.rightmove.co.uk/house-prices/details/england-13817350-17588917?s=369ef200bd751679e3d4833dc3d1a5daff391d531c657062b2f0b5d50fe5b793,53.38321,-2.61575,e39ce353-8594-4739-9fd4-0b57932fa478,21
22,"2, Orleans Court, Louisiana Drive, Great Sankey, Warrington WA5 3TF",Flat,,https://www.rightmove.co.uk/house-prices/details/england-17898871?s=5f009e82834a20940d55856d6895e709753c5bda846241eb570dda57bc816a09,53.3955,-2.63758,1007c122-bfb1-4288-a3b7-0e81b9f6e17f,22
23,"37, Marina Avenue, Great Sankey, Warrington WA5 1HY",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-127093007-18196360?s=0688df40c4406a438f93985b7739bf1541ff411cadcab5d0e2b7ce81c24dddf4,53.3852,-2.63036,bf54b702-4b5c-4b57-b36e-5b7b609ee210,23
24,"92, Penny Lane, Collins Green, Warrington WA5 4DS",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-123572039-17589265?s=8cee9d4fde17653ad9fb2a343a9efa4f13354f1ba2c2101d1ab927aa76be4864,53.44173,-2.66583,10ccf15c-ef32-4733-983a-616f65c9ece3,24
25,"92, Penny Lane, Collins Green, Warrington WA5 4DS",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-123572039-17589265?s=8cee9d4fde17653ad9fb2a343a9efa4f13354f1ba2c2101d1ab927aa76be4864,53.44173,-2.66583,164046c3-3076-41cd-94e9-61d402a1d79e,25
26,"1, Rozel Crescent, Great Sankey, Warrington WA5 1JJ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-126905750-18196363?s=cf8aaf779b43343ccd16926fab04a5e3efde42dd971342bbcab73f8f21fc1ade,53.38725,-2.634,6390377e-397e-48a1-9ec8-47f4fbb21fe3,26
27,"3, Dalton Avenue, Warrington WA5 0NH",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-128523122-16924975?s=fbdb2f3840504bb727473ddbbd5c86e1fd89803963cfd9b5bc1e7b69aca40375,53.39926,-2.60576,185c161d-cbc1-45ad-bb54-d2aa3d89d1a6,27
28,"29, Hudson Close, Old Hall, Warrington WA5 9PY",Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-75870011-17589352?s=309b3ce0a91260bf1fa3263df4800a6fb4102f698ae2ae50aecf69304316b87d,53.40197,-2.62023,7bfea0a1-87a1-462d-aa3f-eb41bc0f3c23,28
29,"26, Grange Farm Close, Great Sankey, Warrington WA5 1HJ",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-125742596-17588944?s=f68637fb0ca91b56193b4902c9cd4fd3b1411b4a45521211832bd9a3ed8ec12a,53.39341,-2.62477,87065a70-273f-4f1e-844a-a8a2d5ca8f8c,29
30,"4, Manhattan Gardens, Great Sankey, Warrington WA5 8GS",Detached,,https://www.rightmove.co.uk/house-prices/details/england-18196576?s=e0496a961ff5e6e6257fd3d7e7a41ae631dc9b0b74a19a2d739265e799819c0e,53.40025,-2.64006,f4a2e413-cfcb-461b-b2de-e78c26bfd560,30
31,"30, Birkdale Road, Penketh, Warrington WA5 2DJ",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-18196411?s=99079a49c0c909195c7a9079c4517abed172b36cb06f78bdab35052ea8178500,53.38517,-2.65216,9be9bd41-2c79-4a14-8b87-0d982b1d7b99,31
32,"12, Palmdale Gardens, Great Sankey, Warrington WA5 3TN",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16925215?s=10c7cc120d45c398b762df823e088d4acb2b39ef5b585074fecff24cc0d0331c,53.39549,-2.64014,7b81b2c2-30c1-4cf2-ba6c-cf4b8a351ad9,32
33,"56, Garwood Close, Westbrook, Warrington WA5 8TF",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-121430252-17589328?s=01da3bdca6330a2b23e7a50c8460c5422d64320b86a83ba164c127f428bdeaed,53.40541,-2.63382,f9acbd6a-7274-4a64-94ce-f016208205e5,33
34,"96, Freshwater Close, Great Sankey, Warrington WA5 3PU",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120379889-17898841?s=f600c3629a8c37999ea65bb79e6b770dc38f8c84b68bd49e0cdfdcca116e4e47,53.39857,-2.66861,b8a33f4e-0ebd-4f96-ab28-f967368f2058,34
35,"40, Goldcliff Close, Callands, Warrington WA5 9EP",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-82972813-17589340?s=16328399777d91854e66f4b3b919ae840dd4a005143b69ea957f483828d2f8e0,53.41509,-2.62148,c4f661d7-0a0b-4dca-a884-87bee19c2f08,35
36,"36, Alconbury Close, Great Sankey, Warrington WA5 1ZB",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-125490422-17898778?s=7aba7b09d5f86f3a8f2935c2e8a703e33aae71e1c570e3593f26e28cd138fdab,53.3922,-2.63302,1b976c14-5bbc-42e4-8ce6-d4ceee6c9234,36
37,"82, Snowberry Crescent, Warrington WA5 1DW",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-125019128-17588935?s=e72532932389a9f42531f9f605ff3415287d59b417511f1166c3be485cf162f0,53.3822,-2.61949,e12403db-ecfe-4f4f-a609-0670c095e549,37
38,"26, Winstanley Close, Great Sankey, Warrington WA5 1XR",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-124014842-17588986?s=58482b2058530651ac737585b11a8008fbfd0c048d98c7bf71b0f4390a73a3ab,53.39132,-2.62925,9609fdc8-92be-4007-903e-5a135ac16fb8,38
39,"55, Sunningdale Close, Burtonwood, Warrington WA5 4NS",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17589274?s=0406198be3d10bd2a26def7606a64f1c9fa91195f8d95005d8da50aaaeb13e71,53.43181,-2.65468,f3c7f0dc-fe2f-4b8a-b753-7a8a20abe90e,39
40,"7, Calf Hey, Great Sankey, Warrington WA5 3XT",Detached,,https://www.rightmove.co.uk/house-prices/details/england-17589133?s=1a7706bc8f23d97901e2701dcb9e9a4aa0e7ee6e06473e701d59b8d3eda74ffd,53.40471,-2.66284,c9bcb565-02b5-4d3a-b864-c9ce8d67e719,40
41,"1, Truman Court, Miami Close, Great Sankey, Warrington WA5 8DG",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16925347?s=6e12df2b2822c07c0f911a43a7464778689023738b48f347843ea7da7210dfb6,53.39903,-2.63342,af010d50-a0af-4561-8d05-0a82c24a6dde,41
