,address,propertyType,bedrooms,detailUrl,location_lat,location_lng,property_id,index
0,"21, Northcote Street, Worcester, Worcestershire WR3 8AG",Terraced,1.0,https://www.rightmove.co.uk/house-prices/details/england-121437914-16684354?s=50a3e0cc7872949325dde980992109b80e3d52d5fd9dbbce1fff85c3958b4100,52.20759,-2.22532,c68d1fb7-4fd2-46d2-9092-6cd3aa7eec5c,0
1,"47, Shrawley Road, Fernhill Heath, Worcester, Worcestershire WR3 7XD",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-122546990-16684348?s=914f55540d8b4dccef720b28e6db70d65d6de02e56a03d81ad4f3d9aae280ac0,52.23056,-2.19981,b1757fb2-2ae4-4eaa-8950-0490909bba5b,1
2,"3, Crescent Villas, Worcester, Worcestershire WR3 8NA",Terraced,,https://www.rightmove.co.uk/house-prices/details/england-16684381?s=371f5352ca760bf3b6fb4ce4214ec824f7c8ab9835d0006602716570afffdbe6,52.19845,-2.21181,ccf733ff-ee96-40cf-bc11-7cd4b7fdd2db,2
3,"16, The Grove, Worcester, Worcestershire WR3 7NZ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-130120835-16684330?s=f2d209edd1f0c7d78b0dcbc9bb9b0798669f1c5176996fdc8e6609f570b66f1a,52.21991,-2.22611,4ec2c9e3-911e-4e4c-abfd-14118e8535ff,3
4,"88, Gilmour Crescent, Worcester, Worcestershire WR3 7PJ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121579811-17258551?s=61390718782ec0eb266e27b5deb8ba672968a78e609a94ed1b1232b1ce1328aa,52.21911,-2.22084,9fcdbef1-8803-4fcd-970b-8cb890eb7633,4
5,"51, Fairbairn Avenue, Worcester, Worcestershire WR3 7JH",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-121379495-16931755?s=2304c38d3637d024170bcb1444c7500e3c380e82c5dd16132e938ad2f0912f60,52.21461,-2.22447,ae97d09f-3857-4bd5-902d-b56a4030ce4d,5
6,"25, Penbury Street, Worcester, Worcestershire WR3 7JD",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-12174776-16684315?s=b0ead76300a30e5f4ec412a3e922d04c8ddd101b5e7d090f3c4530bd315d1342,52.21218,-2.22461,a618841a-f94e-45af-a83d-6862ef2c022b,6
7,"3, Woodland Close, Worcester, Worcestershire WR3 8HU",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-119699081-17598064?s=b036b3245995fb4e3fc4fa22e8c198164957cb2b0d5088b2678c45136371056c,52.21086,-2.20836,d940b9cf-6aba-426b-9893-0cc7924e3755,7
8,"24, Gregorys Mill Street, Worcester, Worcestershire WR3 8AW",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-125830337-17258566?s=9cd07ebb9bb9a5f4659d1df87027a2d640f8cb209974e81886590682b28f5fb6,52.20777,-2.224,84f675c4-13c4-4a30-922f-47a3790c19c4,8
9,"65, Drovers Way, Worcester, Worcestershire WR3 8QD",Detached,4.0,https://www.rightmove.co.uk/house-prices/details/england-85375725-16684393?s=ffacf3dd4c96dd7ecc91976459acff63e776f5050e7080755f63d9f538984383,52.215,-2.20428,c1ba98c0-9954-4a78-88cc-4df17541dfe9,9
10,"8, Cornmeadow Green, Worcester, Worcestershire WR3 7PN",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121462571-16684339?s=bf2a10b075abd49415d382c47699fc0d963c69e2cd4cb6910840cfe3c93c9383,52.22314,-2.22525,89bbe47c-b633-47ff-832c-6a6804fbc0a4,10
11,"43, Whinfield Road, Worcester, Worcestershire WR3 7HF",Semi-Detached,5.0,https://www.rightmove.co.uk/house-prices/details/england-117323135-16378807?s=bf7eeb722232160f2993040d1050521b9f3921e53b72554e0fc80c908b0fee35,52.22215,-2.22685,fe5df8b8-b66a-4e7f-ad6b-950e5e45e8ed,11
12,"4, Westfield Close, Fernhill Heath, Worcester, Worcestershire WR3 7XF",Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-121536560-16378843?s=8339c15510aa173b030061b328b74b240dca382100b4aa6fad0bd0907c6ce076,52.23002,-2.19893,5f697c59-22e4-4fc7-aeb0-85336cb00fc5,12
13,"27, Sydney Street, Worcester, Worcestershire WR3 8BG",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-124678874-16684363?s=f0aafa84091369f2cdb8c02e0b812cd3c5e9eb8477920434b0f488a8e19be9cf,52.20814,-2.22166,287b547c-240b-48e3-85bb-efa1d3024c39,13
14,"115, Lansdowne Road, Worcester, Worcestershire WR3 8JJ",Semi-Detached,3.0,https://www.rightmove.co.uk/house-prices/details/england-120145082-16684378?s=5d74fd8fe029a7009cb265b3d43afce507e9a840d7f87229995610df4faa1f9a,52.2023,-2.21578,214ec298-d30d-4c72-bde7-d96f4b0aee59,14
15,"Flat 14, Pinewood House, Coombs Road, Worcester, Worcestershire WR3 7HW",Flat,2.0,https://www.rightmove.co.uk/house-prices/details/england-131440094-16931752?s=d555879bf46f965956ef0ecfc63c76cc062b6a4f7a8cb08ac62bd450c9a92a4e,52.21326,-2.2252,373b3e70-0178-41e9-aab5-6c489c0d0417,15
16,"6, Dilmore Avenue, Fernhill Heath, Worcester, Worcestershire WR3 7TG",Detached,,https://www.rightmove.co.uk/house-prices/details/england-16378834?s=8b720f4c4b860d12865533a2922060d11f867746bdcd3483415a4a283c1e2034,52.22948,-2.20215,5bf22de1-0a25-453d-b097-79c98488943d,16
17,"139, Lansdowne Road, Worcester, Worcestershire WR3 8JA",Terraced,3.0,https://www.rightmove.co.uk/house-prices/details/england-123781148-17258599?s=04a042df710b71cdc6fb53dd4b885063646ee9623b8136f5e274eb6eaea996bb,52.2015,-2.21139,26d1b0b4-678d-4e4d-9fc4-1e828d9274f6,17
18,"45, Suffolk Way, Fernhill Heath, Worcester, Worcestershire WR3 7RJ",Semi-Detached,,https://www.rightmove.co.uk/house-prices/details/england-16684342?s=55eb436c40b76f6df38fb4c8970d63111c7d294f92b715b9f4d31c3bc6a6aedd,52.23182,-2.19747,5060e379-9ff0-4d7c-8f36-335832b69362,18
19,"Apartment 8, Eastbank Court, Eastbank Drive, Worcester, Worcestershire WR3 7EW",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16378801?s=d1345db48ec1d4fad1291ece76c3a304bde8a33bcf8dbd43aaad7d69a786a312,52.21235,-2.23061,cc99b600-f798-4256-b800-ca3ac0c52d1a,19
20,"20, Vauxhall Street, Worcester, Worcestershire WR3 8PA",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-121737578-16378888?s=1f97199f6f3db90d4dec04b3a2010ed9eda280c5ed87a24803b02e1bbad75e63,52.2042,-2.2092,de9e081b-d04e-4171-91c4-60d9e50fca50,20
21,"9, Preston Court, Eastfield Close, Fernhill Heath, Worcester, Worcestershire WR3 7TU",Flat,,https://www.rightmove.co.uk/house-prices/details/england-16378837?s=ddd81adcd60476d833ca45e73babfa437ffa9132aa7e6b1e8c6b464a04405945,52.23002,-2.20025,4aa6ab83-2ba9-45b2-85f9-972fa8d2d4c6,21
22,"28, Vauxhall Street, Worcester, Worcestershire WR3 8PA",Terraced,2.0,https://www.rightmove.co.uk/house-prices/details/england-120327818-16684384?s=9b65c9659db63708d39edd3ab1c7b69c99a30a033c3447d9c19035e23448f496,52.2042,-2.2092,51697384-66b8-4969-b585-d7af660fd35d,22
23,"210, Northwick Road, Worcester, Worcestershire WR3 7EH",Semi-Detached,2.0,https://www.rightmove.co.uk/house-prices/details/england-122323406-16684306?s=f3ce07c9225e1c0b31c6de3bd11c80d47440dae910a7af695db52bc756713fae,52.22052,-2.23329,4529f6aa-7d8e-4723-8872-87abaa1a2aeb,23
